index,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,race_Hisp_%,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_noplumbing_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,poverty_child_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,income_capita_USD,households_recfoodstamps_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,supermarket_per1000,food_est_per1000,dentists_per1000,young_females_%,physician_assisted_%,pa_provider_density_per10000,median_age,lt5years_%,renter_occupied_%,english_verywell_%,snap_%,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,students_econodisadv_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,vacant_rentals_%,employed_male_%,employed_female_%,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Abington,0.017,-0.036000000000000004,14527.1,0.27,0.0,178900,162500.0,-6.1,0.7656684161778327,0.02358752701451065,0.0,0.020870639086137698,0.0,0.009879592466810744,0.009941339919728313,0.014201914171040443,0.737,0.6920000000000001,0.13223948731767993,0.05505517117072098,0.0753997076811333,0.07664893360721124,0.01963069312408204,0.02266452751598564,0.053092101858312785,0.030962956882074857,0.03149833942182255,0.06924280847403484,0.13946715160427378,0.0,0.04506136376209741,0.02498451852155896,0.02498451852155896,0.024181444711937426,0.00490767328102051,0.7047787042976267,0.2775817831943553,0.015073765234124438,0.002565747273893521,-0.0,0.7310280950910775,-0.11633220129669652,-0.010423348300192429,-0.010423348300192429,0.197,0.315,0.5429999999999999,0.142,-0.033,-0.15747273893521488,91643.0,27958.0,-0.265,0.8590000000000001,0.102,0.106,0.005,0.001,0.008,0.022,39503,-0.081,-0.3811,-0.022,0.127,0.86,-0.006999999999999999,-0.006999999999999999,550.0,535.0,-0.012,0.6990000000000001,1977712400,-0.0211,1.68,0.06846533217290397,0.9792528558196976,0.1663577682622867,0.05394005240621205,-0.2469898116702686,0.4939796233405372,0.6174745291756715,0.187,0.1577,0.0,0.0,0.387,0.0006799999999999999,-0.0032403675600000004,0.00019,-0.00062,0.00621,0.00434,0.0,0.0012,0.06840370624,0.025495926869999998,0.00559666687,-16.565,,0.35600000000000004,0.153,0.17800000000000002,0.084,0.229,0.381,0.202,0.108,0.078,0.044,0.053,0.133,5.023,4.987,0.159,0.35600000000000004,0.218,-0.168,1.8119679999999997e-05,0.06174745291756715,-7.471441803025625,-17.165791911083666,-2.408150663785119,69.0,50.0,0.044299674267100984,0.2283387622149837,0.3609120521172639,0.36644951140065146,-0.15231788079470202,0.4757152361942781,0.5242847638057219,-22.00679221982093,-101.6116085211485,-28.61376968200061,-11.855510960172891,-9.9289904291448,-39.04908922506947,-112.46063599876504,-15.893794380981786,0.192,-0.2241,-0.5670000000000001,-0.097,0.039,-0.125,-0.194,-0.097,3.65630713,-0.6206554120000001,-0.0,0.011361531336832357,-0.01234949058351343,-0.0010497066995986417,-0.0003704847175054029,-2.655140475455388,-0.007810322,-0.002831085,0.8337,-0.1234949058351343,-0.1517906336,0.005063291139240506,0.0011732016054337758,-248.6,-686.9059,-93.0,-100.0,-129.0,-135.0,-126.0
Acton,0.005,-0.038,,0.1,0.0,317800,279500.0,-4.0,0.5870657448361747,0.020483531584145655,0.0,0.17507622278524498,0.0019753510542362693,0.004122471765362649,0.007901404216945077,0.01352686048009619,0.695,0.667,0.18831568455906028,0.19269362184111705,0.13796940581540726,0.03708370403624572,0.008884637425350535,0.007725771674217856,0.022082830702139376,0.015258399056580269,0.019507573477400092,0.07371673805816205,0.06051854478137321,0.0,0.007918915966073303,0.003798504406490447,0.010944843205141963,0.005923091616900357,0.0037341229758719643,0.7623671883925511,0.2270078830115389,0.010624928595909971,0.0,-0.0,0.8094645080946451,-0.1343238716880663,-0.006055066834228264,-0.008225751171027076,0.249,0.086,0.777,0.122,-0.009000000000000001,-0.12132982977264938,133713.0,20990.0,-0.246,0.857,0.039,0.061,0.012,0.001,0.004,0.066,59012,-0.046,-0.4064,-0.039,0.131,0.865,-0.004,-0.0,656.0,684.0,-0.002,0.9,4308188007,-0.0121,1.42,0.0800358369419143,0.9940739468372912,0.23493765803470226,0.05702328014648182,-0.17176965689011034,0.3864817280027483,0.5582513848928587,0.752,0.1027,0.0,0.0,0.419,0.00057,-0.00227135911,0.0007599999999999999,-0.00035000000000000005,0.0253,0.01178,0.0026,0.0153,0.09728486778,0.0437781905,0.00442203944,-11.034,0.055,0.4320000000000001,0.17,0.171,0.067,0.16,0.365,0.21,0.113,0.092,0.027000000000000003,0.062,0.132,5.01,4.9510000000000005,0.24,0.578,0.494,-0.146,0.0001090852,0.08588482844505517,-4.7236655644780345,-15.88869326233521,-0.30059689955769314,65.2,80.6,0.013221340799502256,0.05311868097682377,0.13283558873852855,0.8008243894851454,-0.18243243243243248,0.5044292767934939,0.4955707232065061,-13.492506548718168,-38.37334134925066,-17.769571005281918,-2.8599647872203366,-2.3661270236612704,-32.2153991497402,-62.52415510800017,-4.994202774079959,0.2236,-0.2114,-0.5379999999999999,-0.073,0.034,-0.087,-0.096,-0.018000000000000002,10.57082452,-0.654307525,-0.0,0.007386095246274745,-0.005238974535148365,-0.0005153089706703311,-0.00021471207111263795,-0.7729634560054967,-0.006572939999999999,-0.0024943960000000003,0.8529000000000001,-0.08588482844505517,-0.00945894816,0.0013312148408983553,0.0005153089706703311,-48.2,-803.3497,-103.0,-96.0,-72.0,-58.0,-61.0
Acushnet,0.005,-0.041,12650.83,0.13,0.0,137100,115600.0,-5.8,0.8061859618883462,0.00019151584793641679,0.0,0.006032749209997128,0.0,0.026141913243320884,0.012161256343962465,0.012735803887771712,0.647,0.609,0.07956241301792025,0.048114818939690905,0.09937439728720474,0.06195176033411181,0.02075541209163137,0.02374293352906316,0.0336489256637054,0.015252083127941234,0.03679368507152834,0.0794051750475291,0.08946840515256249,0.01729617674302614,0.08034860286987598,0.03993844447935127,0.07688936752127076,0.020598174121240227,0.027673882788841826,0.7302256384825192,0.2243987106372428,0.03669724770642202,0.006446813786263328,-0.0022315893875526904,0.8872929234894188,-0.053432921574260266,-0.0037193156459211507,-0.018844532606000497,0.17600000000000002,0.17800000000000002,0.764,0.058,-0.018000000000000002,-0.14554921894371434,69402.0,12935.0,-0.248,0.942,0.056,0.0,0.02,0.0,0.003,0.035,32422,-0.107,-0.3689,-0.011,0.07400000000000001,0.84,-0.086,-0.0,,,,,1152639265,-0.0085,0.58,0.07460674157303371,0.9606434932490664,0.203015669656056,0.016260963831674385,-0.19151584793641674,0.2872737719046251,0.2872737719046251,0.0,0.15710000000000002,0.0,0.0,0.4270000000000001,0.00035000000000000005,-0.00121304018,0.00079,-0.0007700000000000001,0.0,0.0,0.0,0.0,0.0,0.01258592313,0.0,-5.59,0.373,0.369,0.202,0.159,0.061,0.209,0.277,0.302,0.064,0.127,0.068,0.07400000000000001,0.086,5.007,5.012,0.142,0.348,0.249,-0.133,1.270461e-05,0.09575792396820837,-7.660633917456669,-18.385521401896007,-0.766063391745667,59.9,100.0,0.12306322350845947,0.372573463935886,0.2986642920747997,0.20569902048085487,-0.0,0.5247619047619048,0.4752380952380952,-32.27042037728622,-136.7327396342047,-33.266302786555585,-16.365029206166813,-12.927319735708132,-55.75026333429092,-144.50828306042325,-21.39232021449775,0.1724,-0.2751,-0.667,-0.073,0.039,-0.129,-0.18600000000000005,-0.084,0.0,-0.0,-0.0,0.006607296753806378,-0.016757636694436466,-0.0005745475438092502,-0.0005745475438092502,-1.532126783491334,-0.008210681000000001,-0.002458128,0.7745000000000001,-0.0,-0.05630630631,0.0068945705257110025,0.001532126783491334,-128.1,-294.2572,-91.0,-121.0,-102.0,-113.0,-63.0
Adams,0.028,-0.111,,0.11,0.9743027645840944,93900,110000.0,-6.5,0.8248690780660091,0.007794422116672756,0.00048715138229204726,0.0037754232127633664,0.0,0.0014614541468761415,0.0028011204481792717,0.008646937035683838,0.6509999999999999,0.609,0.08699131826643701,0.023597644955033487,0.08659135818245339,0.02779722583686148,0.028997106088812338,0.014998503149385691,0.03839616806242737,0.03879612814641099,0.052194790959862215,0.10678934242362613,0.1429857300241436,0.009599042015606844,0.06779323423522332,0.028997106088812338,0.049795030455960496,0.023597644955033487,0.01279872268747579,0.8168789808917197,0.17781316348195328,0.0053078556263269645,0.0,-0.0,0.6969918402143466,-0.11582024113993425,-0.03529723991507431,-0.033174097664543524,0.189,0.498,0.477,0.024,-0.175,-0.12738853503184713,49777.0,27438.0,-0.304,0.928,0.08,0.004,0.02,0.001,0.004,0.042,28827,-0.14,-0.4013,-0.015,0.133,0.848,-0.019,-0.0,522.0,522.0,-0.03,0.6629999999999999,506841307,-0.0133,1.07,0.06044678055190539,0.9828279137742052,0.16727181670214095,0.023287842744459747,-0.3653635367190354,0.2435756911460236,0.2435756911460236,0.0,0.1207,0.0,0.0,0.431,0.00047999999999999996,-0.0032679565300000003,0.00014,-0.0016699999999999998,0.008409999999999999,0.00601,0.0,0.0012,0.04772130756,0.02386065378,0.00238606538,-3.707,0.108,0.452,0.133,0.12,0.066,0.229,0.233,0.235,0.155,0.11,0.08,0.069,0.119,5.1,5.093,0.06,0.22,0.066,-0.119,6.414710000000001e-06,0.1217878455730118,-9.255876263548897,-23.870417732310315,-1.4614541468761415,61.1,83.1,0.09909130246646472,0.3831674599740372,0.29381220250973605,0.22392903504976197,-0.015544041450777204,0.5020584199176632,0.4979415800823368,-39.471440750213134,-140.031664839849,-71.72086225794665,,,-234.47813908171963,-201.3031299476312,-18.67007672634271,0.1836,-0.248,-0.563,-0.09,0.044,-0.115,-0.262,-0.298,4.694835681,-0.8414472890000001,-0.00024357569114602363,0.008403361344537815,-0.012909511630739251,-0.0009743027645840943,-0.0,-0.4871513822920472,-0.007956356999999999,-0.002084593,0.825,-0.2435756911460236,-0.1543209877,0.0025575447570332483,0.001948605529168189,-64.7,-2258.751,-83.0,-106.0,-107.0,-118.0,-75.0
Agawam,0.013,-0.094,16755.92,0.14,0.0,128700,117600.0,-4.2,0.8023214539258838,0.011145818543234421,0.0006034360357802072,0.02115575748970609,0.0,0.005856879170807895,0.006318330256992759,0.049765724833167685,0.6409999999999999,0.613,0.12965102045023358,0.04128681446226732,0.1189384528828851,0.04464534915905765,0.02663665449178537,0.014592254199847637,0.04441372607652039,0.027389429510031482,0.03451183929805235,0.0881904886760633,0.1073572987560219,0.002200419284104009,0.0339906873623435,0.029531943023501168,0.04672995690189303,0.042676552957490906,0.014244819576041741,0.7577021276595745,0.22851063829787235,0.0027234042553191487,0.007659574468085106,-0.003404255319148936,0.8088172653698708,-0.08636234559136731,-0.006808510638297872,-0.03625531914893617,0.197,0.117,0.83,0.052000000000000005,-0.132,-0.15174468085106382,61919.0,28409.0,-0.306,0.937,0.06,0.006,0.006,0.004,0.013,0.034,33297,-0.097,-0.4108,-0.019,0.117,0.88,-0.003,-0.0,548.0,555.0,-0.011,0.778,2939512928,-0.0141,3.28,0.09522365428354816,0.9681598750532444,0.18795146425648507,0.04672099064156852,-0.28396989919068577,0.3194661365895215,0.39045861138719296,0.349,0.1146,0.1774811869941786,0.017,0.441,0.00047999999999999996,-0.00262369848,0.00041,-0.00098,0.00593,0.00488,0.0,0.0014000000000000002,0.03842660518,0.054146580029999995,0.00314399497,-12.2,0.048,0.433,0.14800000000000002,0.121,0.073,0.226,0.341,0.218,0.114,0.061,0.08,0.058,0.128,4.99,5.003,0.165,0.418,0.29,-0.118,4.0345419999999996e-05,0.03549623739883572,-10.364901320460033,-30.27829050120687,-1.1358795967627429,62.2,42.1,0.0641804550155119,0.2485780765253361,0.3453981385729059,0.3418433298862461,-0.0,0.4740484429065744,0.5259515570934256,-12.196507170239954,-52.80775237824791,-17.91495101519239,-7.08504898480761,-3.9294334800511153,-50.791566093994035,-67.73037058071844,-9.981541956552602,0.1422,-0.2214,-0.63,-0.077,0.045,-0.111,-0.181,-0.087,3.875968992,-0.0,-3.5496237398835724e-05,0.009832457759477496,-0.0059988641204032364,-0.0004259548487860287,-0.0002839698991906858,-0.7454209853755501,-0.007897791999999999,-0.0028683560000000003,0.8542000000000001,-0.10648871219650716,-0.08949880667999999,0.003940082351270765,0.0020587817691324717,-62.5,-1215.539,-108.0,-81.0,-95.0,-123.0,-200.0
Alford,0.023,-0.049,,0.0,0.0,293800,,-2.6,0.8734793187347932,0.012165450121654502,0.0,0.012165450121654502,0.0,0.0,0.0,0.012165450121654502,0.618,0.602,0.2869591224709201,0.06062516671920847,0.16570878903250316,0.04041677781280565,0.00808335556256113,0.012125033343841695,0.00808335556256113,0.0808335556256113,0.012125033343841695,0.06870852228176963,0.06466684450048904,0.0,0.05254181115664735,0.012125033343841695,0.0,0.02425006668768339,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,-0.0,0.951338199513382,-0.07542579075425791,-0.0,-0.0,0.124,0.224,0.583,0.182,-0.0,-0.16666666666666666,105625.0,28125.0,-0.275,0.723,0.114,0.05,0.041,0.014,0.014,0.159,69343,-0.036000000000000004,-0.4827,-0.0,,,,,,,,,277269346,,0.0,0.04166666666666666,0.9635036496350364,0.10075566750629723,0.020151133501259445,,,,0.0,0.0935,0.0,0.0,0.569,0.00011,-0.0009677419400000001,4e-05,-0.0005899999999999999,0.061980000000000014,0.0,0.062,0.0207,0.0,0.0,0.0,-0.43,1.0,0.35200000000000004,0.287,0.065,0.083,0.213,0.594,0.101,0.058,0.058,0.029,0.058,0.101,,,,,,,,,,,,58.5,100.0,0.02994011976047904,0.1497005988023952,0.2694610778443114,0.5508982035928144,-0.0,0.5082872928176796,0.4917127071823205,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.0,,,,,,,,-0.0,0.0,,-0.0,0.004866180048661801,-0.1630170316301703,-0.1630170316301703,-0.1630170316301703,-0.0,-0.007484770999999999,-0.0031135830000000005,0.8323,,-0.023607176580000003,0.0,0.0,,,-1.0,-1.0,-1.0,-0.0,-0.0
Amesbury,0.02,-0.049,16563.09,0.26,0.0,177100,165400.0,-4.8,0.7967867231638418,0.006944444444444444,0.0017066854990583804,0.010475517890772128,0.0,0.002059792843691149,0.012535310734463278,0.01824387947269303,0.7170000000000001,0.682,0.14712806026365347,0.0807694219394602,0.1329761530007566,0.04866875424557217,0.018897973723014726,0.014842244202550378,0.06152627974661873,0.009492132920235707,0.013030109735959923,0.07447009736512196,0.09811413754825454,0.0063856166917949314,0.04651145130915497,0.023212579595849138,0.03581122874452562,0.012512357031219796,0.0065582009267083075,0.7359430604982207,0.25195729537366546,0.01209964412811388,0.0,-0.0,0.746939736346516,-0.09280838041431262,-0.006548042704626334,-0.015231316725978647,0.212,0.35100000000000003,0.551,0.098,-0.044,-0.19117437722419928,78638.0,27465.0,-0.289,0.868,0.13,0.013,0.015,0.003,0.018000000000000002,0.083,38491,-0.075,-0.3767,-0.001,0.218,0.748,-0.035,-0.0,571.0,574.0,-0.022,0.81,2149952368,-0.0119,2.6,0.061847389558232935,0.9631591337099812,0.18743280372715326,0.03565882212399952,-0.11770244821092278,0.2354048964218456,0.2354048964218456,0.362,0.1042,0.05885122410546139,0.006,0.413,0.00055,-0.0030688665700000003,0.00016,-0.0005600000000000001,0.0076900000000000015,0.00355,0.0024,0.0041,0.04228585236000002,0.039869517939999995,0.006040836050000001,-13.281,0.006,0.344,0.16699999999999998,0.131,0.106,0.252,0.229,0.228,0.195,0.139,0.068,0.012,0.128,4.985,4.9510000000000005,0.21,0.369,0.23,-0.12,2.445207000000001e-05,0.05885122410546139,-7.827212806026366,-16.301789077212806,-2.177495291902072,68.3,58.7,0.0496900826446281,0.237603305785124,0.26694214876033057,0.4457644628099173,-0.05966587112171836,0.4923120460333929,0.5076879539666069,-15.19538606403013,-91.18408662900188,-43.932438794726934,-6.6854990583804135,-9.592749529190206,-94.68573446327684,-153.26624293785312,-16.272363465160073,0.206,-0.2208,-0.56,-0.07200000000000001,0.029,-0.112,-0.14400000000000002,-0.086,9.746588694,-1.360383273,-0.0,0.011593691148775894,-0.01059322033898305,-0.00023540489642184562,-0.0003531073446327684,-1.4124293785310733,-0.007754247,-0.003297667,0.8193,-0.11770244821092278,-0.07638888888999999,0.0067090395480226,0.0012358757062146894,-71.1,-1293.856,-107.0,-110.0,-134.0,-121.0,-39.0
Amherst,0.047,-0.332,21717.15,0.11,0.3521658197917191,175900,275000.0,-9.9,0.7144438295517432,0.05234693364189767,0.004376918045982794,0.1196357599235297,0.0007797957438245207,0.00905569250892992,0.024601297982592942,0.05418322684509735,0.565,0.509,0.1005693858091704,0.05366995232862853,0.20588307679656206,0.02698323570113368,0.02490760218566186,0.0218435717580606,0.10348515669995224,0.025747739560971882,0.06810054724571832,0.08944992054771422,0.13130852977639595,0.002718091508355957,0.020509235926685857,0.0049419845606471936,0.015418991829219247,0.010477007268572052,0.01892780086727876,0.6485823918141121,0.3383073971434662,0.00586228949051375,0.007247921551907909,-0.0,0.2656084922271973,-0.493661015243749,-0.005222767000639523,-0.012790449797484544,0.092,0.207,0.72,0.068,-0.22,-0.08473672990833511,50203.0,8628.0,-0.477,0.547,0.071,0.096,0.222,0.029,0.009000000000000001,0.097,20336,-0.076,-0.5295,-0.03,0.269,0.6920000000000001,-0.032,-0.006,604.0,591.0,-0.01,0.795,2398902300,-0.0053,0.92,0.01409603153940566,0.9684308497258136,0.5768217289956421,0.1044137022397892,-0.20123761130955373,0.2515470141369422,0.30185641696433063,0.35700000000000004,0.6194,0.2515470141369422,0.025,0.213,0.00021,-0.005612506979999999,0.00047000000000000004,-0.0009,0.013930000000000001,0.00633,0.003,0.0225,0.040753948039999995,0.036169128880000005,0.00840550178,-13.703,0.057,0.456,0.103,0.116,0.054000000000000006,0.27,0.4,0.226,0.094,0.06,0.034,0.046,0.14,5.0139999999999985,4.973,0.208,0.491,0.317,-0.094,8.300271999999999e-05,0.07546410424108266,-4.779393268601902,-11.01775921919807,-1.0313427579614631,51.5,49.9,0.047706797706797706,0.12121212121212124,0.17884930384930384,0.6522317772317773,-0.12721238938053098,0.5033543150571476,0.4966456849428524,-6.477335614026263,-23.89696634300951,-10.419077325552148,-1.3432610554912714,-1.5268903758112389,-23.44921265784575,-28.155657292347946,-5.068672334859387,0.1741,-0.1168,-0.434,-0.037000000000000005,0.017,-0.107,-0.125,-0.037000000000000005,4.424778761000001,-0.911807912,-0.0,0.003622277003571968,-0.007823112139658903,-0.0012074256678573224,-0.00010061880565477688,-0.17608290989585956,-0.006679334,-0.0029601429999999997,0.8634999999999999,-0.07546410424108266,-0.00493193924,0.0009810333551340746,0.00037732052120541335,-22.0,-463.6963,-87.0,-71.0,-90.0,-44.0,-70.0
Andover,0.017,-0.044,17985.83,0.17,0.0,334600,330400.0,-4.4,0.6533804381891222,0.018433573606085645,0.0014815236901336221,0.09065785350009972,0.0,0.009316504743724892,0.011738226160289468,0.02797800507136956,0.67,0.64,0.21096576825550584,0.12162027408188268,0.13194820365252571,0.06503924613236843,0.007790464115786775,0.010906649762101484,0.021724265648593977,0.005965269665802444,0.024217214165645744,0.07229550699450127,0.058050086897062585,0.0043181429670360975,0.009482107752357615,0.004229109091427106,0.018563563064474767,0.010372446508447536,0.007434328613350806,0.7827633600129356,0.20834343924326945,0.00654862963861266,0.0,-0.0023445711051823105,0.8098521325393886,-0.10045870252713753,-0.0038806694154741687,-0.02740722774678632,0.255,0.241,0.654,0.098,-0.039,-0.11787533349502788,143292.0,15966.0,-0.282,0.82,0.065,0.044,0.036000000000000004,0.004,0.013,0.08199999999999999,63468,-0.032,-0.4516,-0.033,0.177,0.802,-0.019,-0.002,600.0,603.0,-0.002,0.882,7799229845,-0.0049,2.13,0.08267362360561352,0.9885466822416592,0.2230121880441091,0.09956471271038886,-0.1139633607795094,0.3418900823385282,0.42736260292316025,0.847,0.1336,0.0,0.0,0.4270000000000001,0.00047999999999999996,-0.0020133015799999997,0.0005400000000000001,-0.00045,0.02167,0.0078,0.0017,0.0107,0.06715132405,0.07007094683,0.00963475519,-10.762,0.0,0.486,0.185,0.118,0.052000000000000005,0.158,0.429,0.189,0.101,0.052000000000000005,0.073,0.018000000000000002,0.13699999999999998,5.0939999999999985,5.079,0.199,0.293,0.075,-0.127,9.694779e-05,0.02849084019487735,-3.732300065528933,-14.359383458218186,-2.1937946950055562,63.3,63.8,0.014493552298027113,0.06761820786950293,0.1392593409015761,0.7786288989308938,-0.07484407484407485,0.4784767389901197,0.5215232610098803,-9.561525969400837,-32.08638422747087,-10.464685603578447,-2.558477449499986,-1.9060372090372948,-12.279552123992138,-34.604974500698034,-5.641186358585715,0.1883,-0.1667,-0.5429999999999999,-0.07,0.034,-0.084,-0.084,-0.018000000000000002,0.0,-0.693321008,-5.6981680389754685e-05,0.00763554517222713,-0.004729479472349639,-0.0002849084019487735,-0.00011396336077950936,-0.4558534431180376,-0.007159093000000002,-0.002441822,0.8776999999999999,-0.02849084019487735,-0.01977848101,0.001225106128379726,0.00048434428331291485,-36.4,-487.2404,-108.0,-92.0,-76.0,-58.0,-40.0
Aquinnah,0.0,-0.217,,0.13,0.0,852300,1000000.0,-8.0,0.3171875,0.003125,0.215625,0.0015625,0.0,0.003125,0.0890625,0.0,0.7170000000000001,0.66,0.10890151515151514,0.014204545454545452,0.03551136363636363,0.011837121212121212,0.007102272727272726,0.018939393939393936,0.08522727272727272,0.07102272727272728,0.02604166666666666,0.04261363636363636,0.03314393939393938,0.037878787878787866,0.05681818181818181,0.007102272727272726,0.0615530303030303,0.011837121212121212,0.0,0.6690647482014388,0.33093525179856115,0.0,0.0,-0.0,0.7125,-0.0328125,-0.10071942446043164,-0.3597122302158273,0.442,0.108,0.655,0.23,-0.325,-0.20863309352517986,80250.0,17500.0,-0.342,0.738,0.08,0.08,0.091,0.004,0.011,0.076,26384,-0.043,-0.5132,-0.0,,,,,,,,,9666545866,-0.015,0.0,0.12690355329949238,0.95,0.2787769784172662,0.07553956834532374,-4.6875,23.4375,28.125,0.247,0.1266,0.0,0.0,0.378,0.00028000000000000003,-0.00397959184,8e-05,-0.00022999999999999998,0.02174,0.0,0.0,0.0,0.0,0.0,0.0,-0.583,1.0,0.125,0.179,0.179,0.018000000000000002,0.5,0.478,0.087,0.13,0.0,0.043,0.022,0.239,,,,,,,,,,,,59.1,,0.1198501872659176,0.20599250936329588,0.2322097378277153,0.4419475655430712,-0.0,0.4612676056338028,0.5387323943661971,-0.0,,,-0.0,-0.0,-0.0,,-0.0,,,,,,,-0.243,-0.195,0.0,-0.0,-0.0015625,0.003125,-0.0,-0.1671875,,-3.125,-0.006097155999999999,-0.002821314,0.8659,,,0.1296875,0.0609375,,,-1.0,-1.0,-0.0,-0.0,-0.0
