index,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,race_Hisp_%,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_noplumbing_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,poverty_child_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,income_capita_USD,households_recfoodstamps_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,supermarket_per1000,food_est_per1000,dentists_per1000,young_females_%,physician_assisted_%,pa_provider_density_per10000,median_age,lt5years_%,renter_occupied_%,english_verywell_%,snap_%,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,students_econodisadv_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,vacant_rentals_%,employed_male_%,employed_female_%
Abington,-0.1445137537,-0.7924316037000001,-0.6417153474,0.4842741368,-0.3112402768,-0.23854867920000003,-0.2609837822,0.47484626539999997,0.049701497860000006,0.07765622587,-0.1543143814,-0.1632817947,-0.18597369719999998,-0.09379445187999999,-0.1875186008,-0.3530207994,1.195377892,1.031694341,-0.3869590664,-0.1389584384,-0.8814123373999999,0.9452956567,0.08705353746,0.5625407672,0.6868763684999999,0.2356602619,0.1096097291,-0.5560517227,1.676292114,-0.5797844515999999,-0.003927090899000001,0.17717591149999998,-0.457169465,0.03276145026,-0.7498540281,-0.9712038881,0.9825452721,0.8215533018000001,-0.002450125025,-0.3918414363,-0.442299485,0.4018781446,-0.20151489179999998,-0.24308568519999998,-0.08784524291000001,0.4875698517,-0.8001121431999999,0.6635801587,-0.6990221165,-0.07555480509,0.2010890731,0.03237001622,-0.528660235,0.061744543629999996,1.204781063,1.071484646,-0.5694059435000001,-0.2991801517,-0.09854644193,-1.153847139,-0.2131383604,0.04413772021000001,-0.9544486832,0.03878018624,-0.215170275,0.34438158630000004,-0.7030139376000001,0.6035810946,-0.30598249489999996,-0.6153710653,-0.06636346991,-0.5786619947,-0.14545853960000002,0.970839812,0.1107634058,0.04756850426,0.25412986579999997,-0.4828868279,0.1013524665,-0.165109938,-0.1281862445,-0.1363942719,-0.6112999753,0.1951201921,-0.5015598828,-0.5544566089,-0.9062967472,1.273896155,0.6713311318999999,-0.3394363182,-0.1953285725,-0.4619575099,-0.1465845533,-0.3382430168,-0.5637509568,0.3267813579,-0.4304228171,0.09997567224,0.1421971705,,-0.6851960345999999,-0.2621735481,1.703457442,0.1688424622,-0.08763267268,0.35626428460000004,0.14476114880000002,-0.3730620207,-0.1302203758,-0.45343490049999996,0.5262652084,-0.28357944170000005,-0.043007022699999994,-0.1668924157,-0.5351900779,-0.23238103010000002,-0.1381034234,2.242314601,-0.3004173159,-0.38392238590000005,-0.04924743322,-0.2248251695,0.107335302,1.028998645,-0.6064993207,-0.1528434297,-0.08587915797000001,1.429336786,-0.4882045043,2.300121344,-0.5122201840999999,0.5122201840999999
Acton,-0.5397682541,-0.7503842125,,-0.47364844100000003,-0.3112402768,1.115671515,0.4805703899,-0.6014427328999999,-1.84513113,-0.01387010439,-0.1543143814,4.0173410480000005,0.9108886766,-0.3386940331,-0.32416865300000003,-0.36460683950000006,0.4611476148,0.5931167882,0.7573542087999999,3.778926165,0.6601105862,-1.1677976620000001,-0.7682705368000001,-0.9952404517,-0.9541528923999999,-0.6783935461,-0.7943828701000001,-0.35198470020000006,-1.378514421,-0.5797844515999999,-1.4187102759999999,-1.3416425459999999,-1.039376871,-1.330046877,-0.8648994410999999,-0.12713715650000001,0.16010861699999998,0.3259459373,-0.603775346,-0.3918414363,0.1250675174,0.7627137948,-0.29715840649999997,-0.28439365829999996,1.038103755,-1.226644876,1.213258285,0.26179193079999996,-0.9941185959000001,-0.9188711981000001,1.685909109,-0.6084353247,-0.847992773,0.04126029522,-1.099233781,0.3211366087,-0.39675008729999994,-0.2991801517,-0.5789603464,0.040603910970000004,1.332029175,-0.5302604713,-0.4133555765,0.5364175438000001,-0.18469538929999998,0.382251326,-0.8055094276000001,-0.3685583675,2.625304201,2.9537589339999997,-0.8208113383,1.2028717709999999,0.11320590960000002,-0.2986573437,-0.053652150679999996,0.4457061511,1.2722906520000001,0.9869306709000001,0.1873118716,-0.2060717173,-0.1474646183,-0.1453856896,0.6834768548000001,-0.11360315550000001,-0.5015598828,-0.5544566089,-0.3054157446,0.5940740326,-0.03346328135,0.7587367765999999,-0.655007957,0.3282789624,1.1109193590000002,0.04876873989,0.8237862723999999,0.8856444484,-0.1049251668,-0.09634367687999999,-0.0863312343,-0.8129093037999999,0.3636528447,0.128630739,1.5124220259999999,-0.39779587969999997,-1.02095532,0.16589509119999998,0.2806652965,-0.2716801925,0.2621174088,-0.9509792277,0.8507132555,-0.3018396479,-0.22511488440000002,-0.6340954022999999,1.709652079,1.188067567,1.5607191440000001,1.098127708,1.322428118,-0.2944860034,-0.4612553497,-0.33928708630000004,-0.49473525659999995,0.35005806,0.7252340237999999,-0.8799171098999999,-1.932254325,-1.868477859,2.031275197,2.856354904,0.3369200196,-0.3369200196
Acushnet,-0.5397682541,-0.6873131256999999,-1.213723967,-0.3046032802,-0.3112402768,-0.6460821862,-0.558239258,0.3210906942,0.4795605086,-0.6122130387,-0.1543143814,-0.5655475225,-0.18597369719999998,0.5979811342,-0.03881210248,-0.37818385340000005,-0.3779727021,-0.42438313380000003,-1.461908481,-0.3365158724,-0.2907504881,0.160351427,0.1765746824,0.6749946189,-0.34206819780000003,-0.6787611526999999,0.5088297038,-0.09252098331,-0.25833983899999996,1.860531692,1.340189829,1.2492179970000001,1.695258339,-0.23469481890000002,1.481961655,-0.5982315672999999,0.1176780551,3.230443092,0.9071418686,0.1830831865,0.6880365906999999,-0.8596113117,-0.3482996744,-0.08479368081000001,-0.5425554153000001,-0.5379647235,1.101404372,-1.023930398,-0.8834574161,-0.3537642825,-0.5838855507,-1.3492055630000002,-0.8143788216,0.9118408525,-0.4775154901,-0.6960018421999999,-0.19942910870000002,-0.4023355871,-0.6990638225,-0.8009411465999999,-0.7739734272,0.47083351960000003,-1.215371051,-0.28322045690000003,-0.6189625111,0.1929026277,1.996033965,-0.3685583675,,,,,-0.2370351634,-0.8064562059,-0.5848408715,0.25889258530000003,-1.024272864,0.30277242460000003,-0.949128495,-0.19531875989999997,-0.1652562973,-0.1865262426,-1.0398367309999998,0.191752301,-0.5015598828,-0.5544566089,-0.15519549400000002,-0.7655702115999999,-0.8032163927,0.8165353605,0.06004886336,-0.7190223864,-0.880128502,-0.3382430168,-0.6818392317,-0.9968602352,-0.6602726852,-0.8354136854,-0.311264996,-0.059814535089999996,-0.5057876737,0.8642623383,1.184932741,-0.5977858827,-0.3581609762,-0.8811354723,1.843562995,-1.265222109,1.24296187,0.2489806203,1.283310652,-1.141809134,-0.26713977559999996,0.1575541027,-1.00632979,-0.28356836690000004,0.052706357710000006,0.42201727200000005,-0.3970233884,-0.2579031551,-0.020879530559999998,-0.11550505109999999,-0.36176419049999997,-0.5968853877,1.569535556,1.689819842,1.433988711,0.52928085,-1.42059636,-0.5132799049,0.9382025801999999,-0.9382025801999999
Adams,0.2178028717,0.7843455669,,-0.4173000541,1.02855251,-1.067265141,-0.5937324492,0.6798536937,0.6777735469,-0.38802903920000004,-0.1135610105,-0.6267452327,-0.18597369719999998,-0.4518898708,-0.6658235601,-0.448361642,-0.308046009,-0.42438313380000003,-1.310311274,-1.034398317,-0.6056848477000001,-1.6637683730000001,0.8325660048000001,-0.23685570920000001,-0.09084127774,0.6915750415999999,1.669930321,1.156538796,1.8124386119999998,0.7745435909,0.8619465931,0.46483700850000004,0.5716907813000001,-0.010813518729999999,0.023720853250000003,0.6718349165999999,-0.6398996963,-0.2663843133,-0.603775346,-0.3918414363,-0.6884995235,0.3916104222,0.3430989194,0.18455745710000002,-0.2610681657,1.8574445030000002,-1.367985854,-1.7069703859999998,1.046965387,-0.7775044519,-1.27653098,-0.015451277880000001,0.1268118165,0.7684511137000001,0.4002044507,-0.6293042389,-0.19942910870000002,-0.2991801517,-0.5789603464,-0.6109148433,-1.058707514,1.012408957,-0.522429681,-0.16612931390000002,-0.1694579464,0.2534942111,-0.2930319777,-0.3685583675,-1.080284641,-0.9267716693000001,1.291642693,-0.8977426692,-0.30871365359999997,-0.1293910563,-0.2749807843,-0.2283474854,0.49972472869999995,-0.4632967645,-0.7532213541,-0.1006485124,-0.1730929896,-0.19316060329999998,-1.0398367309999998,-0.01256642355,-0.5015598828,-0.5544566089,-0.08008536866,0.03785593272,0.691397574,-0.4357672914,1.5923134780000001,-0.37088782740000004,0.1356777495,-0.3382430168,-0.5637509568,-0.07343209019,-0.4595372397,-0.4366227237,-0.3890662952,-0.6873935090000001,0.6396657077000001,-0.7219432976000001,0.12059256439999999,-0.4311275469,-0.08763267268,-1.4046507540000002,0.7053657581,0.5799271641,0.7665517034,0.6001883806,1.103061737,-0.5392223286,1.035631851,1.2087608220000001,-3.278886047,-1.102565756,-1.073686867,-0.3061016593,-0.5092366258,-0.16145430859999998,0.2183147917,0.3760871589,-0.1631100411,-0.38248309770000005,0.8340357676000001,1.1289997809999999,1.545622555,0.45912327299999994,-1.314857852,-0.2261722758,0.2668083304,-0.2668083304
Agawam,-0.2762652538,0.42694274159999995,0.037773346560000004,-0.24825489329999997,-0.3112402768,-0.7279788718000001,-0.5455631182999999,-0.4989390188,0.43856114549999997,-0.28920769,-0.10383304550000001,-0.1555520323,-0.18597369719999998,-0.26491485260000003,-0.43021471060000005,0.2573658131,-0.48286274170000004,-0.3542107254,-0.439780355,-0.5308753227,0.19124704550000002,-0.7639465543999999,0.6446876675,-0.2792184729,0.22761150789999998,0.027669923080000002,0.336799685,0.3081989566,0.43384601799999994,-0.2693274772,-0.4256173064,0.5031792943,0.44458609520000003,1.413241245,0.1654845365,-0.1955123296,0.18454653899999998,-0.554296241,1.1913723509999998,0.4851972413,0.1203857102,-0.19918846769999998,-0.2806617557,0.2424748126,-0.08784524291000001,-0.9945896073,1.669278083,-1.144466867,0.5182508610000001,-0.2092066166,-0.8479908117,0.07384579245,0.1604257679,0.8606302315000001,-0.33122883329999997,-0.5959554372,-0.5447408212,0.01028615453,0.5019709386,-0.8280877614,-0.7046709723000001,0.3067197506,-0.3192524275,-0.049038170980000004,-0.2913574894,0.49586054490000003,-0.8396745909000001,-0.3685583675,-0.361289791,-0.1362932131,-0.1418082567,0.12154281859999999,-0.03870625131,-0.016546864640000002,1.122551445,0.9683144537999999,-0.5079218618,-0.020086547219999997,-0.09991267106,-0.14497211470000002,-0.15948300810000002,-0.1708604416,-0.2400542293,-0.04680664937,0.08641835063999999,0.11147331099999999,0.1076899446,0.03785593272,0.22280571149999998,0.084419964,0.4175772735,-0.4735481968,-0.05531410807,-0.3382430168,-0.5440695777000001,-0.25328864100000004,0.07967377007,-0.3099474563,-0.03815475265,-0.8294868616,0.3774534878,-0.37711598539999996,0.1478833381,-0.19780587670000002,-0.1282119182,-0.1196586988,0.4165694442,-0.2514038269,-0.6066305429,0.6001883806,0.7065141235,-0.37488047280000003,-0.5052808256,0.04075335604,-0.3689054737,0.16432083039999998,0.3050676812,-0.3581101544,0.09609490843,-0.4811911942,0.38460457060000003,0.9504025419,-0.2561177994,-0.18594766510000002,-0.9503128312000001,0.3122649211,0.1273918728,1.205017229,-0.6309263282,-0.5132799049,-0.5615110942,0.5615110942
Alford,0.05311349649,-0.5191235608,,-1.03713231,-0.3112402768,0.8816809847,,-1.318968732,1.19348963,-0.2591422023,-0.1543143814,-0.3992856472,-0.18597369719999998,-0.5140580147,-0.8534634229000001,-0.3879729142,-0.8849412268000001,-0.5471848485,2.7703115960000004,0.01959173196,1.343522787,-0.9897854022,-0.8320479531,-0.5364949391,-1.695013528,3.138283258,-1.350957961,-0.5804218408,-1.218001733,-0.5797844515999999,0.2810086583,-0.7447163963,-1.493245542,0.03788341277,-1.23096276,2.13440972,-2.176337962,-0.8576877375,-0.603775346,-0.3918414363,1.151305816,-0.4185287952,-0.4297340837,-0.43901212920000005,-1.668504414,-0.19362464710000002,-0.4559462581,1.467156614,-1.104779776,0.13896555730000001,0.6945702651000001,0.04772800875,-0.3605904782,-1.331184348,1.6436410330000002,0.1377181995,0.31853846010000003,1.041840509,0.6220744147,2.565239084,2.15027336,-0.6943742403000001,1.218478575,-0.6052211001,,,,,,,,,-0.3341943343,,-0.9516140358,-0.8745656495,-0.8277894158,-1.888883775,-0.8406718065000001,,,,-1.0398367309999998,-0.1652441518,-0.5015598828,-0.5544566089,2.511213955,-2.248818478,-0.9816305531999999,-0.6284292378999999,-0.24640405969999998,1.846658942,-0.880128502,8.890498874,1.355183509,-0.9968602352,-0.884352618,-0.8354136854,-0.5244645202,1.425060999,-0.7403986072,2.8182837739999997,-1.3803999919999999,0.135510795,-0.30405531550000003,2.8905541710000002,-1.571028716,-1.3868803019999998,-0.6907029253,-0.8924446009999999,0.7065141235,-0.8679060404000001,,,,,,,,,,,,-0.8470213927,1.569535556,-0.488783391,-0.9145259148999999,0.1070242692,0.5816426698,-0.5132799049,0.4510104244,-0.4510104244
Amesbury,-0.04570012861000001,-0.5191235608,-0.021013726809999998,0.42792574990000004,-0.3112402768,-0.256097969,-0.24260337969999998,-0.1914278764,0.37984204369999996,-0.4130920069,-0.011539076340000001,-0.4451009097,-0.18597369719999998,-0.42643740869999996,-0.0137551598,-0.2836479886,0.8457444265999999,0.8562633198,-0.08313690107,0.5929988503,0.5370923536,-0.5490651926,0.028733297830000004,-0.2531500549,1.13321813,-1.014008059,-1.2827235909999999,-0.3176221141,0.07619475106000001,0.3211616783,0.05130781148,0.05014618656000001,-0.008199618048999999,-0.8382223552,-0.5880496011,-0.5144320752,0.56583788,0.4902315557,-0.603775346,-0.3918414363,-0.3272031942,-0.06990868900000001,-0.28636470070000003,-0.1527108719,0.2369477374,0.7570533895999999,-0.7312789662000001,-0.22035394260000002,-0.5637695634000001,0.7107998270999999,-0.25790984699999997,-0.01296824915,-0.1252928187,0.1539236615,2.228787661,-0.4792346314,-0.3227547203,-0.09286928088,1.102488319,0.5020963619,-0.29329159969999996,-0.05433054119,-1.048551832,-0.5759483143,0.47813337570000003,-0.5039005819,0.2536106354,-0.3685583675,0.27474411460000003,0.3188307466,0.6880843984999999,0.40517008479999994,-0.1263412588,-0.3268683916,0.6925415285,-0.1801529437,-0.8514565403000001,-0.03120258028,-0.40832239810000004,-0.23551447879999998,-0.17455831730000002,-0.1944011154,-0.21026290399999997,-0.10518342779999999,-0.30659139420000003,-0.3194225195,-0.41808093259999995,0.47047001039999997,0.5465923439,-0.3972349021,-0.2974795468,-0.4006924508,-0.28010983429999997,0.01899860476,-0.2783709593,-0.17861052239999997,-0.17451522190000002,0.17421112940000003,0.006509721335,-0.9289522084,-0.8508037524,0.059665276610000005,0.4207910756,0.9021391398999999,0.2234748764,-1.4522430519999998,0.5864496289,1.390981789,1.5792514,0.2489806203,-0.9517758951,-0.37488047280000003,-0.5753223109000001,-0.6340954022999999,0.8782290576999999,-0.1492016077,-0.06424157268,-0.2540931642,-0.1874460472,-0.39465380229999997,0.004097692779,-0.302262743,0.04144336086,0.9039306426,-0.22786925219999998,-0.02673550756,0.01174562942,0.07060244341000001,-0.028158539110000002,0.5887839857,-0.02141435553,0.02141435553
Amherst,0.8436224973,5.430582296,1.5502775830000002,-0.4173000541,0.17303344420000003,-0.2677974955,0.4520490756,2.422416834,-0.4937507214,0.9256738883,0.2118431852,2.514310744,0.24702711489999998,-0.1288419635,0.7945143286,0.3331840125,-1.81146991,-2.178693344,-1.033231805,-0.1783887541,2.333292394,-1.707241825,0.5070650733,0.4769332725,3.3537071089999997,-0.06788150639,2.869076901,0.36564476729999995,1.360605589,-0.19628914600000003,-0.9391357181000001,-1.259666826,-0.8538396415999999,-0.9901414023999999,0.6245662771,-1.794865746,1.970069878,-0.20461951309999998,1.094894696,-0.3918414363,-3.8088956210000005,7.96947387,-0.3153816098,-0.1985915586,-2.361396105,-0.3208807623,0.7228218984999999,-0.8230362845,1.600271285,-1.772691815,-1.261495721,-1.7452946280000001,3.034418609,-3.133798208,0.07105947288,0.9047406378,4.7829255999999996,2.58917204,0.02155703417,0.8821489684999999,-1.7312185359999999,-0.037919164289999994,2.219393887,0.2729624722,0.8666881689,-0.9280416660999999,0.15111514550000002,0.4647040286,1.187314501,0.7260469209999999,-0.2172530436,0.2722198038,-0.09870977586000002,-1.257832972,-0.36983591299999996,-1.82326305,-0.4893067825,8.314256389,1.508541712,-0.1900246904,-0.17166343469999998,-0.18431226609999998,-0.22172110609999998,2.786712366,0.331791367,0.4248520968,-4.173587199,-1.630798367,2.396672754,0.2000171319,0.2813759744,-0.14238571490000002,0.1897639393,0.1083090102,1.532315921,-0.20825354010000002,-0.240396995,0.5694254971,0.023945806459999996,-0.8081728587,0.6948682803,-1.411597922,0.01142946935,-0.8311075529,0.46695034960000004,0.5823277017,0.5524735919,-0.6569311395,-0.6346546704,-0.7461080342,0.2739167273,-0.1557579983,-0.16908169620000002,-0.3485824661,0.8228008563,0.6314052789,0.4712568454,-1.606314037,0.8571107804000001,-0.33309798399999996,-0.452899409,-0.7758519887,-0.2859811196,-2.097701418,-0.6108513904999999,-0.07313420781,-1.2147222009999998,-1.203154041,1.169401987,1.836408085,0.30513092940000003,-0.30513092940000003
Andover,-0.1445137537,-0.6242420388000001,0.41272957439999997,-0.07920973248,-0.3112402768,1.279464886,0.8031781451000001,-0.3964353046,-1.141584852,-0.07431643401,-0.030375321210000004,1.728699129,-0.18597369719999998,-0.1177473885,-0.06714980772000001,-0.1165798415,0.024105783080000002,0.1194530314,1.219560862,1.755820168,0.5117668761,0.3252473643,-0.8553604235,-0.6635453495,-0.9731283705,-1.219282402,-0.43931962,-0.4168105733,-1.474027965,0.029461981760000006,-1.35916715,-1.3107726370000001,-0.7234382881,-0.9979458453,-0.5021611043,0.1718068109,-0.1434140034,-0.1281601464,-0.603775346,0.2121906791,0.127871385,0.08352392144,-0.3447668339,0.07615828602000001,1.168020948,-0.06636853199000001,0.15494818800000001,-0.22035394260000002,-0.6252479966,-0.9994743761,2.023990667,-1.0704625970000001,-0.24294164850000002,-0.33769830030000003,-0.1483705123,0.037671794480000007,0.1952128485,0.01028615453,0.5019709386,0.4749497471,1.6849568769999999,-0.7600197479,0.5533404085,0.3607808294,0.1657657968,-0.09490739369,-0.2930319777,-0.09080423548000001,1.076699909,1.013493632,-0.8208113383,1.0433314340000002,0.5006840754999999,-1.314255068,0.3953287919,0.5364716101,0.892585537,0.7313416851000001,1.373353431,-0.2375506309,-0.15546156,-0.16525757800000002,0.9011826934999999,0.059843234339999996,-0.5015598828,-0.5544566089,-0.15519549400000002,0.03785593272,-0.2211577286,0.3348804944,-0.48475633310000005,0.1780139862,0.4382223736,-0.08519686821,0.3711145522,0.3025472155,0.36319139570000003,0.7748746661,-0.09756965882999999,-0.9431615436,1.108887575,0.47345805119999995,0.06601101684999999,-0.8977708872,-1.04800815,0.9273718647,-0.07608309124,-0.5149965800999999,-0.8588476902,0.3953171871,-0.735477197,-0.2105386169,0.9515820684,1.027070772,0.57337395,-0.6354813076,-1.018290478,0.10996630140000001,1.105893981,-0.5071483404,-0.6099029826,-0.47635381299999996,0.04609965523,0.010587767409999999,-0.005913694782,-0.8501538828,-1.7794660930000001,-1.77559522,1.902535965,0.8691343758,-0.4305561968,0.4305561968
Aquinnah,-0.7044576293000001,3.0128573010000004,,-0.3046032802,-0.3112402768,6.326835617,5.047149715,1.44863155,-4.708325169,-0.5257145095,17.8841146,-0.6867391519,-0.18597369719999998,-0.38112503810000004,5.112604652,-0.5967702211,0.8457444265999999,0.4703150735,-0.8632030465999999,-1.301773311,-1.86413718,-2.516163034,-0.9101364901000001,0.1740918773,2.387488919,2.5672627230000002,-0.3017728139,-1.770674296,-2.437736702,4.764530591000001,0.44389876549999996,-1.104796471,1.05928002,-0.8886221362000001,-1.23096276,-1.49465858,1.8501834830000001,-0.8576877375,-0.603775346,-0.3918414363,-0.5763218015,-1.273168423,1.77551753,6.322456076,5.217106768,-1.061960492,0.16355233519999998,2.4314483609999997,2.891318383,1.118161105,-0.2010158632,-0.9293897794,0.7654768923999999,-1.177552485,0.4002044507,0.6379502245,1.551794576,0.01028615453,0.2617639864,0.3120700586,-1.252199968,-0.579494602,1.870784494,-0.6052211001,,,,,,,,,0.7079414561,0.1104028509,-0.9516140358,2.058410409,-1.75544626,1.926503488,0.7035400758,2.2530079069999998,3.986440918,4.039872534,-0.47380155090000003,0.020551171919999996,-0.5015598828,-0.5544566089,-1.075294529,-1.198184289,1.208995321,-0.5513644593,-0.8593099056999999,0.1809116579,-0.880128502,-0.3382430168,-0.6818392317,-0.9968602352,-0.884352618,-0.8354136854,-0.5181429064,1.425060999,-3.873144602,0.3355271263,1.7307482159999998,-2.0310475709999998,3.57802584,1.5103775190000002,-1.808860975,0.07301802325000001,-2.316102319,-0.4827022139,-0.5912780649,1.652002416,,,,,,,,,,,,-0.7398202477,,1.614651265,-0.3213519762,-0.4316021758,-0.05029746949,-0.5132799049,-0.9394698398000001,0.9394698398000001
