,no_vehicle_avail_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,moved_lastyear_%,age_lt18_%,house_2000to2014_%,house_income_gt30_USD_%,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,dentists_per1000,young_females_%,median_age,lt5years_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_hisp,less_than_highschool_%,vacant_rentals_%,Diabetes_admissions_AA,Diabetes_emergencies_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Abington,-0.14451375370827907,-0.6080764708127471,0.4808786423049862,-0.31124027680209804,-0.23854867918419745,-0.2800579839764032,-0.4748462654364061,0.04970149786243628,0.0776562258723453,-0.15431438144816306,-0.16328179466609724,-0.1859736971719617,-0.1875186008028332,-0.13895843836777966,-0.8814123374113769,0.9452956566999188,0.08705353746141613,0.5625407672260248,0.6868763685437124,0.23566026185015854,0.10960972908864236,-0.5560517227309697,1.6762921135272406,-0.5797844516366639,-0.003927090898981225,0.17717591154934353,-0.4571694650274786,0.032761450264558185,-0.7498540280545033,0.8215533017517587,-0.0024501250252007218,0.3918414362995731,-0.4018781445741938,-0.08784524291016525,0.6635801586970326,0.07555480508549713,0.0362384058074294,0.5091834552113521,0.061744543631708615,1.2047810629919569,1.0714846461775214,-0.569405943523222,-0.2991801516798277,-0.09854644193244537,-1.1538471385019995,0.9544486831823592,-0.07556582426818446,0.06061676334228565,0.022073922184999692,-0.03314378946724146,0.05780750077608144,-0.26501173950554624,-0.1454585395553364,-0.9074869837720656,0.11076340575898376,0.04751163955545685,0.2541298658031759,-0.4828868278955658,0.10135246646646184,-0.6112999753247236,0.19512019210754206,-0.9062967471776308,1.2738961547110677,-0.1465845533027426,-0.33824301683782404,-0.563750956827763,0.3267813579125403,-0.1421971705092017,0.054794541851694606,-0.6851960346300484,-0.2621735480641705,1.7034574419776318,0.16884246218093393,-0.08763267268367628,0.35626428458157644,0.1447611487902814,-0.3730620206786233,-0.13022037581489349,-0.4534349005225248,0.5262652084019331,-0.2835794417237762,-0.010196254532537495,0.0030479976114679503,-0.3866978482859717,-1.5826871045123876,0.03799588913728779,-0.4841411027230229,-0.0038120027552392007,0.22852276919250694,0.08277248983560485,-0.6102036606765545,-0.15284342969395484,-2.2964955220765533,-0.1619403542361939,-0.3844679168491613,-0.25741498309805105,-0.1261416128687541,0.05877686918261039,-0.6547202144336091,0.15206600882840632,-0.6508295642796725,-0.7201190858019048,-0.5183078031142804,-0.012730548875909744,0.16042360631385852,0.2706984971218419,0.9000351954972013,0.08874031924214974,0.1867588359696543,0.1049140816536752,-2.327365814469664,-0.6411746568530856,-0.4833734461089044,0.050730988906563836,0.11477783133272733,-0.4834408797861812,-1.7263499940598792,0.21502926076114465,-0.03301686562659484,-0.2831809338571848,-0.9285381510465246,-1.2958809768573047,-0.7648440974510958
Acton,-0.5397682541104062,0.4335087185681383,-0.4766783023701113,-0.31124027680209804,1.115671515047174,0.4833168364919313,0.6014427328820874,-1.8451311302789233,-0.013870104386812163,-0.15431438144816306,4.0173410482790235,0.9108886765835351,-0.3241686529658586,3.7789261645560224,0.6601105861753976,-1.1677976620393935,-0.7682705368106442,-0.9952404516506456,-0.9541528924396532,-0.6783935461273509,-0.7943828701012956,-0.3519847002286325,-1.378514420689309,-0.5797844516366639,-1.4187102756988423,-1.3416425463744637,-1.0393768713983724,-1.3300468768027898,-0.864899441060229,0.3259459373074782,-0.6037753459883469,0.3918414362995731,-0.7627137948296409,1.0381037554018018,0.2617919308159589,0.9188711980913528,-0.6067854064114001,0.8245994591162247,0.04126029522459282,-1.0992337814204902,0.3211366086526292,-0.3967500872679388,-0.2991801516798277,-0.5789603463531271,0.040603910966790516,0.4133555765274234,-0.06347387477234066,0.07378005899612948,0.030907988378034938,-0.00915739962782035,0.5544986334153986,0.9447371863264854,0.11320590956597593,0.19541125196043035,-0.0536521506750575,0.4462181857505838,1.272290651746825,0.9869306708657956,0.18731187163477195,0.6834768548207706,-0.11360315548417825,-0.3054157446217565,0.5940740326185412,1.1109193587793649,0.0487687398901075,0.8237862723528032,0.8856444484070379,0.08633123429741772,-0.8142261513308112,0.3636528446831534,0.1286307390452273,1.512422025713127,-0.3977958796827495,-1.0209553198806784,0.16589509122190513,0.2806652965011177,-0.2716801925134044,0.2621174088291128,-0.9509792277417044,0.8507132555021882,-0.3018396479327372,-0.07857564026047423,-0.17342944501643073,1.2546286479734918,-0.8333595421378098,0.2106723187014782,-0.4163929354241771,0.33803154928453194,0.32880829516148063,0.564180507098696,0.7301709742516831,-0.8799171099131494,-2.8525971362238978,0.3676728394877729,0.37149153996178796,0.362742706461548,0.09067658785666743,0.4362386627714793,0.1318797334241485,-0.2351463947983449,0.4657039674069776,1.0712546820624806,0.8085094450943231,0.8615767698169453,0.1559698579718319,0.2706984971218419,-0.3893386965242001,0.09885785898363156,0.21534519811657574,0.11798453439704695,0.17727789910728456,1.9043945392789905,0.5791930440822314,0.5987134868057017,0.24479996657543485,0.7678711001757329,0.5484121808405834,-0.06882629603197518,-0.3019013165531572,-0.17788802306918494,0.4604160760927515,0.7603495850825985,0.10119977983049397
Acushnet,-0.5397682541104062,-1.1111905508100153,-0.3076976650745059,-0.31124027680209804,-0.6460821861595129,-0.5860603692752483,-0.3210906942480499,0.4795605086362749,-0.6122130386990301,-0.15431438144816306,-0.5655475224644902,-0.1859736971719617,-0.03881210247777893,-0.3365158724450949,-0.29075048805538045,0.16035142701874314,0.17657468240103472,0.6749946188914278,-0.34206819778008624,-0.6787611526965759,0.5088297038320684,-0.09252098331393012,-0.25833983895225515,1.8605316918023997,1.3401898289622145,1.2492179974161148,1.6952583392579017,-0.2346948188589174,1.481961654589501,3.230443092432779,0.9071418686484108,-0.18308318654613787,0.85961131168727,-0.5425554153053825,-1.023930398403477,0.3537642825223627,-1.350120195077111,0.7913977744946591,0.9118408525269645,-0.4775154900710997,-0.6960018422144469,-0.1994291086904723,-0.4023355870822046,-0.6990638224582975,-0.8009411466134935,1.215371050818336,-0.2357841550881148,0.007963580726910384,-0.2105564875649285,-0.00915739962782035,-0.8876977570646151,-0.4644102553071604,-0.23703516336059435,0.6365705462534286,-0.5848408714619601,0.2591376817705066,-1.0242728643556491,0.3027724246234223,-0.9491284950430308,-1.039836731496772,0.19175230104290514,-0.15519549398278548,-0.7655702115665118,-0.8801285020173051,-0.33824301683782404,-0.681839231651641,-0.9968602351590706,0.311264995962078,-0.0600564661401131,-0.5057876736948962,0.8642623383099753,1.1849327406882613,-0.5977858826934614,-0.3581609762190395,-0.8811354722562857,1.8435629951757384,-1.2652221085325486,1.2429618704391288,0.24898062025749365,1.2833106516358619,-1.1418091335449423,-0.0943554985053834,0.12560177721417418,-0.7311737795996865,-0.390575073461924,0.0277166651693474,-0.3886813838307434,-0.027348891788535442,0.13274221720002186,0.4578585214345438,1.5799509715591282,1.6898198416087002,0.5162383479941184,-0.4274384479037454,-0.6841712530599586,-0.6420697525717266,-0.996828875624385,-1.2428155225031383,0.1318797334241485,0.15206600882840632,-0.7683594097203726,-0.5738844925068537,-0.2999707875862824,-0.4750529211894268,0.2425653432135545,0.2706984971218419,-0.6419304677060859,0.08246797653732213,0.21217636858540986,0.08779173322057318,-0.8329531451126144,-1.4648019100329803,0.693652267479053,-1.6388817129490996,0.5417131758613412,0.3560115742982502,-0.35854140086873265,1.1721907014097206,0.020760024558717644,-0.8359687154941841,-0.27061246450686754,-0.708386530588761,0.07455227591413734
Adams,0.21780287166033746,0.4954117758749221,-0.4203514232715762,1.0285525102384545,-1.0672651407368725,-0.6225979675198866,-0.6798536936875479,0.6777735469008043,-0.388029039175566,-0.1135610104978612,-0.6267452327006078,-0.1859736971719617,-0.6658235600774763,-1.034398317313049,-0.6056848476681258,-1.6637683729521229,0.8325660048175497,-0.2368557091760665,-0.0908412777390233,0.6915750416399521,1.669930321334363,1.1565387962525229,1.8124386116191344,0.7745435909280102,0.8619465930607932,0.4648370085390501,0.571690781275456,-0.010813518732226088,0.02372085325347991,-0.2663843133421801,-0.6037753459883469,0.3918414362995731,-0.3916104222309249,-0.2610681657273911,-1.7069703858013026,0.777504451920177,-0.011748445850692214,-0.13824939490917484,0.7684511136771629,0.4002044506574517,-0.629304238878901,-0.1994291086904723,-0.2991801516798277,-0.5789603463531271,-0.6109148432889132,0.5224296810309874,-0.05742790002441876,0.029024853773060494,-0.0132623425871413,-0.00915739962782035,-0.8362365379746894,-0.4816831889082991,-0.3087136536000926,0.04835815386276423,-0.2749807843362668,-0.2287986067233786,0.4997247287208029,-0.4632967644517242,-0.7532213540804491,-1.039836731496772,-0.012566423545069805,-0.08008536866330314,0.037855932724655546,0.1356777495436443,-0.33824301683782404,-0.563750956827763,-0.07343209019049309,0.38906629522999786,-0.6885312037990282,0.6396657076603102,-0.7219432976046377,0.1205925643574488,-0.4311275468512015,-0.08763267268367628,-1.4046507539953814,0.7053657580974818,0.5799271640744336,0.7665517033714067,0.6001883806475027,1.1030617365801647,-0.5392223286492301,0.3948201070867829,0.5226760231269527,-2.3927635659364275,0.08626973895826194,0.01577678427474249,-0.31562126668379903,-0.2258087599183619,-0.29796508479261696,0.2990171716513925,0.8396787058634673,1.1289997811605312,0.22919882487133986,0.4540269663165748,1.1182458987543524,-0.4222670271581974,-0.5341695654150203,0.11084056485004183,-0.4252952296417629,0.5392784124551575,-0.3570049506779227,-1.9631131288098456,-3.894133966277943,0.11858636908049815,0.13120251531961125,-0.02433422489426375,-0.059403484773656284,0.08794346636075075,0.190792393892798,0.13600043156446873,0.5576126956186181,-0.9416010389704476,1.8725021078764108,-0.1975735804539828,-0.30035452656721817,-0.5056865406106676,0.3611188879969824,-3.616664363571256,0.2358675852999676,-0.4411203000391846,-0.39245055460680395,-0.8419079956497937,-0.0853327475840023
Agawam,-0.27626525384232153,-0.010427558993280751,-0.25137078597597073,-0.31124027680209804,-0.7279788717717772,-0.5730112270450204,0.4989390187565165,0.438561145502573,-0.28920769003112673,-0.1038330454510757,-0.15555203234291254,-0.1859736971719617,-0.4302147106480985,-0.5308753227331128,0.1912470455486282,-0.7639465543633446,0.6446876675286948,-0.2792184728815524,0.2276115079152327,0.027669923082041116,0.3367996849595344,0.30819895655385937,0.4338460180108469,-0.26932747717849503,-0.42561730638362394,0.5031792943495283,0.4445860951604602,1.4132412446827898,0.1654845365497884,-0.5542962410396797,1.1913723508912075,-0.4851972413124372,0.19918846771110704,-0.08784524291016525,-1.1444668667677993,0.2092066165854272,0.0778577713801464,-0.17145107953074035,0.8606302315091788,-0.33122883328300795,-0.595955437211128,-0.5447408212010387,0.010286154527303214,0.5019709385934067,-0.8280877613741479,0.31925242754395594,-0.10579569800779397,0.11326994595766092,0.033852677109046686,-0.00915739962782035,0.1074766140400132,0.21046171890604815,-0.038706251313210496,-0.04967724486901323,1.1225514453530838,0.969573243927812,-0.5079218618478083,-0.020086547222441253,-0.09991267105716273,-0.24005422933610404,-0.04680664936887882,0.10768994463540796,0.037855932724655546,-0.0553141080709768,-0.33824301683782404,-0.5440695776904501,-0.25328864097772863,0.038154752647712814,-0.8308273708161409,0.37745348783200977,-0.3771159854492868,0.14788333810952095,-0.197805876672038,-0.12821191821398076,-0.11965869881760115,0.4165694442119544,-0.25140382688036056,-0.6066305428826154,0.6001883806475027,0.7065141234576305,-0.3748804727685812,-0.18377469522652928,0.08148241655720168,-0.26511810782230755,0.12033008270256093,0.08018617648596682,-0.5578223419586524,-0.36377962502636,-0.8011500905874416,0.37338500098117894,-0.9562480925697924,0.3122649210948072,0.5162383479941184,0.11892081347239132,0.21522846389662412,-1.2347521014546348,-0.08004640484051519,-0.7612263375794107,0.0007797421145221929,0.6167208931805078,-0.2394751052372226,-0.4824878716974452,-0.3503562527081279,0.015044632348169825,0.2425653432135545,0.22770343676982144,0.4041027984693858,0.0977766135401701,0.22012498880286346,0.11217330123149977,0.21392911480422014,-0.821119845635265,-0.6009980660279217,0.6358164684342881,0.17357009560572031,0.06419901527828406,0.3860913270427959,-1.0736219421347843,-0.4363435420164384,0.21696039238581452,-0.10003913836695642,-0.9754294607108264,-1.7508017423562905
Alford,0.053113496492784434,1.2092015137830934,-1.0399470933554629,-0.31124027680209804,0.8816809847264185,0.7515402424618284,1.3189687317610832,1.1934896299196174,-0.2591422022806604,-0.15431438144816306,-0.39928564721195614,-0.1859736971719617,-0.8534634228615674,0.019591731962399567,1.343522787134832,-0.9897854021716412,-0.8320479530771764,-0.5364949390756789,-1.6950135281751515,3.138283257936473,-1.3509579608746929,-0.5804218408496131,-1.21800173277994,-0.5797844516366639,0.28100865826621124,-0.7447163963304593,-1.4932455422892612,0.03788341277013785,-1.23096276027941,-0.8576877375269001,-0.6037753459883469,0.3918414362995731,0.4185287952270935,-1.66850441361735,1.4671566144591803,-0.13896555732281962,0.05164956778224922,0.3431750321035244,-1.3311843480520875,1.6436410333562328,0.1377181994798778,0.3185384600753773,1.041840508551073,0.6220744146985772,2.5652390837076418,-1.218478575163155,0.8170184437050863,0.004417940724453845,2.411947078963161,-0.5096629306962573,2.455275640403852,0.6391399277141198,-0.3341943343020917,0.7791856698243322,-0.9516140358148212,-0.8759401527334877,-0.8277894158427063,-1.888883774910825,-0.8406718064780546,-1.039836731496772,-0.16524415180861146,2.5112139548589067,-2.248818477950207,-0.8801285020173051,8.890498874366697,1.3551835090602542,-0.9968602351590706,0.5244645202437913,1.4269384791887159,-0.7403986072254801,2.8182837738569613,-1.380399992006517,0.13551079501248192,-0.30405531551196685,2.8905541711821985,-1.5710287160590306,-1.3868803023308114,-0.6907029253063309,-0.8924446010100361,0.7065141234576305,-0.8679060404105277,0.972273603198248,0.003375841957390398,-0.03744970367463403,1.1910751249380795,1.969852841823808,0.4127270184859952,0.8832539415953807,0.9943138876396834,0.5008299573201872,1.5799509715591282,-0.4887833909638415,0.5162383479941184,0.5360533975746304,0.6080019730678217,0.2098414365605545,1.2830927157157763,3.2173932083047814,-0.3417537301484841,-0.429897305080192,-0.2601970575246155,0.2821860764406557,1.1108222358253974,-0.4750529211894268,-0.5042539296248251,0.2706984971218419,-1.2066359167278702,-0.12564423792953378,-8.477306065126777,-13.542308678717447,1.2058729998352269,0.028555949677473432,-1.3749170021681043,0.01077393176808649,0.5139847672263806,0.6434866550505699,2.5008633752604474,-0.23589979679884496,2.4407200828977795,2.322818608145812,2.1905169555118498,2.3091985797905776,0.9139486492793704
Amesbury,-0.045700128607747324,-0.062134130033627964,0.424551763206451,-0.31124027680209804,-0.25609796895825404,-0.2611367277425727,0.1914278763798042,0.37984204372702857,-0.4130920068527222,-0.011539076344071166,-0.44510090965564003,-0.1859736971719617,-0.01375515979865167,0.5929988502522509,0.5370923536032982,-0.5490651926453132,0.028733297832185645,-0.2531500549194328,1.1332181299266946,-1.0140080586977815,-1.2827235908629098,-0.3176221141049788,0.07619475105886013,0.32116167826942604,0.0513078114782475,0.0501461865588551,-0.008199618048757904,-0.8382223552180746,-0.588049601058521,0.4902315556964602,-0.6037753459883469,0.3918414362995731,0.06990868899626132,0.2369477373721327,-0.22035394264132951,-0.7107998270892464,-0.009256820860751285,0.11076323975256663,0.1539236614637234,2.2287876605086003,-0.4792346313739226,-0.3227547203013889,-0.09286928087507376,1.1024883191192592,0.5020963618979141,1.0485518321658265,0.199526026762262,-0.2342410593038156,-0.060377362283329315,-0.00915739962782035,-0.4388836318632357,0.4030585628196057,-0.1263412588141986,0.21992010164337453,0.6925415285255914,-0.1805351998426077,-0.8514565402539902,-0.031202580281965743,-0.40832239805275533,-0.21026290404072093,-0.10518342782258587,-0.4180809326009831,0.4704700104199003,-0.2801098342899556,0.018998604757189674,-0.2783709593367245,-0.1786105224051822,-0.006509721334560899,-0.93043468772812,-0.8508037524163442,0.05966527661415645,0.4207910756302423,0.9021391398868768,0.223474876381991,-1.4522430523352994,0.5864496288505002,1.3909817893961842,1.5792514001339917,0.24898062025749365,-0.9517758950547842,-0.3748804727685812,-0.21007445896804305,-0.17342944501643073,0.6467299456551721,0.052209395213962964,0.05001642720278762,-0.4922701635596009,-0.04807252938487835,0.29636950814124524,0.13545885406223834,-0.22911675466754555,-0.026735507561673446,-0.5855641174533008,0.1424443337255067,-0.35085835993147296,0.017338423668859744,-0.06980302527868394,0.1498883366006129,0.16465473125155464,-0.6223587984250963,-0.2688575665973976,0.19384712229216924,-0.33356109766751263,0.75735613165023,0.06252301580771005,0.2706984971218419,0.9753327964340104,0.09123931282784087,0.2303180148029644,0.10637216904061624,-0.6736698525385642,-0.5258159457411523,-1.9558729876037568,-0.3602558845177864,0.13480298844132582,0.17945513085248052,0.28847179259097977,-1.2645356330429027,-0.4094550969237822,-0.5464132108271844,-1.050376241146461,-0.9220208746864132,0.39432232291041663
Amherst,0.8436224972970388,1.3199058509662924,-0.4203514232715762,0.17303344421169836,-0.2677974954742918,0.4539562664739184,-2.4224168338222523,-0.4937507213739321,0.9256738882972232,0.21184318523625545,2.5143107435178904,0.2470271149021701,0.7945143286002785,-0.17838875414567473,2.33329239404852,-1.7072418251721084,0.507065073289058,0.4769332725477428,3.3537071085821277,-0.0678815063902543,2.869076900758761,0.3656447672801112,1.3606055894330171,-0.19628914595530167,-0.9391357180566984,-1.259666826214456,-0.8538396415526097,-0.990141402384758,0.6245662771320589,-0.20461951311823795,1.094894695707056,0.3918414362995731,-7.9694738696499074,-2.361396104886253,-0.8230362844629402,1.7726918146796522,-1.7475805221762066,-3.0101951146745907,-3.1337982078781748,0.07105947288424462,0.9047406378386564,4.7829256003905565,2.5891720395867277,0.02155703417272517,0.8821489685470745,-2.2193938870782133,0.3536983828342705,-0.381669970626866,-0.05154329609029405,-0.02971716234732416,0.15714572730394485,0.3127787922351256,-0.09870977585589268,1.0287121411805382,-0.3698359130482137,-1.8259931476069795,-0.4893067824810887,8.314256388561548,1.5085417115879556,-0.22172110607740664,2.786712366345673,-4.173587198575201,-1.6307983669570008,0.18976393931061666,0.10830901015594313,1.532315921296071,-0.2082535401013841,-0.02394580645992577,-0.8094829457635742,0.6948682802557419,-1.4115979219153394,0.011429469349160651,-0.8311075528726249,0.4669503495638178,0.5823277016961861,0.552473591922791,-0.6569311395412358,-0.6346546703571874,-0.7461080341808656,0.273916727323957,-0.15575799826104922,-0.05753582926726975,-0.06558211896605014,0.6062033655006173,0.9377783325657356,0.16116092668635634,-0.4456415571702272,0.33109861345901737,0.7113035573363305,0.3972633347881095,-0.6145839699410259,-0.07313420780649244,-1.8328922625184445,0.4569688412924568,0.4553789310767132,-0.6087068388928872,1.7057160987720137,1.7898947501246572,1.311779655210784,-1.5516685671292998,-0.1219452597965225,0.5411542813679178,0.4894014993226337,0.08443897623987504,0.1218905143754147,0.2706984971218419,-1.610077469807846,0.09518089450830283,0.17832202701628713,0.12755778534345447,0.9715565945335088,1.6855184856001115,-0.8906712969180702,0.9012454908541776,0.28082554551065064,0.8076703934777041,0.8458112276589074,0.7591482717309821,0.1283138049293426,0.4801926693558142,0.021798951732980076,1.13420968725349,-0.018713987793110787
Andover,-0.14451375370827907,0.3193677466553955,-0.08239014868036529,-0.31124027680209804,1.2794648862717026,0.8154175062512323,0.3964353046309456,-1.1415848521273404,-0.07431643400503987,-0.030375321208610168,1.7286991292789256,-0.1859736971719617,-0.0671498077233799,1.7558201683182637,0.5117668760664968,0.3252473642531437,-0.8553604234940244,-0.6635453495065111,-0.9731283705110534,-1.2192824015829593,-0.4393196200344176,-0.4168105733219536,-1.4740279652328605,0.02946198176283552,-1.3591671495700082,-1.3107726366312664,-0.7234382881191842,-0.9979458453068808,-0.5021611043205999,-0.12816014641779672,-0.6037753459883469,-0.2121906790620012,-0.08352392143934095,1.1680209475147212,-0.22035394264132951,0.9994743760865891,-1.0704122193544827,0.22696913592804605,-0.33769830030702824,-0.14837051229789291,0.037671794476558725,0.19521284846446085,0.010286154527303214,0.5019709385934067,0.4749497471372593,-0.5533404084845575,0.075583544429863,-0.09207746624230234,-0.0132623425871413,-0.016010653867654955,0.5544986334153986,0.8364014616251093,0.5006840754705563,1.077729840546427,0.3953287918948244,0.5371133395298636,0.8925855370473202,0.7313416850669646,1.3733534314065676,0.9011826935178006,0.05984323434462455,-0.15519549398278548,0.037855932724655546,0.43822237355264587,-0.08519686820802265,0.3711145521946043,0.30254721552133834,0.09756965883319796,-0.9446643044298312,1.1088875747214786,0.4734580512005776,0.06601101685330454,-0.8977708872095289,-1.048008150234215,0.9273718646605896,-0.07608309123982822,-0.5149965801099294,-0.8588476901537622,0.3953171870866639,-0.7354771969879474,-0.21053861688793274,0.3632603905969599,0.4540459065494346,0.4238337548051217,-0.18621301099613,0.18763232923121848,-0.5774849113721396,0.4613647009350358,0.4488989696177432,0.13173573986994316,-0.005720982179506161,-0.8501538828336146,-0.8658480045055804,0.3854229203308355,0.4174806353215176,-0.3300283834578777,0.8538083652130734,0.37115904318719184,0.23020472690636776,-0.2351463947983449,0.5538513514875022,1.2906065720050584,0.8085094450943231,-0.4750529211894268,0.1508065496462022,0.2016790469815461,-0.3084333028609447,0.09958281853802847,0.2276699400452876,0.12643808056101566,0.599261374669544,0.6985478233736271,0.7451128414480761,1.3065242132587458,0.44321723716449934,0.6771467119771615,0.6823552629954011,0.7017547169458161,-0.4363435420164384,-0.07259511228118508,0.36294560401280224,0.7603495850825985,0.3809985709522383
Aquinnah,-0.7044576292779593,5.344056337435915,-0.3076976650745059,-0.31124027680209804,6.326835617398995,5.184270324931546,-1.4486315496293292,-4.708325169313609,-0.5257145095178178,17.88411459685812,-0.6867391519286803,-0.1859736971719617,5.112604651815727,-1.3017733112006302,-1.8641371796660748,-2.5161630339872234,-0.9101364900625484,0.17409187731266365,2.3874889188056345,2.567262722687183,-0.3017728139220313,-1.770674296038952,-2.4377367017958025,4.7645305913846485,0.4438987654862865,-1.1047964705125979,1.0592800196866266,-0.8886221361956823,-1.23096276027941,-0.8576877375269001,-0.6037753459883469,0.3918414362995731,1.2731684225855853,5.217106768367373,2.4314483613737576,-1.118161104822386,-0.928851006963024,-0.7690814027189199,-1.1775524849987278,0.4002044506574517,0.6379502244964725,1.5517945761845429,0.010286154527303214,0.2617639863830658,0.3120700585733336,-1.870784494253097,0.6548478745921353,0.3692378245596368,0.8134881140124008,0.3255517034164317,-4.026674578531549,-2.1861187800435986,0.7079414560913034,-0.1599670684422628,-0.9516140358148212,2.061226838357634,-1.7554462603486565,1.9265034879981973,0.7035400758342415,-0.4738015508844941,0.02055117192386012,-1.0752945291464708,-1.1981842892617562,-0.8801285020173051,-0.33824301683782404,-0.681839231651641,-0.9968602351590706,0.5181429064424149,1.4269384791887159,-3.873144602016225,0.3355271263384372,1.7307482157297032,-2.031047570936896,3.578025840220491,1.5103775193245823,-1.8088609745529949,0.07301802324833961,-2.3161023188315,-0.4827022138883589,-0.5912780649433897,1.6520024164260876,1.2643554641152168,-0.5006906967803685,0.8358582853297033,2.7933494459754566,2.4278976247414867,1.5661562556236583,-1.1683526366388486,-1.220330240835238,1.3560510123143033,0.2503469709971056,1.6146512651476062,0.5162383479941184,0.5360533975746304,0.6080019730678217,-0.4969477162123761,0.6274560147182184,2.029621577392056,2.6772860689184705,-1.0518055781411624,-3.264189180138541,-1.6158059697340972,-2.1642329970945737,-0.4750529211894268,0.2425653432135545,-1.6218903157486608,-1.7713619102824991,0.10631238587077113,-8.700395559502653,-1.069042096917446,-2.9526155610417866,2.8831877449442604,-0.4525368664295635,0.9697433030915714,0.1937480861451168,-2.0737594844645253,1.4067779464709862,-0.88511815109227,2.4407200828977795,2.322818608145812,2.2148845735318368,2.3091985797905776,0.9139486492793704
