index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Abington,-22.00679221982093,-101.6116085211485,-28.61376968200061,-11.855510960172891,-9.9289904291448,-39.04908922506947,-112.46063599876504,-15.893794380981786,0.192,-0.2241,-0.5670000000000001,-0.09699999999999999,0.039,-0.125,-0.19399999999999998,-0.09699999999999999,3.65630713,-0.6206554120000001,-0.0,0.011361531336832357,-0.01234949058351343,-0.0010497066995986417,-0.0003704847175054029,-2.6551404754553882,-0.007810322,-0.002831085,0.8337,-0.1234949058351343,-0.1517906336,0.005063291139240506,0.0011732016054337758,-248.6,-686.9059,-93.0,-100.0,-129.0,-135.0,-126.0
Acton,-13.492506548718168,-38.37334134925066,-17.769571005281918,-2.8599647872203366,-2.3661270236612704,-32.2153991497402,-62.52415510800017,-4.994202774079959,0.2236,-0.2114,-0.5379999999999999,-0.073,0.034,-0.087,-0.096,-0.018000000000000002,10.57082452,-0.654307525,-0.0,0.007386095246274745,-0.005238974535148365,-0.0005153089706703311,-0.00021471207111263795,-0.7729634560054967,-0.006572939999999999,-0.0024943960000000003,0.8529000000000001,-0.08588482844505517,-0.00945894816,0.0013312148408983553,0.0005153089706703311,-48.2,-803.3497,-103.0,-96.0,-72.0,-58.0,-61.0
Acushnet,-32.27042037728622,-136.7327396342047,-33.266302786555585,-16.365029206166813,-12.927319735708132,-55.75026333429092,-144.50828306042325,-21.39232021449775,0.1724,-0.2751,-0.667,-0.073,0.039,-0.129,-0.18600000000000005,-0.084,0.0,-0.0,-0.0,0.006607296753806378,-0.016757636694436466,-0.0005745475438092502,-0.0005745475438092502,-1.532126783491334,-0.008210681000000001,-0.002458128,0.7745000000000001,-0.0,-0.05630630631,0.0068945705257110025,0.001532126783491334,-128.1,-294.2572,-91.0,-121.0,-102.0,-113.0,-63.0
Adams,-39.471440750213134,-140.031664839849,-71.72086225794665,,,-234.47813908171963,-201.3031299476312,-18.67007672634271,0.1836,-0.248,-0.563,-0.09,0.044000000000000004,-0.115,-0.262,-0.298,4.694835681,-0.8414472890000001,-0.00024357569114602363,0.008403361344537815,-0.012909511630739251,-0.0009743027645840943,-0.0,-0.4871513822920472,-0.007956356999999999,-0.002084593,0.825,-0.2435756911460236,-0.1543209877,0.0025575447570332483,0.001948605529168189,-64.7,-2258.751,-83.0,-106.0,-107.0,-118.0,-75.0
Agawam,-12.196507170239954,-52.80775237824791,-17.91495101519239,-7.08504898480761,-3.9294334800511153,-50.791566093994035,-67.73037058071844,-9.981541956552602,0.1422,-0.2214,-0.63,-0.077,0.045,-0.111,-0.18100000000000002,-0.087,3.875968992,-0.0,-3.5496237398835724e-05,0.009832457759477496,-0.0059988641204032364,-0.0004259548487860287,-0.0002839698991906858,-0.7454209853755501,-0.007897791999999999,-0.0028683560000000003,0.8542000000000001,-0.10648871219650716,-0.08949880667999999,0.003940082351270765,0.0020587817691324717,-62.5,-1215.539,-108.0,-81.0,-95.0,-123.0,-200.0
Alford,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.0,,,,,,,,-0.0,0.0,,-0.0,0.004866180048661801,-0.1630170316301703,-0.1630170316301703,-0.1630170316301703,-0.0,-0.007484770999999999,-0.0031135830000000005,0.8323,,-0.023607176580000003,0.0,0.0,,,-1.0,-1.0,-1.0,-0.0,-0.0
Amesbury,-15.19538606403013,-91.18408662900188,-43.932438794726934,-6.6854990583804135,-9.592749529190206,-94.68573446327684,-153.26624293785312,-16.272363465160073,0.20600000000000002,-0.2208,-0.56,-0.07200000000000001,0.028999999999999998,-0.11199999999999999,-0.14400000000000002,-0.086,9.746588694,-1.360383273,-0.0,0.011593691148775894,-0.01059322033898305,-0.00023540489642184562,-0.00035310734463276836,-1.4124293785310733,-0.007754247,-0.0032976670000000002,0.8193,-0.11770244821092278,-0.07638888888999999,0.0067090395480226,0.0012358757062146894,-71.1,-1293.856,-107.0,-110.0,-134.0,-121.0,-39.0
Amherst,-6.477335614026263,-23.89696634300951,-10.419077325552148,-1.3432610554912714,-1.5268903758112389,-23.44921265784575,-28.155657292347946,-5.068672334859387,0.1741,-0.1168,-0.434,-0.037000000000000005,0.017,-0.107,-0.125,-0.037000000000000005,4.424778761000001,-0.911807912,-0.0,0.003622277003571968,-0.007823112139658903,-0.0012074256678573224,-0.00010061880565477688,-0.17608290989585956,-0.006679334,-0.002960143,0.8634999999999999,-0.07546410424108266,-0.00493193924,0.0009810333551340746,0.00037732052120541335,-22.0,-463.6963,-87.0,-71.0,-90.0,-44.0,-70.0
Andover,-9.561525969400837,-32.08638422747087,-10.464685603578447,-2.558477449499986,-1.9060372090372948,-12.279552123992138,-34.604974500698034,-5.641186358585715,0.1883,-0.1667,-0.5429999999999999,-0.07,0.034,-0.084,-0.084,-0.018000000000000002,0.0,-0.693321008,-5.6981680389754685e-05,0.00763554517222713,-0.004729479472349639,-0.0002849084019487735,-0.00011396336077950936,-0.4558534431180376,-0.007159093000000002,-0.002441822,0.8776999999999999,-0.02849084019487735,-0.01977848101,0.001225106128379726,0.00048434428331291485,-36.4,-487.2404,-108.0,-92.0,-76.0,-58.0,-40.0
Aquinnah,-0.0,,,-0.0,-0.0,-0.0,,-0.0,,,,,,,-0.243,-0.195,0.0,-0.0,-0.0015625,0.003125,-0.0,-0.1671875,,-3.125,-0.006097155999999999,-0.002821314,0.8659,,,0.1296875,0.0609375,,,-1.0,-1.0,-0.0,-0.0,-0.0
Arlington,-7.8722738648552015,-23.72854844476225,-7.9482481229889155,-2.484805148373257,-1.8300858062209509,-13.4474436896675,-37.81060064354665,-3.8836253128351808,0.2269,-0.1736,-0.527,-0.071,0.038,-0.114,,-0.0,3.3670033669999997,-1.427664975,-0.0,0.012781551662495531,-0.0,-0.00239095459420808,-0.00020110833035395063,-0.8267786914551305,-0.0075646340000000015,-0.002813982,0.8715,-0.06703611011798355,-0.02753303965,0.0,0.0,-75.6,-707.4843,-103.0,-99.0,-80.0,-85.0,-28.0
Ashburnham,-51.465378421900155,-190.901771336554,-86.21578099838969,,,-79.71014492753623,-167.8582930756844,,0.2191,-0.2813,-0.573,-0.07200000000000001,0.031,-0.092,-0.083,-0.013000000000000001,0.0,,-0.0,0.007729468599033815,-0.023349436392914653,-0.0028985507246376808,-0.0,-0.8051529790660226,-0.006834026,-0.0026295940000000003,0.8387,-0.0,-0.06325110688999999,0.010950080515297906,0.005152979066022544,-81.9,-569.5142,-77.0,-94.0,-75.0,-55.0,-0.0
Ashby,,-540.4141826168811,-159.11515531848136,,,,-640.8534672105429,,,,,,,,-0.129,-0.09300000000000001,0.0,,-0.0,0.006589268904926263,-0.03608409162221525,-0.0034515218073423283,-0.0,-0.9413241292751804,-0.007252479000000002,-0.002650499,0.8634999999999999,-0.0,-0.09803921569,0.0034515218073423283,0.001568873548791967,-143.5,-546.8216,-96.0,-91.0,-77.0,-55.0,-223.0
Ashfield,-222.9036295369212,-586.6708385481853,,,,-605.3191489361701,-982.7284105131412,,,,,,,,-0.166,-0.114,0.0,,-0.0006257822277847307,0.005632040050062578,-0.10826032540675844,-0.0,-0.04818523153942428,-0.0,-0.006224858000000001,-0.002218418,0.83,-0.0,-0.1700680272,0.0031289111389236545,0.0006257822277847307,,-548.2456,-98.0,-1.0,-105.0,-35.0,-0.0
Ashland,-21.271829044117645,-71.01332720588233,-18.014705882352946,-3.9579503676470575,,-50.086167279411754,-94.78975183823529,-9.443933823529411,0.2269,-0.215,-0.5660000000000001,-0.064,0.028999999999999998,-0.10099999999999999,,-0.0,0.0,-0.9324552709999999,-5.744485294117646e-05,0.011948529411764705,-0.004423253676470588,-0.004423253676470588,-0.00022977941176470585,-0.6893382352941176,-0.007588133,-0.002783821,0.8449,-0.057444852941176475,-0.02949852507,0.00017233455882352942,0.00017233455882352942,-54.2,-751.7335,-96.0,-73.0,-100.0,-114.0,-39.0
Athol,-29.994756161510225,-154.43104352385947,-157.51616850201015,-26.463904911728722,-28.535221115189646,-93.3752840412515,-320.24995630134595,-26.865932529278087,0.198,-0.2476,-0.647,-0.064,0.035,-0.105,-0.098,-0.023,0.0,-0.687994496,-8.739730816290858e-05,0.010050690438734487,-0.014944939695857369,-0.0008739730816290859,-0.0,-1.1361650061178117,-0.007426222,-0.0024616950000000003,0.8173,-0.2621919244887257,-0.28985507250000003,0.003670686942842161,0.0008739730816290859,-158.4,-1377.246,-71.0,-65.0,-115.0,-130.0,-0.0
Attleboro,-6.387198249333242,-27.85794068704552,-15.313775103148007,-3.2688230869178687,-2.9314550137910595,-13.606419111445437,-72.25375549932754,-4.189746745993753,0.251,-0.233,-0.607,-0.07400000000000001,0.033,-0.11699999999999999,-0.251,-0.226,3.36473755,-1.820126044,-0.0,0.01098725751669744,-0.005972326699947571,-0.0001367708404568146,-0.0002051562606852219,-1.2537327041874673,-0.008168175,-0.0028833720000000004,0.8136,-0.15956598053295035,-0.1277480689,0.0016868403656340473,0.0005470833618272584,-86.2,-472.7424,-97.0,-93.0,-105.0,-111.0,-94.0
Auburn,-21.083677937241546,-86.27462904402823,-16.340306494770132,-6.823157382631964,-4.6217465336901,-37.61858428606179,-136.438822670883,-15.865969350522985,0.203,-0.2544,-0.585,-0.061,0.04,-0.11199999999999999,-0.175,-0.08,6.4794816410000005,-1.283304815,-0.00018243736317197763,0.009790805156896131,-0.01307467769399173,-0.0013986864509851614,-0.00024324981756263683,-0.7905619070785698,-0.0077688800000000014,-0.002871708,0.7675,-0.12162490878131844,-0.01368363437,0.022743857942106545,0.00614205789345658,-113.1,-585.6158,-93.0,-78.0,-81.0,-92.0,-0.0
Avon,-61.79498657117279,-446.21754700089525,-116.36078782453,,,-194.2479856759176,-514.3240823634736,-66.38316920322292,0.1736,-0.2234,-0.63,-0.09,0.045,-0.1,-0.154,-0.057,0.0,-1.122838536,-0.0,0.011414503133393015,-0.03357206803939123,-0.003581020590868397,-0.0,-2.0143240823634736,-0.008213956,-0.00279401,0.8262999999999999,-0.22381378692927484,-0.2272727273,0.011638316920322292,0.0038048343777976725,-183.4,-828.5386,-117.0,-47.0,-86.0,-150.0,-146.0
Ayer,-45.17766497461929,-307.5888324873097,-83.12182741116752,-28.43908629441624,-18.934010152284266,-145.93908629441626,-390.9771573604061,-37.5,0.2008,-0.24100000000000002,-0.615,-0.092,0.033,-0.121,-0.188,-0.067,0.0,-1.66453265,-0.0,0.012690355329949237,-0.034898477157360414,-0.008756345177664975,-0.0022842639593908627,-3.299492385786801,-0.007745043,-0.003046627,0.8168000000000001,-0.12690355329949238,-0.1054852321,0.005203045685279188,0.00025380710659898484,-164.9,-1164.725,-124.0,-79.0,-100.0,-133.0,-190.0
Barnstable,-6.859418125876656,-29.614044613365913,-21.741097687887425,-3.103931948780598,-6.8775168544409775,-24.16180263336501,-111.37278856160354,-5.28935342292204,0.1859,-0.222,-0.594,-0.078,0.039,-0.11699999999999999,-0.154,-0.083,4.87012987,-2.444439461,-4.52468214107959e-05,0.00925297497850776,-0.008529025835935025,-0.00020361069634858148,-0.00013574046423238766,-2.2170942491289987,-0.00775092,-0.002700019,0.8339,-0.13574046423238767,-0.08346374544,0.0009275598389213158,0.000429844803402561,-262.7,-680.5561,-125.0,-122.0,-92.0,-86.0,-123.0
Barre,-32.22139396198285,-223.87253074916146,-91.87476705180771,,,-141.80022363026464,-396.19828550130455,-35.687663063734625,0.191,-0.207,-0.58,-0.064,0.036000000000000004,-0.099,-0.174,-0.132,0.0,-1.2848751840000001,-0.0,0.01080879612374208,-0.04360790160268356,-0.0027953783078643307,-0.0,-1.8635855385762208,-0.0072129180000000005,-0.0026878020000000004,0.8005,-0.0,-0.1572327044,0.061871039880730526,0.016399552739470743,-146.0,-651.1628,-69.0,-93.0,-92.0,-81.0,-0.0
Becket,,-665.8747300215983,-428.45572354211663,,-0.0,-856.2634989200864,-772.8941684665227,,,,,,,,-0.165,-0.067,0.0,,-0.0,0.003779697624190065,-0.07991360691144707,-0.023218142548596117,-0.0,-1.079913606911447,-0.006627163,-0.0024764820000000003,0.8331000000000001,-0.5399568034557235,-0.3472222222,0.009719222462203024,0.003779697624190065,,-1289.961,-92.0,-63.0,-84.0,-93.0,-0.0
Bedford,-28.1284123170998,-66.58659095872461,-33.45708670015287,-4.760864817645777,-4.986532721846109,-47.266506515250775,-157.38516415520132,-10.060420761447183,0.2375,-0.2296,-0.5870000000000001,-0.086,0.042,-0.111,-0.207,-0.172,4.830917874,-0.64650528,-0.0,0.010773822523112759,-0.009536288854917377,-0.0,-0.0,-0.5095726869039819,-0.007041837,-0.0027742030000000003,0.8316,-0.14559219625828054,-0.02354048964,0.0002183882943874208,0.0002183882943874208,-58.7,-728.8163,-97.0,-87.0,-87.0,-82.0,-0.0
Belchertown,-18.83134308332215,-87.06561116328993,-50.97947135381725,-8.385884878572387,-5.3132966590634645,-50.12075674225144,-96.39742385616528,-13.075271702670063,0.2108,-0.2231,-0.613,-0.071,0.032,-0.10400000000000001,-0.10300000000000001,-0.023,2.5510204080000003,-1.010917913,-0.0,0.008587146115658124,-0.011069368039715552,-0.0015430028176573196,-0.00026834831611431643,-0.5366966322286327,-0.008094657,-0.002615155,0.8488,-0.2012612370857373,-0.04280821918,0.0011404803434858447,0.0003354353951428955,-57.3,-633.2302,-102.0,-95.0,-120.0,-70.0,-45.0
Bellingham,-17.67035045210094,-76.08888363571894,-25.22309556172803,-5.803439513031144,-4.763311861001124,-29.64363808285563,-86.63199574493234,-8.882453755688198,0.1806,-0.2317,-0.61,-0.08,0.031,-0.107,-0.139,-0.059000000000000004,3.8610038610000004,-0.959117612,-0.0,0.009810294899828615,-0.010755865492583179,-0.0006500797825187638,-0.0,-0.8864724307074051,-0.007834554,-0.0026729740000000003,0.8876999999999999,-0.05909816204716034,-0.04472271913999999,0.0020093375096034514,0.0010046687548017257,-62.5,-432.1576,-106.0,-130.0,-97.0,-89.0,-41.0
