index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Abington,-0.01426042200200074,-0.13582657065136866,-0.06933576740495577,0.0041229853090803655,0.004233242609671236,-0.0950448889409974,-0.18254962313729706,-0.004254858167929945,-0.0074620833333333405,0.0025074218749998878,-0.011929411764705631,0.02044401544401546,0.0017335907335907302,0.02216796875000006,0.04101454545454547,0.03037822349570195,-0.10068038972649428,-1.1681299892796941,-0.00015878933184970646,0.002910474599678541,-0.06236589924339948,-0.0033110835701708,-0.0011297170893623078,0.4879213793015914,0.11580788397264274,0.062271376835647874,0.007332891408795674,-0.0052240361007753104,0.08683489784276599,-0.002655683628114038,-0.0010616152396574741,136.7336244541484,-73.90069591194913,1.2279202279202224,10.757834757834758,38.105413105413106,48.52706552706553,57.4045584045584
Acton,-0.0227747076731035,-0.19906483782326648,-0.08017996608167449,-0.00487256086387219,-0.003329620795812292,-0.10187857901632666,-0.2324861040280619,-0.015154449774831769,0.024137916666666648,-0.0101925781250001,-0.04092941176470577,-0.0035559845559845343,-0.0032664092664092675,-0.015832031249999948,-0.0569854545454545,-0.04862177650429804,6.813837000273505,-1.134477876279694,-0.00015878933184970646,-0.0010649614908790695,-0.06947641529176454,-0.003845481299099109,-0.0012854897357550727,-0.04481432589841459,-0.3439685263378837,-0.0746154936705083,0.08654081220087534,-0.019139764735104592,-0.13520253145251546,-0.006387759926456189,-0.0017195078744209186,-63.666375545851594,42.54310408805088,11.227920227920222,6.7578347578347575,-18.894586894586894,-28.47293447293447,-7.595441595441599
Acushnet,-0.003996793844535454,-0.1007054395383124,-0.06468323430040082,0.008632503555074285,0.007231571916234567,-0.07834371483177592,-0.15050197607563887,0.0012436676655860207,-0.027062083333333348,0.05350742187499991,0.08807058823529433,-0.0035559845559845343,0.0017335907335907302,0.026167968750000062,0.03301454545454552,0.017378223495701964,-3.7569875197264944,-1.7887854012796942,-0.00015878933184970646,-0.0018437599833474375,-0.05795775313247644,-0.003786242725960191,-0.0009256542630584604,0.17006100540722174,0.2645700478440361,-0.08936089081599664,-0.23689153103344826,-0.050917151259775,-0.06212065273559221,-0.0008244042416435419,-0.0007026900615999159,16.233624454148398,-466.5493959119491,-0.7720797720797776,31.757834757834758,11.105413105413106,26.52706552706553,-5.595441595441599
Adams,0.00320422652839146,-0.09740651433266816,-0.026228674829009743,,,0.10038416091565278,-0.09370712918843084,-0.0014785758225690155,-0.01586208333333336,0.02640742187499989,-0.015929411764705748,0.013444015444015469,0.006733590733590734,0.012167968750000063,0.1090145454545455,0.23137822349570195,0.9378481612735056,-0.947338112279694,8.478635929631717e-05,-4.769539261600085e-05,-0.06180587819617365,-0.0033864875051853463,-0.0015002018068677107,-0.12571123148751406,0.17007038987599138,-0.24122815459508395,-0.0285581977001154,0.03920585446425374,0.09078225023892386,-0.005161430010321296,-0.0002862113159230607,-47.166375545851594,1497.9444040880512,-8.772079772079778,16.757834757834758,16.105413105413106,31.52706552706553,6.404558404558401
Agawam,-0.024070707051581715,-0.1846304267942692,-0.08003458607176403,-0.0006474766662849163,-0.0017663143394224473,-0.08330241207207281,-0.22727988855534365,-0.010167110592359124,-0.05726208333333335,-0.00019257812500009241,0.05107058823529431,0.00044401544401546916,0.007733590733590728,0.00816796875000006,0.028014545454545514,0.020378223495701956,0.11898147227350543,-1.7887854012796942,-0.00012329309445087075,0.0013814010223236802,-0.06871652570650967,-0.003934835420983413,-0.001216231907677025,-0.05261001002502423,0.1483092801541464,0.07742456137875751,0.09190384850450556,-0.011516327747067352,-0.010340352156321026,-0.003778892416083779,-0.00017603507595877763,-49.3663755458516,454.7324040880509,16.227920227920222,-8.242165242165242,4.105413105413106,36.52706552706553,131.4045584045584
Alford,-0.03626721422182167,-0.23743817917251714,,-0.007732525651092527,-0.005695747819473562,-0.13409397816606686,,-0.020148652548911728,,,,,,,,-0.06662177650429804,-3.7569875197264944,,-0.00015878933184970646,-0.003584876688492015,0.0883016418032574,0.15865624136040088,0.1615168298233026,-0.263595677266351,-0.005157727417374153,0.17712593740711974,0.0015573138510400738,,-0.11313129511643262,-0.007718974767354544,-0.0022348168450912497,,,-90.77207977207978,-88.24216524216524,-89.8945868945869,-86.47293447293447,-68.5954415954416
Amesbury,-0.021071828157791538,-0.14625409254351526,-0.05401709829222948,-0.0010470265927121124,0.0038970017097166455,-0.039408243702790016,-0.14174401619820898,-0.003876289083751653,0.006537916666666671,-0.0007925781250001097,-0.01892941176470564,-0.004555984555984521,-0.008266409266409272,0.009167968750000048,-0.008985454545454491,0.01937822349570195,5.989601174273505,-0.4284021282796939,-0.00015878933184970646,0.0031426344116220785,-0.06412216948792986,-0.004125385373347596,-0.0011470944622349426,0.1361815770733489,0.094971988341251,0.2519685448883717,-0.05207304918526361,-0.007367245421733577,-0.030791823909539075,-0.0010099352193319456,-0.0009989411388765604,-40.7663755458516,533.0494040880509,15.227920227920222,20.757834757834758,43.105413105413106,34.52706552706553,-29.5954415954416
Amherst,-0.029789878607795413,-0.21354121282950764,-0.08753045976140426,-0.0063892645956012545,-0.004168857443662323,-0.11064476550822112,-0.2668546018437142,-0.01507998021405234,-0.02536208333333334,-0.1047925781250001,-0.1449294117647057,-0.039555984555984525,-0.02026640926640927,0.004167968750000056,-0.027985454545454508,-0.029621776504298036,0.6677912412735063,-0.8769774892796941,-0.00015878933184970646,-0.004828779733581847,-0.066892277687254,-0.003153364601912119,-0.001399583001212934,-0.21375676615029848,-0.30443550306893474,0.11474219035727645,0.13027018513816838,-0.022995432690574424,-0.14226466536799795,-0.00673794141222047,-0.0018574963238858363,-89.8663755458516,-297.1102959119491,-4.772079772079778,-18.242165242165242,-0.8945868945868938,-42.47293447293447,1.4045584045584008
Andover,-0.026705688252420832,-0.20535179494504627,-0.08748485148337795,-0.005174048201592541,-0.003789710610436268,-0.12181442604207472,-0.26040528463536405,-0.014507466190326012,-0.01116208333333335,-0.054892578125000084,-0.035929411764705765,-0.006555984555984522,-0.0032664092664092675,-0.018832031249999936,-0.0689854545454545,-0.04862177650429804,-3.7569875197264944,-1.095464393279694,-0.00010180765145995178,-0.0008155115649266867,-0.06998591035456328,-0.004075881867820668,-0.0013862384460882012,-0.13456987205366347,-0.12617052844172338,-0.0959903836431262,0.18885104322397692,-0.04037554038767039,-0.11910406020587153,-0.006493868638974818,-0.0017504725617783347,-75.4663755458516,-273.5661959119491,16.227920227920222,2.7578347578347575,-14.894586894586894,-28.47293447293447,-28.5954415954416
Aquinnah,-0.03626721422182167,,,-0.007732525651092527,-0.005695747819473562,-0.13409397816606686,,-0.020148652548911728,,,,,,,0.09001454545454549,0.12837822349570194,-3.7569875197264944,-1.7887854012796942,0.0014037106681502936,-0.0053260567371538154,-0.0747153898269129,0.16282670973023056,,0.6209114979602351,-0.5207565025676842,0.05829880389232155,0.14017117523717856,,,0.12196852523264548,0.05870268315490875,,,-90.77207977207978,-88.24216524216524,-90.8945868945869,-86.47293447293447,-68.5954415954416
