index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Abington,-0.3170080857,-0.3250340571,-0.3910574151,0.2602051202,0.5404514258,-0.3069330358,-0.3342282356,-0.1952269488,-0.278598172,0.06724412528,-0.2426469221,1.264383549,0.2572279968,1.143955056,0.902745676,0.5118017745,-0.01273054888,-0.1646748524,-0.2448892329,0.9921111963,-0.08874031924,-0.1798226456,-0.09551447906,2.328396924,0.6411746569,0.4833734461,0.05073098891,-0.05186568358,0.4917051443,-0.08477058889,-0.1296558716,2.41472074,-0.1770617782,0.03301686563,0.2831809339,0.928538151,1.295880977,0.7648440975
Acton,-0.5062800022,-0.4763637303,-0.4522192722,-0.3075114729,-0.4250874501,-0.3290014002,-0.425656427,-0.6953362189,0.9011932939,-0.2733449074,-0.8325134537,-0.2199239374,-0.4846656688,-0.8169955671,-1.254271433,-0.8191628289,0.8615767698,-0.1599308113,-0.2448892329,-0.3630199071,-0.09885785898,-0.2088454146,-0.1086846287,-0.213857279,-1.904394539,-0.5791930441,0.5987134868,-0.1900249084,-0.7655882818,-0.203900105,-0.2100047963,-1.124350489,0.1019308082,0.3019013166,0.1778880231,-0.4604160761,-0.7603495851,-0.1011997798
Acushnet,-0.08884842016,-0.2409889128,-0.364816881,0.5448046637,0.9232434125,-0.2529991302,-0.2755525267,0.057063581,-1.010367562,1.434963863,1.791375601,-0.2199239374,0.2572279968,1.350370912,0.7266626467,0.2927822828,-0.4750529212,-0.2521705415,-0.2448892329,-0.6284936907,-0.08246797654,-0.2056282089,-0.07826152721,0.8115437007,1.46480191,-0.6936522675,-1.638881713,-0.5055196414,-0.3517600098,-0.02631534582,-0.0858200683,0.2866863935,-1.117825274,-0.02076002456,0.8359687155,0.2706124645,0.7083865306,-0.07455227591
Adams,0.0712297096,-0.2330945587,-0.1479311207,,,0.3241754039,-0.1715674232,-0.06784194327,-0.5922136249,0.7081951396,-0.324007823,0.8314605321,0.9991216624,0.6279154186,2.399451425,3.898180069,0.1185863691,-0.1335491472,0.1307598328,-0.01625821886,-0.08794346636,-0.1839177809,-0.126837945,-0.5999032981,0.941601039,-1.872502108,-0.1975735805,0.389246629,0.5140571425,-0.164755115,-0.03495520433,-0.8329598936,3.588987851,-0.2358675853,0.4411203,0.3924505546,0.8419079956,0.08533274758
Agawam,-0.5350899688,-0.4418220706,-0.4513993213,-0.04086280477,-0.2255025736,-0.2690124899,-0.4161244204,-0.4665006214,-2.137889786,-0.005164566718,1.038787267,0.02746064365,1.147500395,0.4214995635,0.6166107534,0.3433252425,0.01504463235,-0.2521705415,-0.1901459687,0.4708865767,-0.09777661354,-0.2136981748,-0.1028290695,-0.2510588605,0.8211198456,0.600998066,0.6358164684,-0.1143373054,-0.05855254599,-0.1206239072,-0.02149929687,-0.871811973,1.089512447,0.436343542,-0.2169603924,0.1000391384,0.9754294607,1.750801742
Alford,-0.8062173864,-0.5681914395,,-0.4880062904,-0.7271671657,-0.4330361397,,-0.9244867407,,,,,,,,-1.122420587,-0.4750529212,,-0.2448892329,-1.221998742,0.1256442379,8.616510113,13.65580463,-1.257898076,-0.02855594968,1.374917002,0.01077393177,,-0.6406092617,-0.246393068,-0.2729398703,,,-2.440720083,-2.322818608,-2.190516956,-2.30919858,-0.9139486493
Amesbury,-0.4684251214,-0.3499871995,-0.3046593067,-0.06607874148,0.497524079,-0.1272629387,-0.2595176677,-0.1778569486,0.2440942496,-0.02125538716,-0.3850284987,-0.2817700827,-1.226559334,0.4731035273,-0.197773257,0.3264775892,0.7573561317,-0.0603931565,-0.2448892329,1.071248925,-0.09123931283,-0.2240468102,-0.09698368824,0.649868562,0.5258159457,1.955872988,-0.3602558845,-0.0731440619,-0.1743596019,-0.03223757619,-0.1220014363,-0.7199356628,1.277155434,0.4094550969,0.5464132108,1.050376241,0.9220208747,-0.3943223229
Amherst,-0.6622267132,-0.5110058101,-0.4936764475,-0.4032319393,-0.5322314729,-0.3573104683,-0.4885813577,-0.6919193095,-0.9468977682,-2.810330931,-2.947896877,-2.446385167,-3.007104132,0.2150837084,-0.6159704515,-0.499057418,0.08443897624,-0.1236301952,-0.2448892329,-1.646015546,-0.09518089451,-0.1712570382,-0.1183309012,-1.020063104,-1.685518486,0.8906712969,0.9012454909,-0.2283050524,-0.8055778213,-0.215078052,-0.2268574299,-1.587043434,-0.7118590247,-0.1283138049,-0.4801926694,-0.02179895173,-1.134209687,0.01871398779
Andover,-0.5936653985,-0.4914084684,-0.4934192143,-0.326538596,-0.4838263931,-0.3933811908,-0.4767733689,-0.6656504747,-0.416738312,-1.47211103,-0.7308123276,-0.4054623732,-0.4846656688,-0.9718074585,-1.518395977,-0.8191628289,-0.4750529212,-0.1544309614,-0.1570105332,-0.2779883921,-0.09958281854,-0.2213583092,-0.1172026557,-0.6421773863,-0.6985478234,-0.7451128414,1.306524213,-0.4008595963,-0.6744302184,-0.2072871418,-0.2137865369,-1.332738915,-0.6554487276,0.436343542,0.07259511228,-0.362945604,-0.7603495851,-0.380998571
Aquinnah,-0.8062173864,,,-0.4880062904,-0.7271671657,-0.4330361397,,-0.9244867407,,,,,,,1.98125423,2.162871789,-0.4750529212,-0.2521705415,2.164840828,-1.815525386,-0.1063123859,8.84300535,,2.96303561,-2.883187745,0.4525368664,0.9697433031,,,3.893288945,7.16940306,,,-2.440720083,-2.322818608,-2.214884574,-2.30919858,-0.9139486493
