Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,16985.07686217,72,423.9,326,521.8,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,23026.78863111,80,347.4,271.3,423.5,N/A,Stable,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,10414.08405106,48,460.9,330.5,591.3,N/A,Stable,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,8389.84987688,36,429.1,288.9,569.3,N/A,Stable,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,28759.51001201,136,472.9,393.4,552.4,N/A,Stable,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,16603.19625046,55,331.3,243.7,418.9,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,40349.13240329,57,141.3,104.6,178,N/A,Stable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,34948.22415839,141,403.5,336.9,470.1,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Admissions/Observations,Crude Rate,294.6458141,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
