Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,16985.07686217,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,23026.78863111,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,10414.08405106,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,8389.84987688,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,28759.51001201,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,16603.19625046,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,40349.13240329,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,34948.22415839,11,31.5,12.9,50.1,N/A,Unstable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,294.6458141,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cancer,Emergency Dept Visit,Crude Rate,44628.35487506,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
