Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,16985.07686217,291,1645.6,1456.5,1834.7,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,23026.78863111,215,893.6,774.2,1013,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,10414.08405106,210,1427.9,1234.8,1621,N/A,Stable,"Age-Adjusted Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,8389.84987688,143,1149.8,961.3,1338.3,N/A,Stable,"Age-Adjusted Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,28759.51001201,675,1487.7,1375.5,1599.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,481.96254456,0,0,0,0,N/A,Unstable,"Age-Adjusted Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,16603.19625046,303,1549.4,1374.9,1723.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,40349.13240329,241,950,830.1,1069.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,34948.22415839,486,1126.2,1026.1,1226.3,N/A,Stable,"Age-Adjusted Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Age-Adjusted Rate,294.6458141,NS,NS,NS,NS,N/A,NS,"Age-Adjusted Rate per 100,000"
