Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,16985.07686217,291,1713.3,1516.4,1910.2,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,23026.78863111,215,933.7,808.9,1058.5,N/A,Stable,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,10414.08405106,210,2016.5,1743.8,2289.2,N/A,Stable,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,8389.84987688,143,1704.4,1425,1983.8,N/A,Stable,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,28759.51001201,675,2347,2169.9,2524.1,N/A,Stable,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,16603.19625046,303,1824.9,1619.4,2030.4,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,40349.13240329,241,597.3,521.9,672.7,N/A,Stable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,34948.22415839,486,1390.6,1267,1514.2,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,294.6458141,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,44628.35487506,641,1436.3,1325.1,1547.5,N/A,Stable,"Crude Rate per 100,000"
Ashburnham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Cardiovascular Disease,Admissions/Observations,Crude Rate,6201.77545315,77,1241.6,964.3,1518.9,N/A,Stable,"Crude Rate per 100,000"
