Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,16985.07686217,35,206.1,137.8,274.4,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,23026.78863111,13,56.5,25.8,87.2,N/A,Stable,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,10414.08405106,19,182.4,100.4,264.4,N/A,Stable,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,8389.84987688,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,28759.51001201,72,250.4,192.6,308.2,N/A,Stable,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,16603.19625046,21,126.5,72.4,180.6,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,40349.13240329,11,27.3,11.2,43.4,N/A,Unstable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,34948.22415839,32,91.6,59.9,123.3,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Diabetes,Admissions/Observations,Crude Rate,294.6458141,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
