Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,16985.07686217,111,632.4,514.8,750,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,23026.78863111,168,750.2,636.8,863.6,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,10414.08405106,60,582.2,434.9,729.5,N/A,Stable,"Age-Adjusted Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,8389.84987688,146,1925.3,1613,2237.6,N/A,Stable,"Age-Adjusted Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,28759.51001201,402,1430.9,1291,1570.8,N/A,Stable,"Age-Adjusted Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,481.96254456,0,0,0,0,N/A,Unstable,"Age-Adjusted Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,16603.19625046,263,1608.9,1414.5,1803.3,N/A,Stable,"Age-Adjusted Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,40349.13240329,224,932.2,810.1,1054.3,N/A,Stable,"Age-Adjusted Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,34948.22415839,146,431,361.1,500.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,294.6458141,0,0,0,0,N/A,Unstable,"Age-Adjusted Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,44628.35487506,264,601.8,529.2,674.4,N/A,Stable,"Age-Adjusted Rate per 100,000"
Ashburnham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,6201.77545315,29,495,314.8,675.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Ashby,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,3293.71230564,NS,NS,NS,NS,N/A,NS,"Age-Adjusted Rate per 100,000"
Ashfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,1724.7054414,12,967.3,420,1514.6,N/A,Stable,"Age-Adjusted Rate per 100,000"
Ashland,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,18148.72277876,152,871.9,733.3,1010.5,N/A,Stable,"Age-Adjusted Rate per 100,000"
Athol,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,11815.11379029,133,1068.4,886.8,1250,N/A,Stable,"Age-Adjusted Rate per 100,000"
Attleboro,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,44815.33134215,285,596.9,527.6,666.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Auburn,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,16359.77789609,103,618.6,499.1,738.1,N/A,Stable,"Age-Adjusted Rate per 100,000"
Avon,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,4392.08233452,38,867.9,591.9,1143.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Ayer,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,7826.12642776,92,1150,915,1385,N/A,Stable,"Age-Adjusted Rate per 100,000"
Barnstable,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,44909.93927242,467,1068,971.1,1164.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Barre,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,5497.44700778,45,760.9,538.6,983.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Becket,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,1791.0126887,23,1585.8,937.7,2233.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Bedford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,14205.88136108,84,649.3,510.4,788.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Belchertown,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,15237.47487799,110,747.1,607.5,886.7,N/A,Stable,"Age-Adjusted Rate per 100,000"
Bellingham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,17218.83573197,84,501.6,394.3,608.9,N/A,Stable,"Age-Adjusted Rate per 100,000"
Belmont,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,26192.00552589,108,386.6,313.7,459.5,N/A,Stable,"Age-Adjusted Rate per 100,000"
Berkley,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,6606.56655605,53,873.9,638.6,1109.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Berlin,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,3040.86125082,NS,NS,NS,NS,N/A,NS,"Age-Adjusted Rate per 100,000"
Bernardston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,2108.65468638,16,815.9,416.1,1215.7,N/A,Stable,"Age-Adjusted Rate per 100,000"
Beverly,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Admissions/Observations,Age-Adjusted Rate,40771.40925625,655,1504.5,1389.3,1619.7,N/A,Stable,"Age-Adjusted Rate per 100,000"
