Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,16985.07686217,306,1821.3,1617.2,2025.4,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,23026.78863111,297,1456,1290.4,1621.6,N/A,Stable,"Age-Adjusted Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,10414.08405106,152,1509.1,1269.2,1749,N/A,Stable,"Age-Adjusted Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,8389.84987688,118,1652.9,1354.7,1951.1,N/A,Stable,"Age-Adjusted Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,28759.51001201,526,1908.1,1745,2071.2,N/A,Stable,"Age-Adjusted Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,481.96254456,NS,NS,NS,NS,N/A,NS,"Age-Adjusted Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,16603.19625046,418,2604.3,2354.6,2854,N/A,Stable,"Age-Adjusted Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,40349.13240329,272,1119.3,986.3,1252.3,N/A,Stable,"Age-Adjusted Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,34948.22415839,390,1214.6,1094.1,1335.1,N/A,Stable,"Age-Adjusted Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Age-Adjusted Rate,294.6458141,NS,NS,NS,NS,N/A,NS,"Age-Adjusted Rate per 100,000"
