Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,16985.07686217,306,1801.6,1599.7,2003.5,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,23026.78863111,297,1289.8,1143.1,1436.5,N/A,Stable,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,10414.08405106,152,1459.6,1227.6,1691.6,N/A,Stable,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,8389.84987688,118,1406.5,1152.7,1660.3,N/A,Stable,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,28759.51001201,526,1829,1672.7,1985.3,N/A,Stable,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,481.96254456,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,16603.19625046,418,2517.6,2276.2,2759,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,40349.13240329,272,674.1,594,754.2,N/A,Stable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,34948.22415839,390,1115.9,1005.1,1226.7,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,294.6458141,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,44628.35487506,665,1490.1,1376.8,1603.4,N/A,Stable,"Crude Rate per 100,000"
Ashburnham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,6201.77545315,63,1015.8,765,1266.6,N/A,Stable,"Crude Rate per 100,000"
Ashby,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,3293.71230564,56,1700.2,1254.9,2145.5,N/A,Stable,"Crude Rate per 100,000"
Ashfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1724.7054414,19,1101.6,606.3,1596.9,N/A,Stable,"Crude Rate per 100,000"
Ashland,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,18148.72277876,285,1570.4,1388.1,1752.7,N/A,Stable,"Crude Rate per 100,000"
Athol,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,11815.11379029,436,3690.2,3343.8,4036.6,N/A,Stable,"Crude Rate per 100,000"
Attleboro,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,44815.33134215,1423,3175.3,3010.3,3340.3,N/A,Stable,"Crude Rate per 100,000"
Auburn,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,16359.77789609,336,2053.8,1834.2,2273.4,N/A,Stable,"Crude Rate per 100,000"
Avon,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,4392.08233452,99,2254.1,1810.1,2698.1,N/A,Stable,"Crude Rate per 100,000"
Ayer,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,7826.12642776,246,3143.3,2750.5,3536.1,N/A,Stable,"Crude Rate per 100,000"
Barnstable,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,44909.93927242,2033,4526.8,4330,4723.6,N/A,Stable,"Crude Rate per 100,000"
Barre,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,5497.44700778,117,2128.3,1742.6,2514,N/A,Stable,"Crude Rate per 100,000"
Becket,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1791.0126887,19,1060.9,583.9,1537.9,N/A,Stable,"Crude Rate per 100,000"
Bedford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,14205.88136108,251,1766.9,1548.3,1985.5,N/A,Stable,"Crude Rate per 100,000"
Belchertown,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,15237.47487799,211,1384.7,1197.9,1571.5,N/A,Stable,"Crude Rate per 100,000"
Bellingham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,17218.83573197,236,1370.6,1195.7,1545.5,N/A,Stable,"Crude Rate per 100,000"
Belmont,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,26192.00552589,254,969.8,850.5,1089.1,N/A,Stable,"Crude Rate per 100,000"
Berkley,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,6606.56655605,110,1665,1353.8,1976.2,N/A,Stable,"Crude Rate per 100,000"
Berlin,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,3040.86125082,42,1381.2,963.5,1798.9,N/A,Stable,"Crude Rate per 100,000"
Bernardston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,2108.65468638,29,1375.3,874.7,1875.9,N/A,Stable,"Crude Rate per 100,000"
Beverly,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,40771.40925625,1269,3112.5,2941.2,3283.8,N/A,Stable,"Crude Rate per 100,000"
Billerica,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,42243.01183081,650,1538.7,1420.4,1657,N/A,Stable,"Crude Rate per 100,000"
Blackstone,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,9065.76266305,130,1434,1187.5,1680.5,N/A,Stable,"Crude Rate per 100,000"
Blandford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1234.97742251,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Bolton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,4999.50847488,72,1440.1,1107.5,1772.7,N/A,Stable,"Crude Rate per 100,000"
Boston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,661477.99227234,21349,3227.5,3184.2,3270.8,N/A,Stable,"Crude Rate per 100,000"
Bourne,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,20355.97482083,530,2603.7,2382,2825.4,N/A,Stable,"Crude Rate per 100,000"
Boxborough,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,5113.51118305,59,1153.8,859.4,1448.2,N/A,Stable,"Crude Rate per 100,000"
Boxford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,7926.68249184,69,870.5,665.1,1075.9,N/A,Stable,"Crude Rate per 100,000"
Boylston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,4435.25974704,42,947,660.6,1233.4,N/A,Stable,"Crude Rate per 100,000"
Braintree,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,37735.46634152,681,1804.7,1669.2,1940.2,N/A,Stable,"Crude Rate per 100,000"
Brewster,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,9860.00517222,189,1916.8,1643.5,2190.1,N/A,Stable,"Crude Rate per 100,000"
Bridgewater,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,27669.23385114,398,1438.4,1297.1,1579.7,N/A,Stable,"Crude Rate per 100,000"
Brimfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,3693.43690577,58,1570.4,1166.2,1974.6,N/A,Stable,"Crude Rate per 100,000"
Brockton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,94849.49146725,4625,4876.1,4735.6,5016.6,N/A,Stable,"Crude Rate per 100,000"
Brookfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,3535.09514244,61,1725.6,1292.6,2158.6,N/A,Stable,"Crude Rate per 100,000"
Brookline,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,61876.03054895,565,913.1,837.8,988.4,N/A,Stable,"Crude Rate per 100,000"
Buckland,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1881.33860485,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Burlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,26209.60274657,325,1240,1105.2,1374.8,N/A,Stable,"Crude Rate per 100,000"
Cambridge,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,109738.06115715,2808,2558.8,2464.2,2653.4,N/A,Stable,"Crude Rate per 100,000"
Canton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,22438.08113299,322,1435.1,1278.3,1591.9,N/A,Stable,"Crude Rate per 100,000"
Carlisle,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,4868.43298565,45,924.3,654.2,1194.4,N/A,Stable,"Crude Rate per 100,000"
Carver,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,11871.87194071,242,2038.4,1781.6,2295.2,N/A,Stable,"Crude Rate per 100,000"
Charlemont,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1223.85509344,12,980.5,425.7,1535.3,N/A,Stable,"Crude Rate per 100,000"
Charlton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,13566.27402821,173,1275.2,1085.2,1465.2,N/A,Stable,"Crude Rate per 100,000"
Chatham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,5977.45325963,122,2041,1678.8,2403.2,N/A,Stable,"Crude Rate per 100,000"
Chelmsford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,35172.28896679,481,1367.6,1245.4,1489.8,N/A,Stable,"Crude Rate per 100,000"
Chelsea,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,37033.04300479,1349,3642.7,3448.3,3837.1,N/A,Stable,"Crude Rate per 100,000"
Cheshire,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,3111.86636574,31,996.2,645.5,1346.9,N/A,Stable,"Crude Rate per 100,000"
Chester,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1355.79092796,11,811.3,331.9,1290.7,N/A,Unstable,"Crude Rate per 100,000"
Chesterfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1219.81373306,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Chicopee,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,56565.38464171,1590,2810.9,2672.7,2949.1,N/A,Stable,"Crude Rate per 100,000"
Chilmark,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,838.73696193,20,2384.5,1339.4,3429.6,N/A,Stable,"Crude Rate per 100,000"
Clarksburg,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1690.85704663,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Clinton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,13851.23091854,373,2692.9,2419.6,2966.2,N/A,Stable,"Crude Rate per 100,000"
Cohasset,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,7527.99496771,83,1102.6,865.4,1339.8,N/A,Stable,"Crude Rate per 100,000"
Colrain,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1643.16523998,33,2008.3,1323.1,2693.5,N/A,Stable,"Crude Rate per 100,000"
Concord,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,18391.23562729,237,1288.7,1124.6,1452.8,N/A,Stable,"Crude Rate per 100,000"
Conway,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,1910.7714535,17,889.7,466.8,1312.6,N/A,Stable,"Crude Rate per 100,000"
Cummington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,830.97124738,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Dalton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,6630.90445974,117,1764.5,1444.8,2084.2,N/A,Stable,"Crude Rate per 100,000"
Danvers,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,27765.82033138,578,2081.7,1912,2251.4,N/A,Stable,"Crude Rate per 100,000"
Dartmouth,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,35572.00850114,491,1380.3,1258.2,1502.4,N/A,Stable,"Crude Rate per 100,000"
Dedham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,26053.16690779,461,1769.5,1608,1931,N/A,Stable,"Crude Rate per 100,000"
Deerfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,5222.03723336,57,1091.5,808.1,1374.9,N/A,Stable,"Crude Rate per 100,000"
Dennis,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,13715.98282255,498,3630.8,3311.9,3949.7,N/A,Stable,"Crude Rate per 100,000"
Dighton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,7472.47955251,117,1565.7,1282,1849.4,N/A,Stable,"Crude Rate per 100,000"
Douglas,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Mental Health,Emergency Dept Visit,Crude Rate,8956.05411417,115,1284,1049.3,1518.7,N/A,Stable,"Crude Rate per 100,000"
