Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,16985.07686217,45,264.9,187.5,342.3,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,23026.78863111,28,121.6,76.6,166.6,N/A,Stable,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,10414.08405106,32,307.3,200.8,413.8,N/A,Stable,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,8389.84987688,21,250.3,143.2,357.4,N/A,Stable,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,28759.51001201,130,452,374.3,529.7,N/A,Stable,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,16603.19625046,54,325.2,238.5,411.9,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,40349.13240329,52,128.9,93.9,163.9,N/A,Stable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,34948.22415839,85,243.2,191.5,294.9,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,294.6458141,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,44628.35487506,105,235.3,190.3,280.3,N/A,Stable,"Crude Rate per 100,000"
Ashburnham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,6201.77545315,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ashby,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,3293.71230564,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ashfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,1724.7054414,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ashland,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,18148.72277876,30,165.3,106.1,224.5,N/A,Stable,"Crude Rate per 100,000"
Athol,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,11815.11379029,46,389.3,276.8,501.8,N/A,Stable,"Crude Rate per 100,000"
Attleboro,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,44815.33134215,98,218.7,175.4,262,N/A,Stable,"Crude Rate per 100,000"
Auburn,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,16359.77789609,61,372.9,279.3,466.5,N/A,Stable,"Crude Rate per 100,000"
Avon,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Admissions/Observations,Crude Rate,4392.08233452,17,387.1,203.1,571.1,N/A,Stable,"Crude Rate per 100,000"
