Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measure,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,16985.07686217,19,111.9,61.6,162.2,N/A,Stable,"Crude Rate per 100,000"
Acton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,23026.78863111,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Acushnet,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,10414.08405106,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Adams,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,8389.84987688,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Agawam,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,28759.51001201,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Alford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,481.96254456,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Amesbury,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,16603.19625046,14,84.3,40.1,128.5,N/A,Stable,"Crude Rate per 100,000"
Amherst,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,40349.13240329,13,32.2,14.7,49.7,N/A,Stable,"Crude Rate per 100,000"
Andover,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,34948.22415839,20,57.2,32.1,82.3,N/A,Stable,"Crude Rate per 100,000"
Aquinnah,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,294.6458141,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Arlington,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,44628.35487506,14,31.4,15,47.8,N/A,Stable,"Crude Rate per 100,000"
Ashburnham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,6201.77545315,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ashby,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,3293.71230564,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ashfield,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,1724.7054414,0,0,0,0,N/A,Unstable,"Crude Rate per 100,000"
Ashland,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,18148.72277876,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Athol,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,11815.11379029,48,406.3,291.4,521.2,N/A,Stable,"Crude Rate per 100,000"
Attleboro,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,44815.33134215,27,60.2,37.5,82.9,N/A,Stable,"Crude Rate per 100,000"
Auburn,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,16359.77789609,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Avon,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,4392.08233452,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Ayer,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,7826.12642776,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Barnstable,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,44909.93927242,49,109.1,78.6,139.6,N/A,Stable,"Crude Rate per 100,000"
Barre,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,5497.44700778,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Becket,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,1791.0126887,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Bedford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,14205.88136108,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Belchertown,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,15237.47487799,13,85.3,38.9,131.7,N/A,Stable,"Crude Rate per 100,000"
Bellingham,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,17218.83573197,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Belmont,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,26192.00552589,12,45.8,19.9,71.7,N/A,Stable,"Crude Rate per 100,000"
Berkley,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,6606.56655605,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Berlin,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,3040.86125082,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Bernardston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,2108.65468638,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Beverly,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,40771.40925625,23,56.4,33.3,79.5,N/A,Stable,"Crude Rate per 100,000"
Billerica,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,42243.01183081,14,33.1,15.8,50.4,N/A,Stable,"Crude Rate per 100,000"
Blackstone,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,9065.76266305,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Blandford,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,1234.97742251,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Bolton,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,4999.50847488,NS,NS,NS,NS,N/A,NS,"Crude Rate per 100,000"
Boston,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Chronic Illness,Stroke,Emergency Dept Visit,Crude Rate,661477.99227234,169,25.5,21.7,29.3,N/A,Stable,"Crude Rate per 100,000"
