Geography,cancer_admissions_UA,cancer_admissions_AA,cancer_emergencies_UA,cancer_emergencies_AA,cardio_admissions_UA,cardio_admissions_AA,cardio_emergencies_UA,cardio_emergencies_AA,Diabetes_admissions_UA,Diabetes_admissions_AA,Diabetes_emergencies_UA,Diabetes_emergencies_AA,Mental_admissions_UA,Mental_admissions_AA,Mental_emergencies_UA,Mental_emergencies_AA,Stroke_admissions_UA,Stroke_admissions_AA,Stroke_emergencies_UA,Stroke_emergencies_AA,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,Reading / Writing,Writing,Math,% Dropout All Grades,Attending Coll./Univ. (%),tobaccoDensity,MunCreditRating
Abington,423.9,356.4,NS,NS,1713.3,1645.6,494.6,463.4,206.1,192,153.1,160.8,653.5,632.4,1801.6,1821.3,264.9,257.4,111.9,113.7,  12.7,  86.0,   0.7,   0.7,550.0,,535.0,1.2,69.9,1.6,
Acton,347.4,314.2,NS,NS,933.7,893.6,443,413.8,56.5,66.6,47.8,55.1,729.6,750.2,1289.8,1456,121.6,116.3,NS,NS,  13.1,  86.5,   0.4,   0.0,656.0,,684.0,0.2,90.0,.8,Aaa
Acushnet,460.9,337,NS,NS,2016.5,1427.9,422.5,347.4,182.4,170.9,124.8,135,576.1,582.2,1459.6,1509.1,307.3,223.4,NS,NS,   7.4,  84.0,   8.6,   0.0,,,,,,.7,
Adams,429.1,324.1,0,0,1704.4,1149.8,679.4,588.9,NS,NS,NS,NS,1740.2,1925.3,1406.5,1652.9,250.3,153.3,NS,NS,  13.3,  84.8,   1.9,   0.0,522.0,,522.0,3.0,66.3,1.1,
Agawam,472.9,343.6,NS,NS,2347,1487.7,685,504.7,250.4,199.6,121.7,110.7,1397.8,1430.9,1829,1908.1,452,281.2,NS,NS,  11.7,  88.0,   0.3,   0.0,548.0,,555.0,1.1,77.8,1.2,Aa2
Alford,0,0,0,0,0,0,NS,NS,0,0,0,0,0,0,NS,NS,0,0,0,0,,,,,,,,,,NS,
Amesbury,331.3,258.2,NS,NS,1824.9,1549.4,843.2,746.5,126.5,113.6,180.7,163,1584,1608.9,2517.6,2604.3,325.2,276.5,84.3,72,  21.8,  74.8,   3.5,   0.0,571.0,,574.0,2.2,81.0,.9,
Amherst,141.3,257.5,NS,NS,597.3,950,257.8,414.2,27.3,53.4,29.7,60.7,555.2,932.2,674.1,1119.3,128.9,201.5,32.2,47.8,  26.9,  69.2,   3.2,   0.6,604.0,,591.0,1.0,79.5,.5,
Andover,403.5,335.6,31.5,27.6,1390.6,1126.2,414.9,367.3,91.6,89.8,65.8,66.9,417.8,431,1115.9,1214.6,243.2,198,57.2,45.9,  17.7,  80.2,   1.9,   0.2,600.0,,603.0,0.2,88.2,.4,Aa1
Aquinnah,0,0,0,0,NS,NS,NS,NS,0,0,0,0,0,0,NS,NS,0,0,0,0,,,,,,,,,,NS,
Arlington,436.9,352.3,NS,NS,1436.3,1061.9,445.9,355.7,105.3,111.2,78.4,81.9,591.6,601.8,1490.1,1692.1,235.3,173.8,31.4,24.4,   0.0,  98.1,   1.7,   0.2,610.0,,602.0,0.5,82.2,.4,Aa1
Ashburnham,354.7,319.6,NS,NS,1241.6,1185.5,596.6,535.4,NS,NS,NS,NS,467.6,495,1015.8,1042.4,NS,NS,NS,NS,  20.2,  77.7,   2.1,   0.0,549.0,,547.0,0.0,85.7,.8,A1
Ashby,NS,NS,NS,NS,1821.7,1722.3,637.6,507.1,NS,NS,NS,NS,NS,NS,1700.2,2042.4,NS,NS,NS,NS,,,,,,,,,,.9,
Ashfield,695.8,356.2,0,0,1159.6,937.5,NS,NS,NS,NS,NS,NS,695.8,967.3,1101.6,1570.4,NS,NS,0,0,,,,,,,,,,1.3,
Ashland,418.8,370.3,NS,NS,1261.8,1236.2,341.6,313.6,71.6,68.9,NS,NS,837.5,871.9,1570.4,1650.1,165.3,164.4,NS,NS,  17.4,  81.4,   1.2,   0.0,581.0,,605.0,0.7,85.6,1.2,Aa2
Athol,414.7,343.2,NS,NS,2132.9,1767,2141.3,1802.3,313.2,302.8,338.5,326.5,1125.7,1068.4,3690.2,3664.3,389.3,307.4,406.3,304.5,   2.4,  92.9,   4.0,   0.8,531.0,,515.0,3.6,52.9,1.3,A1
Attleboro,341.4,280.2,NS,NS,1414.7,1222.1,763.1,671.8,151.7,143.4,133.9,128.6,635.9,596.9,3175.3,3169.7,218.7,183.8,60.2,51.2,  10.5,  85.4,   4.1,   0.0,555.0,,546.0,1.2,61.9,1.2,A1
Auburn,458.4,346.7,NS,NS,2096.6,1418.7,348.4,268.7,165,112.2,91.7,76,629.6,618.6,2053.8,2243.6,372.9,260.9,NS,NS,   8.7,  89.0,   1.4,   0.9,551.0,,540.0,0.7,77.8,1.3,Aa2
Avon,409.8,276.1,0,0,2846,1993.7,728.6,519.9,NS,NS,NS,NS,865.2,867.9,2254.1,2298,387.1,296.6,NS,NS,   9.0,  89.7,   1.3,   0.0,513.0,,497.0,1.1,91.7,3.8,Aa3
Ayer,396.1,356,NS,NS,2491.7,2423.8,702.8,655,242.8,224.1,166.1,149.2,1175.5,1150,3143.3,3080.9,319.4,295.5,NS,NS,,,,,,,,,,1.7,Aa3
Barnstable,483.2,303.2,98,66.9,2122,1309,1222.4,961,164.8,137.2,314,304,1039.9,1068,4526.8,4922.9,396.3,233.8,109.1,65,  19.7,  78.6,   1.5,   0.2,566.0,,557.0,1.2,71.2,1.4,
Barre,200.1,172.9,0,0,1364.3,1201.3,509.3,493,NS,NS,NS,NS,818.6,760.9,2128.3,2126,218.3,191.5,NS,NS,,,,,,,,,,1.3,
Becket,NS,NS,0,0,1619.2,1233.2,949.2,793.5,NS,NS,0,0,1284.2,1585.8,1060.9,1431.4,NS,NS,NS,NS,,,,,,,,,,.6,
Bedford,478.7,386.4,NS,NS,1429,914.7,542,459.6,77.4,65.4,77.4,68.5,591.3,649.3,1766.9,2162,218.2,138.2,NS,NS,   0.0,  97.3,   2.4,   0.3,596.0,,592.0,0.1,82.6,.9,
Belchertown,321.6,280.7,NS,NS,1306,1297.8,781,759.9,131.3,125,91.9,79.2,721.9,747.1,1384.7,1436.9,203.4,194.9,85.3,69,   7.7,  90.9,   1.4,   0.0,570.0,,569.0,1.0,82.5,.7,
Bellingham,360.1,299,NS,NS,1434.5,1287.5,487.8,426.8,104.5,98.2,87.1,80.6,487.8,501.6,1370.6,1465.9,156.8,150.3,NS,NS,  11.5,  88.0,   0.5,   0.0,534.0,,534.0,0.8,57.0,1.7,Aa2
Belmont,332.2,281.1,NS,NS,1069,840.4,328.3,275.6,49.6,38.2,NS,NS,412.3,386.6,969.8,1062.3,229.1,182.8,45.8,34,  10.1,  87.6,   2.3,   0.0,618.0,,638.0,0.2,82.7,.8,Aaa
Berkley,423.8,399.6,NS,NS,1301.7,1444.8,529.8,631.3,NS,NS,NS,NS,802.2,873.9,1665,1794,NS,NS,NS,NS,  32.4,  66.2,   1.4,   0.0,,,,,,.6,A2
Berlin,427.5,270.6,0,0,1710,1123.2,822.1,587.8,NS,NS,NS,NS,NS,NS,1381.2,1144.8,361.7,212.2,NS,NS,   7.1,  85.7,   7.1,   0.0,570.0,,592.0,0.6,79.7,2,Aa3
Bernardston,663.9,454.4,NS,NS,2134.1,1368.1,995.9,765.2,NS,NS,NS,NS,758.8,815.9,1375.3,1709.2,NS,NS,NS,NS,,,,,,,,,,1.4,
Beverly,333.6,267,NS,NS,2317.8,1806.8,569,475.6,154.5,135.1,71.1,66.1,1606.5,1504.5,3112.5,3047.7,333.6,263.9,56.4,43.3,  12.6,  84.8,   2.5,   0.0,565.0,,551.0,1.9,73.0,.9,Aa2
Billerica,466.3,404,NS,NS,1811,1650.2,433.2,402.5,177.5,170.6,63.9,62.7,632.1,619.6,1538.7,1588.9,277,262.1,33.1,33.1,  19.6,  79.3,   1.1,   0.0,547.0,,555.0,2.4,76.3,1,Aa2
Blackstone,264.7,221.1,NS,NS,1213.4,1106.5,419.2,372.4,NS,NS,NS,NS,540.5,548.6,1434,1490.9,121.3,105.1,NS,NS,  18.5,  80.2,   1.2,   0.0,537.0,,535.0,2.2,64.8,1.1,
Blandford,NS,NS,0,0,971.7,706.8,890.7,787.7,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,,,,,,,,,,2.6,
Bolton,360,372.9,0,0,1180.1,1257.5,560.1,595.6,NS,NS,NS,NS,360,507.8,1440.1,1885.2,220,267.3,NS,NS,,,,,,,,,,1,Aa2
Boston,346.3,385.6,10.1,11.1,1385.5,1567.7,523.5,559.7,236.7,254.4,221.6,240.4,954.1,972.3,3227.5,3259.7,228,260.3,25.5,28.1,  20.5,  75.9,   3.3,   0.3,496.0,,513.0,5.4,66.1,1.3,Aaa
Bourne,466.7,337.5,NS,NS,2755.9,1766.3,1208.5,908.5,186.7,200.8,186.7,179.7,805.7,841.7,2603.7,2790.5,584.6,372,157.2,105.7,  26.6,  70.4,   3.0,   0.0,552.0,,545.0,1.5,73.3,1.3,Aa2
Boxborough,312.9,284.8,0,0,606.2,614.7,234.7,257.6,NS,NS,NS,NS,782.2,936.2,1153.8,1311.1,NS,NS,NS,NS,  13.1,  86.5,   0.4,   0.0,656.0,,684.0,0.2,90.0,.6,
Boxford,353.2,314,NS,NS,1463.4,1255.7,517.2,446.7,NS,NS,NS,NS,529.9,611.4,870.5,1075.9,264.9,246.8,NS,NS,   8.9,  91.1,   0.0,   0.0,,,,,,NS,Aa1
Boylston,NS,NS,0,0,1307.7,1080.5,450.9,326.8,NS,NS,NS,NS,428.4,416.3,947,1031.6,248,186.1,NS,NS,   6.5,  90.3,   3.2,   0.0,570.0,,592.0,0.6,79.7,1.1,Aa3
Braintree,519.4,422.6,NS,NS,2024.6,1479,614.8,508.8,167,143.3,106,109.7,712.9,689.5,1804.7,1915,328.6,229.4,68.9,53.6,  13.9,  84.1,   2.0,   0.0,570.0,,583.0,0.5,84.1,1.6,Aa2
Brewster,578.1,330.1,NS,NS,2099.4,867.1,791.1,548.5,NS,NS,142,167.1,547.7,630.3,1916.8,2762.1,476.7,186.9,NS,NS,  59.3,  37.3,   3.4,   0.0,,,,,,.8,
Bridgewater,361.4,355.7,NS,NS,1546.8,1632.8,466.2,470.2,101.2,108.1,112,104.9,571,578.7,1438.4,1383.4,281.9,293.1,57.8,59.8,  13.5,  85.4,   0.8,   0.3,555.0,,561.0,0.5,77.8,.6,A1
Brimfield,460.3,376.6,NS,NS,1597.4,1211.1,839.3,654.6,NS,NS,NS,NS,947.6,960.8,1570.4,1864.1,433.2,330.9,NS,NS,   2.9,  97.1,   0.0,   0.0,,,,,,.8,
Brockton,437.5,409.3,22.1,21.6,2664.2,2548,808.6,790.1,423.8,404.6,297.3,291.2,1524.5,1503.9,4876.1,4852.3,410.1,387.1,80.1,73.9,  11.2,  84.7,   3.3,   0.8,501.0,,488.0,4.4,62.4,1.2,A1
Brookfield,452.6,354.1,NS,NS,1951.9,1598,735.5,563.2,NS,NS,NS,NS,480.9,494.4,1725.6,2026.7,396,384.6,NS,NS,-,-,-,-,,,,,,.9,
Brookline,371.7,366.1,NS,NS,1086,982.1,294.1,280.4,69.5,64.4,48.5,48.7,667.5,695.3,913.1,931.5,185.9,169.6,19.4,17.2,   0.5,  97.9,   1.3,   0.2,622.0,,637.0,0.3,76.4,.5,Aaa
Buckland,NS,NS,0,0,NS,NS,NS,NS,0,0,0,0,NS,NS,NS,NS,NS,NS,0,0,,,,,,,,,,.6,
Burlington,488.4,375.8,NS,NS,1903.9,1406.6,480.7,387.5,213.7,184.7,83.9,76.7,526.5,494.2,1240,1315.3,240.4,180.5,NS,NS,  12.5,  80.9,   6.0,   0.5,562.0,,562.0,0.4,85.0,1.3,Aa1
Cambridge,277.9,319.9,10.9,13.3,922.2,1137,438.3,507.3,80.2,96,89.3,105.8,822.9,962.2,2558.8,2998,147.6,180.7,26.4,32.2,  21.3,  71.5,   6.9,   0.3,570.0,,572.0,1.9,72.3,.9,Aaa
Canton,441.2,329,NS,NS,1862.9,1276.1,615,488.6,191.6,156.3,66.9,63,1136.5,1129.1,1435.1,1512.8,262.9,168.7,107,73.4,   9.2,  87.0,   3.8,   0.0,576.0,,584.0,0.2,85.8,1.2,
Carlisle,410.8,341.5,NS,NS,924.3,966,472.4,455.1,NS,NS,0,0,431.4,574.3,924.3,1149.4,NS,NS,NS,NS,   1.4,  97.1,   1.4,   0.0,631.0,,644.0,0.6,86.6,.2,Aa1
Carver,513.8,383,NS,NS,2181.6,1614.3,918.1,744.5,261.1,250.1,151.6,141.2,572.8,611.2,2038.4,2229.7,252.7,187.3,134.8,112.8,  12.2,  83.7,   4.1,   0.0,555.0,,546.0,0.2,84.8,1,
Charlemont,NS,NS,NS,NS,1715.9,1189.6,NS,NS,NS,NS,NS,NS,NS,NS,980.5,1260.4,NS,NS,0,0,,,,,,,,,,6.3,
Charlton,368.6,305.8,0,0,1179.4,945.7,457,388.3,117.9,118.9,95.8,100.2,619.2,602.8,1275.2,1348.9,228.5,173.5,NS,NS,,,,,,,,,,.8,
Chatham,819.7,443.6,NS,NS,2860.8,1106.7,1054,516,NS,NS,NS,NS,803,1115,2041,3196.2,702.6,224.3,NS,NS,,,,,,,,,,1.1,Aa2
Chelmsford,400.9,306.8,NS,NS,1876.5,1350.8,477.6,395.1,119.4,96.9,96.7,83.2,440.7,412.6,1367.6,1515.7,400.9,285.6,71.1,55.4,   9.8,  89.5,   0.7,   0.0,581.0,,592.0,0.3,88.9,1,
Chelsea,334.8,406.3,48.6,63.1,1444.7,1807.5,756.1,838.1,226.8,255.5,256.5,283.4,1304.2,1353.1,3642.7,3581.5,183.6,229,45.9,53,   2.1,  87.1,  10.2,   0.6,481.0,,468.0,6.7,59.1,1.6,
Cheshire,739.1,495.6,0,0,2185.2,1489.6,1028.3,748.3,NS,NS,NS,NS,739.1,783.5,996.2,1114.4,NS,NS,0,0,  13.3,  84.8,   1.9,   0.0,522.0,,522.0,3.0,66.3,.9,
Chester,NS,NS,0,0,811.3,613.1,NS,NS,NS,NS,NS,NS,885.1,1051.1,811.3,944.3,NS,NS,NS,NS,,,,,,,,,,1.3,
Chesterfield,NS,NS,0,0,1065.7,927.4,NS,NS,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,-,-,-,-,,,,,,NS,
Chicopee,365.9,294.7,33.6,25.4,2291.2,1809.3,638.2,555.7,265.2,233.2,229.8,217.1,1621.1,1664.8,2810.9,2890.1,307.6,234.9,31.8,24.9,  12.5,  85.2,   2.3,   0.0,539.0,,527.0,3.6,59.9,1.2,Aa3
Chilmark,NS,NS,NS,NS,3457.6,2049.4,2623,1624.9,0,0,0,0,NS,NS,2384.5,3125,NS,NS,NS,NS,,,,,,,,,,2.9,
Clarksburg,NS,NS,0,0,828,564.3,887.1,664,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,0,0,   4.8,  90.5,   4.8,   0.0,,,,,,.6,
Clinton,512.6,448.2,NS,NS,1754.4,1522.6,1061.3,930.8,252.7,291,296,285.3,815.8,790.6,2692.9,2739.7,245.5,204.4,166.1,136.7,   4.2,  94.6,   1.2,   0.0,520.0,,505.0,0.9,66.0,1.6,A1
Cohasset,531.3,393.9,NS,NS,1620.6,1133.1,332.1,269.8,NS,NS,NS,NS,451.6,493.3,1102.6,1393.5,332.1,232.1,NS,NS,   6.2,  92.4,   0.7,   0.7,593.0,,591.0,0.0,90.4,1.6,
Colrain,NS,NS,0,0,2251.8,1550.4,669.4,474.1,NS,NS,NS,NS,NS,NS,2008.3,2194.8,NS,NS,NS,NS,,,,,,,,,,.6,
Concord,500.2,334.8,NS,NS,1566,842.9,609,389.3,NS,NS,NS,NS,598.1,590.6,1288.7,1488,261,127.2,103.3,50.1,  10.5,  88.1,   1.4,   0.0,631.0,,644.0,0.6,86.6,.9,Aaa
Conway,NS,NS,0,0,837.4,714.8,680.4,646.8,0,0,NS,NS,628,744.4,889.7,1105.5,NS,NS,0,0,  67.9,  32.1,   0.0,   0.0,,,,,,1.7,
Cummington,NS,NS,NS,NS,2286.5,1375.9,NS,NS,NS,NS,0,0,NS,NS,NS,NS,NS,NS,NS,NS,,,,,,,,,,NS,
Dalton,452.4,363.5,NS,NS,1960.5,1292.3,693.7,504.7,NS,NS,NS,NS,2051,2440.9,1764.5,1915.9,271.5,170.4,NS,NS,,,,,,,,,,.9,
Danvers,464.6,331.8,NS,NS,2420.2,1562.5,612.3,432.2,194.5,149,93.6,74.8,1372.2,1255.3,2081.7,2161,349.4,220.1,93.6,50.2,   9.2,  89.8,   1.0,   0.0,548.0,,549.0,1.0,84.3,1.2,Aa1
Dartmouth,348.6,290.2,NS,NS,2043.7,1512.7,486.3,410.6,160.2,172.8,134.9,154.9,458.2,416.4,1380.3,1457.3,343,254,64.7,52.4,   5.0,  94.4,   0.6,   0.0,564.0,,546.0,0.7,85.1,.9,Aa2
Dedham,472.1,342.8,NS,NS,1995.9,1326.9,756.1,570.1,180.4,143.9,103.6,79.1,1178.4,1133,1769.5,1902.8,353.1,222.2,96,58.5,   1.3,  97.3,   1.3,   0.0,558.0,,574.0,0.7,76.6,1.2,
Deerfield,287.2,222.2,NS,NS,1934.1,1514.4,478.7,394.2,NS,NS,NS,NS,919.2,1008.7,1091.5,1240,402.1,314.6,NS,NS,  19.2,  78.8,   1.9,   0.0,,,,,,1.2,Aa3
Dennis,729.1,314.3,NS,NS,3113.2,1379,1334.2,911,153.1,135.6,211.4,154.3,1071.7,1398.6,3630.8,5088.1,561.4,260.5,80.2,52.3,  37.2,  58.7,   3.2,   0.9,548.0,,529.0,2.3,72.3,1.5,
Dighton,240.9,191.1,NS,NS,1512.2,1421.4,455,444.6,147.2,146.7,NS,NS,588.8,559,1565.7,1635.5,281,269.4,NS,NS,  16.4,  83.2,   0.4,   0.0,568.0,,550.0,0.5,75.0,1.1,
Douglas,312.6,305.6,0,0,1161.2,1423.2,346.1,404.2,NS,NS,NS,NS,469,486.8,1284,1448.2,189.8,219.3,NS,NS,  15.7,  80.9,   3.5,   0.0,560.0,,536.0,0.8,69.7,.6,Aa3
Dover,550.2,434.7,NS,NS,1393.9,1250.8,458.5,424.5,NS,NS,NS,NS,403.5,508.1,972.1,1336.3,NS,NS,NS,NS,   1.8,  96.5,   1.8,   0.0,632.0,,643.0,0.2,87.7,.3,Aaa
Dracut,379,316.2,NS,NS,1969,1742.5,491.4,431.6,144.5,132.5,128.5,118.4,488.2,500.9,1949.7,2007.2,379,335.1,73.9,64.2,  12.1,  82.8,   4.7,   0.4,549.0,,555.0,0.8,82.1,.9,
Dudley,293.4,267,0,0,1450.5,1395.5,679.1,661.5,134.1,121.7,NS,NS,486.3,486,1567.8,1637.5,251.5,253.7,NS,NS,  17.4,  82.0,   0.7,   0.0,565.0,,575.0,1.2,78.1,1.2,Aa3
