Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measurement,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Abington,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,16112,26,1.6,,,N/A,N/A,Retail Density
Acton,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,22925,19,.8,,,N/A,N/A,Retail Density
Acushnet,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,10374,7,.7,,,N/A,N/A,Retail Density
Adams,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,8319,9,1.1,,,N/A,N/A,Retail Density
Agawam,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,28688,34,1.2,,,N/A,N/A,Retail Density
Alford,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,484,0,NS,NS,NS,N/A,NS,Retail Density
Amesbury,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,16907,15,.9,,,N/A,N/A,Retail Density
Amherst,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,39482,18,.5,,,N/A,N/A,Retail Density
Andover,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,34616,14,.4,,,N/A,N/A,Retail Density
Aquinnah,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,460,1,NS,NS,NS,N/A,NS,Retail Density
Arlington,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,44128,19,.4,,,N/A,N/A,Retail Density
Ashburnham,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,6160,5,.8,,,N/A,N/A,Retail Density
Ashby,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,3177,3,.9,,,N/A,N/A,Retail Density
Ashfield,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,1598,2,1.3,,,N/A,N/A,Retail Density
Ashland,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,17159,21,1.2,,,N/A,N/A,Retail Density
Athol,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,11628,15,1.3,,,N/A,N/A,Retail Density
Attleboro,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,43953,52,1.2,,,N/A,N/A,Retail Density
Auburn,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,16364,21,1.3,,,N/A,N/A,Retail Density
Avon,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,4453,17,3.8,,,N/A,N/A,Retail Density
Ayer,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,7810,13,1.7,,,N/A,N/A,Retail Density
Barnstable,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,44591,64,1.4,,,N/A,N/A,Retail Density
Barre,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,5448,7,1.3,,,N/A,N/A,Retail Density
Becket,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,1739,1,.6,,,N/A,N/A,Retail Density
Bedford,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,13921,12,.9,,,N/A,N/A,Retail Density
Belchertown,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,14838,11,.7,,,N/A,N/A,Retail Density
Bellingham,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,16682,28,1.7,,,N/A,N/A,Retail Density
Belmont,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,25337,20,.8,,,N/A,N/A,Retail Density
Berkley,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,6547,4,.6,,,N/A,N/A,Retail Density
Berlin,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,2957,6,2,,,N/A,N/A,Retail Density
Bernardston,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,2187,3,1.4,,,N/A,N/A,Retail Density
Beverly,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,40670,35,.9,,,N/A,N/A,Retail Density
Billerica,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,41956,43,1,,,N/A,N/A,Retail Density
Blackstone,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,9078,10,1.1,,,N/A,N/A,Retail Density
Blandford,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,1144,3,2.6,,,N/A,N/A,Retail Density
Bolton,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,5067,5,1,,,N/A,N/A,Retail Density
Boston,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,650281,848,1.3,,,N/A,N/A,Retail Density
Bourne,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,19729,25,1.3,,,N/A,N/A,Retail Density
Boxborough,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,5137,3,.6,,,N/A,N/A,Retail Density
Boxford,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,8138,0,NS,NS,NS,N/A,NS,Retail Density
Boylston,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,4432,5,1.1,,,N/A,N/A,Retail Density
Braintree,2015,2015,2015,Total,Total all ages,All Races - Ethnicities,Tobacco Retail Density,Overall Tobacco Retail Density,N/A,N/A,36905,60,1.6,,,N/A,N/A,Retail Density
