\,no_vehicle_avail_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,tobbaco_retailers_2019_%,liquor_per1000,supermarket_per1000,food_est_per1000
no_vehicle_avail_%,1.0,-0.6195735203882325,0.22890104839388972,0.5992959871500251,0.5385240601621415,0.5031593661035272,0.2631433469452206,-0.11913571651557553,-0.018392253670799063,0.07739747407246225,-0.055722859492631074,-0.06657591779543783
comm_car_%,-0.6195735203882325,1.0,0.07202322302167243,-0.7437352164687961,-0.7321556844807926,-0.5942472388759751,-0.18942640202360372,-0.4335374405149716,-0.08052765739439277,-0.03950285801352153,-0.004312397200229915,0.0037207681992931013
comm_carpool_%,0.22890104839388972,0.07202322302167243,1.0,-0.015617797665134369,0.01417573506517137,0.009463689721165486,0.16150908582249196,-0.21875594334742166,-0.1309794258734202,0.0903415895345642,-0.09041547928670761,-0.08803390690398408
comm_bus_%,0.5992959871500251,-0.7437352164687961,-0.015617797665134369,1.0,0.27796952859456536,0.335931307161885,0.03281300080998558,-0.058560578274180465,0.12282650472391239,0.07753600608688382,-0.021806383343771517,-0.04597168706140591
comm_walk_%,0.5385240601621415,-0.7321556844807926,0.01417573506517137,0.27796952859456536,1.0,0.5460955742761161,0.1952655555268201,0.1977117348581199,0.03079866510315607,0.07685038796786985,-0.052366122117334477,-0.052456665098020036
comm_cycle_%,0.5031593661035272,-0.5942472388759751,0.009463689721165486,0.335931307161885,0.5460955742761161,1.0,0.1575822473661778,0.12856392764588942,-0.13196416580197293,-0.04122004824789207,0.018097269538965448,0.024241505449413003
comm_taxi_%,0.2631433469452206,-0.18942640202360372,0.16150908582249196,0.03281300080998558,0.1952655555268201,0.1575822473661778,1.0,-0.033705399203054126,-0.06486493292923849,0.10063971173211561,-0.07805742285694255,-0.073425021607647
comm_wfh_%,-0.11913571651557553,-0.4335374405149716,-0.21875594334742166,-0.058560578274180465,0.1977117348581199,0.12856392764588942,-0.033705399203054126,1.0,0.03010630619155447,-0.11662133124368558,0.1158142042344098,0.13150420218458372
tobbaco_retailers_2019_%,-0.018392253670799063,-0.08052765739439277,-0.1309794258734202,0.12282650472391239,0.03079866510315607,-0.13196416580197293,-0.06486493292923849,0.03010630619155447,1.0,0.2137870129608247,-0.22520907807161208,-0.22811209470341048
liquor_per1000,0.07739747407246225,-0.03950285801352153,0.0903415895345642,0.07753600608688382,0.07685038796786985,-0.04122004824789207,0.10063971173211561,-0.11662133124368558,0.2137870129608247,1.0,-0.9523253274982226,-0.9539401499829628
supermarket_per1000,-0.055722859492631074,-0.004312397200229915,-0.09041547928670761,-0.021806383343771517,-0.052366122117334477,0.018097269538965448,-0.07805742285694255,0.1158142042344098,-0.22520907807161208,-0.9523253274982226,1.0,0.9901530258677264
food_est_per1000,-0.06657591779543783,0.0037207681992931013,-0.08803390690398408,-0.04597168706140591,-0.052456665098020036,0.024241505449413003,-0.073425021607647,0.13150420218458372,-0.22811209470341048,-0.9539401499829628,0.9901530258677264,1.0
