\,no_vehicle_avail_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,moved_lastyear_%,age_lt18_%,house_2000to2014_%,house_income_gt30_USD_%,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,dentists_per1000,young_females_%,median_age,lt5years_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_hisp,less_than_highschool_%,vacant_rentals_%,Diabetes_admissions_AA,Diabetes_emergencies_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
no_vehicle_avail_%,1.0,0.10869374000508353,0.1693618726728886,0.3481331934680743,0.0058888294417440935,0.04740411602956642,-0.18367323435001567,-0.4082471442387124,0.41336294439730215,0.014440825393135341,0.2883302415885088,0.13707181008539127,0.46047036197991825,0.014224617734032385,0.05202214748704364,-0.19185577749933658,0.1424144769916838,-0.08223489921822932,0.23877705020260173,0.21417189645804127,0.08465679158433466,-0.167850371793387,0.05769631185829836,-0.08895933540368597,0.046155174611457614,-0.1792829753096803,0.051081443124055166,0.08879469778991435,0.19451199241752024,0.39703880085049287,0.447621813350097,-0.06932101809672714,-0.4172294736988206,-0.16287996194604432,-0.23121159969890698,0.31477614404325666,-0.12193698706744394,-0.08565286665297063,-0.6195735203882325,0.22890104839388972,0.5992959871500251,0.5385240601621415,0.5031593661035271,0.2631433469452206,-0.11913571651557553,-0.34686804793129034,-0.06511166116064004,0.034720574360220614,0.023073670239141576,-0.04325239642458116,-0.2834927253663116,-0.17894745573598275,0.051736268569245264,-0.0614180457983753,0.09232541017099986,-0.10715499819247676,-0.33519614821531163,-0.12846643784179398,0.2671104162527755,0.08352827453696686,0.3967911094424985,-0.3719470004560137,0.20245941022016153,0.198238339531018,0.17801258655393415,0.09805610810668258,0.21840394500846028,-0.757619111640833,-0.17739432588978182,-0.2144779591851043,-0.09908617880727542,0.027562735455555296,0.09904053086118766,0.2151393425385341,-0.029191588839183064,-0.13979952844902427,0.023483412214104285,0.09189949679507309,0.0021813150067513825,-0.03734428158795416,0.13076594274135114,-0.1248553392579395,-0.127216346675078,0.1677683307727438,-0.018731372522977727,0.06896211161742376,-0.14887686241630002,-0.2907391709940382,-0.2594038441622864,-0.013562482977354089,-0.0061122333320945774,0.449402456528879,-0.38709735205242785,0.09311483149675437,-0.02376103344186632,-0.057835795046693235,-0.050161681280630505,0.006025056728654603,-0.0129261899622535,-0.0709386012253401,-0.1634703561849436,-0.10699325754678704,-0.052913647099715605,-0.0027789032951640504,-0.14141992903338454,0.061087268826431125,0.4634833382274017,-0.17301431216288293,0.021627464674255754,-0.030368199484181357,-0.18351072777042754,-0.16971230384469227,-0.4410000354410888,-0.2828656271066557,0.052762406810517436,-0.1893135642311886,-0.08954705058448394,-0.25533730448540687,0.0026873170247678577,-0.014152588486490869,-0.014879007248577913,-0.11923039813035433,-0.1798720844644262
exp_perpupil_USD,0.10869374000508353,1.0,-0.09656354904160938,0.0032379278681023385,0.4695266937431518,0.383150184060564,0.07796629027017817,0.023350960225921476,0.031671762343389434,0.29674254591675786,0.07072067778516809,-0.0037472108731224424,0.1284965133758917,0.026056934552430994,0.2784514878833193,-0.1289344836402683,-0.1594655105640182,-0.03702400167950157,0.0411676329319992,0.23588282867503504,0.041372982047341675,-0.0668394339957112,-0.23880763172582303,0.25836668175426913,0.11070156107900082,-0.15612012670275854,-0.18190195009208399,-0.16744654404826054,-0.15622420441869042,-0.13240232016179174,0.022106645838044687,0.13510301244081965,-0.03854089233004272,-0.2510678153095212,0.11383971201533091,-0.14707171910220132,-0.043989682892164816,-0.15765516673855975,-0.3808503431975681,-0.07359677578626087,0.09899981471523596,0.29957354570972533,0.3606812889172031,0.16716374987963062,0.3846218932950118,-0.3795634069464714,0.06050067420539036,0.07822078323827228,0.16466285750380988,-0.0286099923620806,-0.17741675889421088,-0.11410641679639827,0.05157919181754456,-0.002201036603076026,-0.07412000184184177,0.0246032226520417,-0.08295881388278205,-0.3059112872294182,0.13571455007910535,-0.002219475823391654,0.04866751319739167,0.2810180547428381,-0.2804117101848132,0.05286531892425799,0.20261003558702362,0.21343051819150016,0.003307641330940396,-0.01493736466529986,0.18962149711451606,-0.19976586402781019,-0.23245103827452507,-0.1650879099498725,-0.014968476855527595,0.42085365910047245,0.15640085004953136,-0.17446744722414398,-0.13478782199018943,-0.1864380502019668,0.04798535273266652,-0.05866973227521149,0.18967556557178145,0.1299793823732,0.008026765200157588,-0.06191609727992991,0.6203401572015127,0.11338033321010016,0.37184003634408763,0.0010278951732883422,-0.04802256455199402,-0.08730890221193974,-0.08947825987026754,-0.10348285661061275,0.07434077270443191,0.04701448708896417,-0.023967150971234148,0.13370534932329065,0.3349358409819399,0.39620008376217364,0.013476086575219053,0.25060905501613784,0.07575758276898327,0.021285622521226604,0.08504482922417797,-0.09418651440275275,-0.3069876215625856,-0.13909669118595896,-0.19391785140124207,-0.011186644952825163,-0.32476012283280814,-0.19503757535523905,0.16513646084314107,0.43320371236470606,0.0028149171863984385,0.1143502944638736,-0.09965105324024374,-0.010162346100383097,0.1304955005484829,-0.03192357570266627,0.09789837053584145,0.11401010659708961,0.11221724377562822,0.26749158196859224,0.16395076641000766
debt_pervaluation_%,0.1693618726728886,-0.09656354904160938,1.0,0.1044806455719753,-0.042932113670112425,-0.03228015624028979,-0.19744919748633746,-0.2659602269700261,0.18338004949811343,-0.009089859698928733,0.13633181942730024,-0.055281817605295935,0.0067265449884845955,-0.007028642489106166,-0.12195681341050396,0.007081193887316343,0.0945577854404814,0.05638335408785101,0.16239641193767684,-0.038053951063956995,0.020839766465110668,-0.025549622529221962,0.10002785693140698,-0.1210511098480455,-0.15313074690624856,-0.07834426581270806,0.05704205582187719,-0.029368040576938186,0.10384380251450244,0.12904720653979665,0.10209558538514248,-0.07846485252328553,-0.13230914848805994,0.1256045147973553,-0.13972948009987732,0.15993011243730915,0.02046881993453281,-0.04153174443368355,-0.010196064389517194,0.13988511299216774,0.04551291284436985,0.06527741619512946,0.0010881048805974798,0.11945994381971434,-0.14815804234348154,-0.09563749228520413,-0.023279028213427196,0.009119435997919747,-0.026221792113098254,0.013370572474421335,-0.09401176416423439,-0.027520892307225542,0.06913504924579919,-0.18182827144035837,0.16287928948730251,0.03821676064586683,-0.061813070026429356,0.10064348955079432,0.05551918859691866,0.05782783621001065,0.006866582330925367,-0.20070380593873322,0.20014088409130706,0.16099543601971988,0.025563444899272647,0.007311600158187995,0.28602365365674715,-0.19368927817043793,-0.2910832490844241,-0.07421146618514096,0.07179716507293223,0.030701188283996372,0.015277388196840191,0.009478812095647365,-0.10333250230937176,0.020522721571201424,-0.011123320181490627,0.030235922237263638,-0.04254357392803844,0.04084390595368894,0.13243154752165598,-0.06884008814012177,-0.03874448036763038,0.04766508488665926,-0.12065818046387472,-0.022296683193175168,-0.24252313897658434,-0.26918380616319276,-0.19375776351922758,0.039899249095511576,0.028186052491322715,0.23328744664668716,-0.09065496881249871,0.03526072319669006,-0.007812798671543872,-0.10180210926852554,-0.12641614055460898,-0.11964909031235453,-0.049245281698414155,0.031334731876867986,-0.1300736232556301,-0.0761275254189289,-0.11053831823670061,-0.0020518047378969982,-0.09724535377599072,0.09750479372739285,0.3084906787251775,-0.04200546534068982,0.003018245069672609,-0.012402027278566203,-0.16424560299466967,-0.2495172195788735,-0.18045517022468313,-0.3792453772388072,0.09204552082057087,-0.0855204643701317,-0.12693908426701955,-0.15330349880880345,-0.12539127283653614,-0.15049004183619977,-0.140631532026624,-0.24170579512843643,-0.25130156956101596
homeless_Shelters_per_1000,0.3481331934680743,0.0032379278681023385,0.1044806455719753,1.0,-0.0026927856085821973,0.02883526245623734,-0.20493716916657084,-0.22198334475397236,0.35299535154848377,0.01276341777040607,0.11872229610801938,-0.011180493491645446,0.13032835169217796,0.011863272481952767,0.0035306530452589233,-0.09516468289392614,0.1400221943586743,0.012176798597317224,0.15514471909092856,0.05455361320254064,0.09764012496659412,0.03393929971915909,0.050985088757691845,-0.08171256581285875,-0.0745348017045132,-0.09057218627152316,0.009923515949780047,-0.0022910004226454443,0.08963003314683372,0.1154905579510938,0.13639938315468755,-0.06891952441850531,-0.25082797090226244,-0.003581237686087299,-0.17176085031401622,0.15405572064087142,-0.046560251064388776,-0.04031694713527446,-0.19680512367894495,0.08184139927668198,0.20248348742236533,0.1721064438433676,0.1351750577464989,0.12611266774636765,-0.060587225680827646,-0.15795696078025945,0.024465089312973497,-0.005087912001436093,0.11881840643583216,-0.10948309101144643,-0.13143535840204393,-0.07756467254325407,0.030224548227566185,-0.008989156684019336,0.13358036032925039,-0.08209279365076268,-0.1451836429160993,0.03338706805445988,0.12336230394261577,0.08278242669550212,0.33224109977078414,-0.21194133972887502,0.1197478789634113,0.26542430053021354,0.05183644827787472,0.060222455327334695,0.2327586410692318,-0.30005799690012236,-0.1617396810339387,-0.07909428708359782,0.009854394714073766,0.02325447573466216,-0.03674028460734005,0.07452151796992047,-0.11750231962303098,-0.013172232323820546,-0.03278279067649529,0.03362898301596288,0.06441439456098086,0.19899600106965654,0.06110066661222929,-0.06326386680943202,-0.040967645644809675,0.038494750672971326,-0.07019053150865681,0.06421106076062781,-0.13998575687499196,-0.15730582873975804,-0.11380551271257577,0.013962617562800693,-0.053344875757128075,0.21438451672600198,-0.19750794993267484,0.007299842740143996,0.03747974355467203,-0.07926846034645743,-0.07541200979878164,-0.04093102872572661,-0.024451571382548574,-0.035490374888589145,-0.08856495454328421,-0.02258187340670313,-0.04357391879554306,0.02535193183445687,-0.03954238331511715,0.04251078989281207,0.22586365568138456,0.028578347870889403,0.05983071476569424,0.03766248743099033,-0.19792000821516217,-0.1036523833057857,-0.2057348692802659,-0.1656450151478076,0.05569539957028519,-0.05165005785191454,-0.13848060832030343,-0.16846713473675126,-0.02647350111011764,-0.06990637936498824,-0.0668031983571879,-0.09513628149901297,-0.14096668700087703
median_owner_home_USD,0.0058888294417440935,0.4695266937431518,-0.042932113670112425,-0.0026927856085821973,1.0,0.7701821883046307,0.329075691064028,-0.26445315128215535,-0.04098175602176122,0.3106152874187308,0.329924392534093,0.0006993859819365423,0.0832968847037739,0.34916696637826733,0.2552516936840497,0.014428761265066745,-0.4442640148335765,-0.2050692433848715,-0.2733761409267148,-0.25521441836086456,-0.263484772029651,0.011180676576935333,-0.4259971429938606,0.047327892036314004,-0.22647937066495244,-0.4459223546145359,-0.540110849444964,-0.43144431922655235,-0.34074000213922084,-0.19984069415951777,-0.016646176507874644,0.14877530857760163,-0.018202232798732593,0.3228505069707843,0.12789703722654513,-0.16685627078183485,0.15472586767929822,-0.037313328609694975,-0.4692679244798929,-0.2473441142820841,0.3703539222672524,0.16931871552765018,0.22250414882669955,-0.03205204722759394,0.4035177682733381,-0.44018849409849264,-0.08379977420381145,0.13952964790276018,0.07810209498586078,-0.006172905960368082,0.10894557912014013,0.24785064771841234,0.1701744065143134,0.16529620754865773,-0.09260183102862915,0.16340287224842,0.25301868394327637,0.07168795146332353,0.3690587438805415,0.1915277125017657,0.004331314179985621,0.023846539948625702,-0.015199948522858178,0.1893501563448109,0.22417213863398364,0.3909317350830889,0.07942837585875602,-0.08160039857168415,-0.1737838794513318,-0.03691132595561216,-0.11629005568130871,-0.12210838367795772,-0.08841015322705296,0.20129992041256703,0.15261676990382164,-0.13928133506281676,-0.20849965411156896,-0.15383218543062926,-0.06380144186405606,-0.036485237535763694,0.2625257732919465,0.21264100198616387,0.13875444069489254,-0.07907388337362799,0.09745469004767243,0.1123485884747714,-0.10641479162294172,0.24623892351694476,0.26842512489114184,0.25165753358062504,-0.019019410345601014,-0.36466465840041734,-0.015286902548210156,0.10803558477189515,0.21666997701901303,0.1384781424049416,0.31419170281460945,0.3592235277393951,0.14770856242913097,0.05447379027840484,0.13851071762594977,0.38193706228551216,0.2688560702399664,-0.10658169327401731,-0.07134620997999809,-0.03608989161599009,-0.056993138647604615,-0.0894062131537264,-0.21767486230723676,-0.08041948851365151,0.20950432265839578,0.44087254442926255,0.02210693474778381,0.2764465893338741,0.14482792882095458,0.3224808638178341,0.20883599964027497,0.33668682484079243,-0.19300674098302836,-0.19199492570449603,0.02357826808393405,0.2663013027293321,0.08042503203356711
median_sale_homes_USD,0.04740411602956642,0.383150184060564,-0.03228015624028979,0.02883526245623734,0.7701821883046307,1.0,0.18966637664361438,-0.2223044946714621,-0.035926220952126546,0.24069737412003175,0.2741482499562984,-0.05300139925137447,0.0530653490667499,0.26126348264187427,0.1947021480044156,0.03897463307137615,-0.3289067274387344,-0.1330118713574555,-0.15528758370575282,-0.2086860302461474,-0.22275854703425776,0.05117750899046194,-0.32293808714905753,0.00769425787581596,-0.2325538889738388,-0.3130655077406156,-0.4175781374701072,-0.3434037932743232,-0.29148248592327275,-0.16056098472043218,-0.005758325787726282,0.12118259816564889,-0.07192678436652802,0.24677276235814752,0.04601290499383446,-0.10046755264525531,0.1416137889719036,-0.012511927245039687,-0.4053160618538915,-0.18779437595333992,0.31840378688530224,0.19621643734086128,0.2079424170749957,-0.012551842993437437,0.2893268044547236,-0.3411793439720899,-0.07540688850650473,0.15965457902650546,0.06293745292630451,0.0517468185475202,0.10963254203302301,0.21442973069707155,0.13447297669823136,0.15703586494457253,-0.09498535682948564,0.1381954311755876,0.2090226729973914,0.05946713866840587,0.34606079501640696,0.11822228021121069,0.015865044524050038,-0.022000439584598512,0.012387535950660692,0.14879229829328497,0.15749393343007942,0.2423528838993069,0.0900694516250901,-0.10828368503074773,-0.18779670286168706,-0.006991911630512931,-0.12179618428052259,-0.08804460776519768,-0.055438095354661356,0.1446518740293656,0.14198337296240385,-0.10108308607542378,-0.1782303049124717,-0.1440667267664625,-0.031041459571854092,-0.03117587140980526,0.18080722067348942,0.14555296147050223,0.12643256837376762,-0.018456790526396625,0.08043420589995592,0.18987799842535125,-0.1102617460063019,0.14703637844187403,0.19375163363536704,0.20377850343250506,0.026818168054826327,-0.3016575152456034,-0.018279600945584437,0.023954234596845068,0.16499670408572992,0.1478335097165414,0.26546827321316463,0.28158747734744677,0.09325008344681311,0.04116708630127997,0.12837783425576949,0.29793925024156365,0.1945929637405452,-0.06518426672392345,-0.06279441382328306,0.031215433790825173,-0.06643987728829817,-0.011855732911779377,-0.15819739602678742,-0.054349373435256795,0.1449171741377639,0.3418102089569585,0.0017819236951917797,0.20686677479573537,0.10614167384862132,0.27071516727980155,0.16813860928751825,0.25906368066848146,-0.1711308690645378,-0.16327119668185427,0.04943971782035207,0.1879455928966549,0.05215582439828352
unemployment_rate,-0.18367323435001567,0.07796629027017817,-0.19744919748633746,-0.20493716916657084,0.329075691064028,0.18966637664361438,1.0,0.19476149212484717,-0.24784881974934422,-0.058731333041384406,0.026874786263336094,0.1555116664707293,-0.11962448324371988,0.2403168466235096,0.26397929674431253,0.17682041229688072,-0.34200578646757523,-0.17786608885930638,-0.31513334522570857,-0.12323387349727613,-0.32059240960430624,-0.12286329101176165,-0.26450044339305984,0.01938693669411568,0.08809176117345073,-0.16681541680942572,-0.40221609152818827,-0.2161432279834517,-0.24399233182913713,-0.23599875978095655,-0.19569401983164875,0.13480195030059156,0.23791806612456878,-0.01928205443113195,0.19090299713479736,-0.20804266186301168,0.15119706334159944,0.17067965874232044,-0.09272378729887393,-0.2749549850965925,0.04814565602146126,-0.11106656859863706,0.00808554735469659,-0.13212059070852417,0.31771699335308695,0.007373943011552697,-0.06224139597690154,0.04740996121806654,-0.11001077845768499,0.11058206987231592,0.29454418463112736,0.2068961704710028,0.017575717149946317,0.20708802768242354,-0.13402469088187266,0.04034870989842179,0.3090205678173297,-0.1503040049778934,0.09331124716667544,-0.002756721478194372,-0.10742565151012899,0.23952720463372162,-0.09249942020708722,-0.034332320926895234,0.11233778054263366,0.18851908014650187,-0.12206305881643742,0.13639780568568904,0.09132400042482659,0.04552559353866539,0.02851040438026154,-0.013223941174097333,0.0014159156123648335,-0.05568713023150384,0.1820068837514198,-0.05795041648846906,-0.11128687177252061,-0.08388805644186931,-0.01472934489072535,-0.0953495584353784,-0.0034688190767909696,0.116715970560814,0.02588025865180479,-0.12579065273416645,0.1255352505281202,0.0005122197431128584,0.1192970422686604,0.36676148837975614,0.32252998178460096,0.11920537465190223,0.10525704981133957,-0.5178663196171208,0.09251222667340041,0.01469210807964879,0.0669111187586768,0.20361304531315014,0.22715768192610386,0.3215107746739697,0.2071142839255171,0.06475363099254249,0.24459995435652715,0.2568740686385907,0.381967012528292,-0.022845746491996527,0.10994400682796542,-0.1493497289966608,-0.08652439860117091,-0.14995989889588038,0.09061893597506007,0.019220947993968222,0.34493080922633307,0.27150300432405267,0.20514992758201303,0.33895441815121635,0.08143786231165469,0.33188258191800657,0.2690325203476449,0.3056191557840719,-0.031712426655984165,0.009596139672679832,0.10915330950784051,0.25468905313043405,0.14169369159090786
race_Wh_%,-0.4082471442387124,0.023350960225921476,-0.2659602269700261,-0.22198334475397236,-0.26445315128215535,-0.2223044946714621,0.19476149212484717,1.0,-0.5578094452600291,-0.24080169479583213,-0.6169482706422627,0.050815412430549024,-0.41609801886458236,-0.2564246616430475,0.1550977432016385,0.27236897198462007,-0.047182519091330435,0.11155472761963453,-0.08843484101785146,0.057436485612405525,-0.020073205064897123,0.11789579258537933,0.23906898114464697,0.19705971506844056,0.36837924915334813,0.24483481449739736,0.07079248764611003,0.1503144500568795,-0.04722859531670045,-0.4095346372648885,-0.30156973662287484,0.0949084764899458,0.23915454762941799,-0.5650985945194089,0.16725847663278,-0.2341272083975494,-0.032007258023295806,0.010858985485352505,0.2585664807026417,-0.24584826655190647,-0.47693762306897797,-0.08905582417056193,-0.09435407899096751,-0.153420720834844,0.24853770010135384,0.1725985250813188,0.05342800843552407,-0.008174275282582879,0.07175449931713529,-0.04224474717133889,0.2064740560619533,0.010915996086899105,-0.18326701071313334,-0.006336597574765039,-0.071998684501402,-0.1311058588624507,0.18739448815805926,-0.4251996169397467,-0.32003420503367885,-0.21020421255472457,-0.21339855340216868,0.5745174332628807,-0.47675013426692525,-0.2632048596261255,-0.07330323935886934,-0.07521782014950748,-0.3483418344761072,0.5535790649403102,0.43843185397479617,0.08793000076125712,-0.11073402237957038,0.009983790198538936,0.0038313100126826146,-0.027877752590902697,0.03198213637472943,0.09717268719606625,0.026193785892748244,0.05531656123348555,0.0048704029236249285,-0.11542011227337523,-0.1573635107568275,0.02355840304646857,-0.06673724542871227,-0.03710534193420565,0.223648435080841,-0.10187601017076778,0.33320928826688473,0.15381579340676566,0.09805512344276744,-0.11359096104409587,-0.1148747840929526,-0.3323039254493943,0.36220842965799943,-0.132281175273535,-0.1028859950955656,0.09226453135434444,0.14695972831031015,0.11047974954827587,-0.049192446609598345,0.17429698557056897,0.16967972270216963,-0.06869228732258058,-0.0572720830316424,-0.023404699433129818,0.0027904967425366124,-0.002572225599923621,-0.4400943256402683,-0.16268263602517807,0.00830769198377335,-0.07933933583571756,0.23897588427152716,0.12083768824133855,0.33534498245321737,0.17939896997218197,-0.21168125434518725,0.1200391354678856,0.07202068528320772,0.035989238791785054,0.1701575441670008,0.16551832792944787,0.13374280490250917,0.18593755543700993,0.2116413925289882
race_Afam_%,0.41336294439730215,0.031671762343389434,0.18338004949811343,0.35299535154848377,-0.04098175602176122,-0.035926220952126546,-0.24784881974934422,-0.5578094452600291,1.0,0.001075502507495625,0.2918220627476472,0.010301711234923608,0.29252709388015924,0.003367296145914433,-0.0447068224853955,-0.1144634537456546,0.2960444921345843,0.029436606687697535,0.21771345711486834,0.1138590724665033,0.18418878924752577,0.06047901230332839,0.1481493516278023,-0.0849026624012635,-0.12507960987645522,-0.11925003557872674,0.017685239019531347,0.07315890774176424,0.1660107199498284,0.2818903662729673,0.31567022978884346,-0.04924425513534263,-0.37788501244650724,-0.017244592331493197,-0.20060500907646736,0.15424614812528492,-0.07964809569839552,-0.0937620908524948,-0.2576851258658161,0.21623476029918773,0.37010944284333724,0.19314373121556436,0.12431534432274108,0.1584181378960564,-0.2019979129952336,-0.18289504402892898,-0.03815483769835143,-0.018798245096789488,-0.00299044822688533,-0.0578031158988532,-0.21792896928579325,-0.09071600815158173,0.051058821270630786,-0.04826730760403493,0.09844162636225764,-0.07069271146159495,-0.26951464105535866,0.05442189887451655,0.2058969849137144,0.08736273060868548,0.3262417194171334,-0.3586691968756538,0.1936564841242615,0.16646982048331663,0.08901971087304704,-0.01428638662556568,0.28978707069552756,-0.4576362658518617,-0.2914426297416537,-0.16241545703532426,-0.028810287452372976,0.013554901442320013,0.09186378475353255,0.13205784087837696,-0.13271667677568766,-0.01537391392769559,0.009652300212440883,0.017586005765387738,0.08270407579745252,0.12034238191712347,0.08691615550281233,-0.08407982673334584,-0.05462941732115849,0.04475908029765797,-0.07419447370258304,0.04543104916658356,-0.2012701839208931,-0.22379530972699577,-0.20078900912841172,0.012083231857077303,-0.10096915737133182,0.41335743713419665,-0.22935115153868685,0.0932530260297317,0.023929010176855742,-0.13760382022390627,-0.18432669502273621,-0.16032053434605578,-0.07067108287309597,-0.04610065943939931,-0.12788447118116436,-0.0007014273657031008,0.030654203105001176,0.018011440745309165,-0.08545182365820186,0.09805899597062095,0.40653581703520936,0.045462347992809925,0.05803985946226417,0.033343252454246484,-0.2618656045615701,-0.24813134515162774,-0.288170774257527,-0.27056196639688224,0.07490381642459892,-0.11688298996850449,-0.1430020968350525,-0.14365944810839998,-0.08823669522739941,-0.09722417070924495,-0.13456091088972566,-0.19011342523013908,-0.24633222110629024
race_Alaska_%,0.014440825393135341,0.29674254591675786,-0.009089859698928733,0.01276341777040607,0.3106152874187308,0.24069737412003175,-0.058731333041384406,-0.24080169479583213,0.001075502507495625,1.0,-0.03581186628870008,0.13585788024016782,0.27447259469776136,-0.09554993372882717,-0.0516638300890312,-0.13946751721100867,-0.025966336528165403,0.00804280719861406,0.14583911170844877,0.1623044122451906,0.011142712852784665,-0.10902092005668337,-0.11981524399062313,0.24931735914674502,0.0973580226178574,-0.0654144535018437,0.045982673935883796,-0.027520068168020422,-0.015215615627175756,-0.03936128511750453,-0.019429122550042394,0.019602940221236848,0.04802866947778745,0.19216991839496927,0.10531987705029587,-0.08502237312604674,-0.07511977965626591,-0.05712827022002714,-0.08127729987962422,0.05584169172596464,0.02732071123171827,0.11224996051747776,0.005573913040905012,0.00872902940473588,0.04374863592393928,-0.1308359696615353,0.050701701785252476,0.017235004998365607,0.05125518654513119,0.011478081643230427,-0.25195611472641805,-0.13219035335905546,0.03237296881875729,-0.03558083749128213,-0.04543444202288101,0.09897957772212848,-0.11134320446116228,0.0492982093760111,0.04438092893818692,-0.025246150333068547,0.012679319435966223,-0.03600274789473056,-0.08750334330817872,-0.03575630967754429,0.0016032988819407246,-0.03183004937072319,-0.0536207170545215,0.017549012685927335,0.08892883108335192,-0.2494275686704827,0.008921417141900997,0.06408652703143759,-0.05210391745428889,0.22904895292035723,0.09369892352753877,-0.10466281017843738,-5.820771174279692e-05,-0.09399990939385802,-0.041475528916033746,-0.0397424823777808,0.07494935541308462,0.041124782397868,-0.04291918498142891,0.07586792291979215,0.16864708191027514,0.08452395417044671,0.09096137967804308,-0.09424386889922134,-0.10754567272857432,0.06549906160681206,0.018851080880110654,0.11464715169003595,0.012620121915127213,0.024677210480945382,0.004331244960510971,-0.03322894863832903,0.017729215804446502,0.1113031150361276,0.12355590198074776,-0.03830889244321046,-0.18868543828989365,-0.07702028627641502,-0.11434008407152935,-0.01933820117377105,0.0038144152054252543,-0.08977387061867163,-0.09869731984713813,-0.005645172987859997,-0.4481718780545351,-0.05206475166815551,-0.14495591693663037,0.1342372830175945,-0.03600959230562493,0.029752392328909017,0.014432060363367577,-0.11758733321905133,0.07442569726045013,-0.07215234304516127,0.14511431434202365,0.1227526909680481,0.1340042089684456,0.12304743899813904,0.05261331652895057
