\,no_vehicle_avail_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,tobbaco_retailers_2019_%,liquor_per1000
no_vehicle_avail_%,1.0,-0.6195735203882325,0.22890104839388972,0.5992959871500251,0.5385240601621415,0.5031593661035271,0.2631433469452206,-0.11913571651557553,-0.018392253670799073,0.07739747407246225
comm_car_%,-0.6195735203882325,1.0,0.07202322302167241,-0.7437352164687961,-0.7321556844807926,-0.5942472388759751,-0.18942640202360372,-0.4335374405149715,-0.08052765739439276,-0.03950285801352153
comm_carpool_%,0.22890104839388972,0.07202322302167241,1.0,-0.015617797665134369,0.014175735065171365,0.009463689721165496,0.16150908582249196,-0.21875594334742166,-0.13097942587342018,0.0903415895345642
comm_bus_%,0.5992959871500251,-0.7437352164687961,-0.015617797665134369,1.0,0.2779695285945654,0.335931307161885,0.03281300080998558,-0.058560578274180465,0.12282650472391238,0.07753600608688382
comm_walk_%,0.5385240601621415,-0.7321556844807926,0.014175735065171365,0.2779695285945654,1.0,0.5460955742761161,0.1952655555268201,0.1977117348581199,0.030798665103156056,0.07685038796786985
comm_cycle_%,0.5031593661035271,-0.5942472388759751,0.009463689721165496,0.335931307161885,0.5460955742761161,1.0,0.1575822473661778,0.12856392764588942,-0.13196416580197293,-0.04122004824789207
comm_taxi_%,0.2631433469452206,-0.18942640202360372,0.16150908582249196,0.03281300080998558,0.1952655555268201,0.1575822473661778,1.0,-0.033705399203054126,-0.06486493292923849,0.10063971173211564
comm_wfh_%,-0.11913571651557553,-0.4335374405149715,-0.21875594334742166,-0.058560578274180465,0.1977117348581199,0.12856392764588942,-0.033705399203054126,1.0,0.03010630619155448,-0.11662133124368558
tobbaco_retailers_2019_%,-0.018392253670799073,-0.08052765739439276,-0.13097942587342018,0.12282650472391238,0.030798665103156056,-0.13196416580197293,-0.06486493292923849,0.03010630619155448,1.0,0.2137870129608247
liquor_per1000,0.07739747407246225,-0.03950285801352153,0.0903415895345642,0.07753600608688382,0.07685038796786985,-0.04122004824789207,0.10063971173211564,-0.11662133124368558,0.2137870129608247,1.0
