\,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,age_lt18_%,young_females_%,median_age,lt5years_%,population_density,rural_population_%,print_media_circ_%
race_Wh_%,1.0,-0.5578094452600291,-0.24080169479583213,-0.6169482706422627,0.050815412430549024,-0.41609801886458236,-0.5650985945194089,-0.21339855340216868,0.5745174332628807,-0.47675013426692525,0.5535790649403102,0.4375243957789964,-0.027603120670415898
race_Afam_%,-0.5578094452600291,1.0,0.001075502507495625,0.2918220627476472,0.010301711234923608,0.29252709388015924,-0.017244592331493197,0.3262417194171334,-0.3586691968756538,0.1936564841242615,-0.4576362658518617,-0.29120235499407043,0.03642783669897376
race_Alaska_%,-0.24080169479583213,0.001075502507495625,1.0,-0.03581186628870008,0.13585788024016782,0.27447259469776136,0.19216991839496927,0.012679319435966223,-0.03600274789473056,-0.08750334330817872,0.017549012685927335,0.08928379078181335,-0.1568711578493014
race_Asian_%,-0.6169482706422627,0.2918220627476472,-0.03581186628870008,1.0,0.0100808674393163,0.11343756164144497,0.17894508371188836,0.14848055810172897,-0.3731235847352003,0.1953367428310281,-0.45289525751198384,-0.4116953836825445,0.06971538034598668
race_Hawaii_%,0.050815412430549024,0.010301711234923608,0.13585788024016782,0.0100808674393163,1.0,-0.02180752145883694,-0.24014795696838387,0.014509490711471083,0.04855979950706272,-0.16443074436627997,0.03142914749011893,0.09771095444296621,0.03362681112929802
race_Two_%,-0.41609801886458236,0.29252709388015924,0.27447259469776136,0.11343756164144497,-0.02180752145883694,1.0,0.09132352519500742,0.11265159652144237,-0.3103779609061718,0.23192692884948388,-0.40429901033264487,-0.06508727399272615,0.020371805938480928
age_lt18_%,-0.5650985945194089,-0.017244592331493197,0.19216991839496927,0.17894508371188836,-0.24014795696838387,0.09132352519500742,1.0,-0.035492202521451445,-0.41241932942726595,0.46913618102154925,-0.018987043152062344,-0.3127799513046822,0.03285256434671153
young_females_%,-0.21339855340216868,0.3262417194171334,0.012679319435966223,0.14848055810172897,0.014509490711471083,0.11265159652144237,-0.035492202521451445,1.0,-0.2795524455428224,0.021493908937932165,-0.28393487591091415,-0.0972254200942846,0.08239365151033388
median_age,0.5745174332628807,-0.3586691968756538,-0.03600274789473056,-0.3731235847352003,0.04855979950706272,-0.3103779609061718,-0.41241932942726595,-0.2795524455428224,1.0,-0.5493160181771384,0.46454830211603393,0.42565149522274914,-0.046615500624763384
lt5years_%,-0.47675013426692525,0.1936564841242615,-0.08750334330817872,0.1953367428310281,-0.16443074436627997,0.23192692884948388,0.46913618102154925,0.021493908937932165,-0.5493160181771384,1.0,-0.3362542896004607,-0.3940494046846714,0.11525098995561735
population_density,0.5535790649403102,-0.4576362658518617,0.017549012685927335,-0.45289525751198384,0.03142914749011893,-0.40429901033264487,-0.018987043152062344,-0.28393487591091415,0.46454830211603393,-0.3362542896004607,1.0,0.4332913357098181,-0.053797079903473766
rural_population_%,0.4375243957789964,-0.29120235499407043,0.08928379078181335,-0.4116953836825445,0.09771095444296621,-0.06508727399272615,-0.3127799513046822,-0.0972254200942846,0.42565149522274914,-0.3940494046846714,0.4332913357098181,1.0,-0.04590765718148003
print_media_circ_%,-0.027603120670415898,0.03642783669897376,-0.1568711578493014,0.06971538034598668,0.03362681112929802,0.020371805938480928,0.03285256434671153,0.08239365151033388,-0.046615500624763384,0.11525098995561735,-0.053797079903473766,-0.04590765718148003,1.0
