\,exp_perpupil_USD,preschool_%,students_disabilities_%,students_highneeds_%,student_teacher_ratio,libraries_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,dropout_%,college_%,avg_ela,avg_math,less_than_highschool_%,bachelors_degree_%,public_school_%,private_school_%,lep_%
exp_perpupil_USD,1.0,0.03582211958933838,-0.06741771996831449,-0.03858494333841856,0.33707799335009864,0.05677839920804702,-0.019683309262147047,-0.019416837127236526,-0.03751826705976966,-0.022462089292533516,0.10682766278316488,-0.12277668586384814,0.006117830210288207,0.04317979439554473,0.03340432644714996,-0.10333078915466629,0.29835311927089003,-0.2156253605735636,0.21074380958735595,0.021603089507798483
preschool_%,0.03582211958933838,1.0,-0.0800350802251713,-0.11021354716105429,0.024736088208230325,-0.07322109904711264,0.03640162521185948,-0.06531478011049391,-0.050513671658297385,-0.0326611991938429,0.0747057369341015,0.02656597972809679,0.17094503611786327,-0.03448668920425051,-0.007517195999026998,-0.03439396316789107,0.16996623199399824,0.019107282910239252,-0.04834466316305596,0.027374025329479773
students_disabilities_%,-0.06741771996831449,-0.0800350802251713,1.0,0.12206357505591861,0.13960959683349172,0.10831737077599796,-0.009891358373509879,0.05528831000754016,0.07870006895102809,-0.08244572161303003,-0.21100534048168781,-0.19573174456679188,-0.30177364946397406,-0.07736001641633436,-0.10723008978962383,0.18011966928415993,-0.21493414981486803,-0.037767449248528914,-0.026318858747861232,-0.04887804459897877
students_highneeds_%,-0.03858494333841856,-0.11021354716105429,0.12206357505591861,1.0,0.21409034412041408,0.10496954230624757,-0.07235494242283312,0.024008047003019003,-0.007614436207684233,-0.03274978350501087,-0.14276188207944718,-0.0521514200937021,-0.21263040824261684,-0.2606264158052253,-0.2792428477419074,0.25295001557995084,-0.24224586721423447,-0.025881986753803973,-0.10862805535026983,-0.1705007702533368
student_teacher_ratio,0.33707799335009864,0.024736088208230325,0.13960959683349172,0.21409034412041408,1.0,0.347167466574165,0.08978864969926519,-0.1612968996804469,-0.033341037018242,-0.1150532444849079,-0.004946267400709872,0.060618631109518296,-0.059156589113965305,0.0979430872399567,-0.057872337127421736,-0.054222498676695215,0.03274840679059828,-0.19508789827482395,-0.085906309390726,0.1540149060486104
libraries_%,0.05677839920804702,-0.07322109904711264,0.10831737077599796,0.10496954230624757,0.347167466574165,1.0,0.2171713474622252,-0.2426608381444095,-0.17553964027746505,0.08259392800550597,-0.03846065247653857,0.05465718953672934,-0.09252704660459612,0.03875176683500397,-0.029696590518917338,-0.07958837636726339,-0.1290207492084036,-0.19249749652931378,-0.18349502839212262,0.22654203424425945
exemplary_%,-0.019683309262147047,0.03640162521185948,-0.009891358373509879,-0.07235494242283312,0.08978864969926519,0.2171713474622252,1.0,-0.5042660112414216,-0.03502430990604217,0.4019067558360176,-0.020813919625447402,0.04843549551890391,-0.025333659584511115,0.21016257207247002,0.026108290168980586,-0.03420371855710846,-0.0234836462394184,-0.037110425760764315,-0.10434037133440659,0.08977114503766144
proficient_%,-0.019416837127236526,-0.06531478011049391,0.05528831000754016,0.024008047003019003,-0.1612968996804469,-0.2426608381444095,-0.5042660112414216,1.0,0.625477254152619,0.08677787652365615,-0.03462421664984966,-0.1820241875933306,0.01201844545517257,-0.07814733683085742,-0.014811668547648135,0.0023323526400241424,0.015881438135899435,0.022519631263420478,0.061326804685700384,-0.06616848996454784
need_improve_%,-0.03751826705976966,-0.050513671658297385,0.07870006895102809,-0.007614436207684233,-0.033341037018242,-0.17553964027746505,-0.03502430990604217,0.625477254152619,1.0,-0.359133945072504,-0.1062311753709549,-0.13593073685273033,-0.025804998616727078,0.130172586599653,0.04892836054350183,0.023540882491782388,-0.011053894029908936,-0.023775029071005756,-0.00909582570990155,-0.004566563350739289
unsatis_%,-0.022462089292533516,-0.0326611991938429,-0.08244572161303003,-0.03274978350501087,-0.1150532444849079,0.08259392800550597,0.4019067558360176,0.08677787652365615,-0.359133945072504,1.0,0.08218295922801933,-0.005404489618928612,0.02717637459336643,-0.029489843001888304,-0.04399785656736004,-0.05622278302306571,0.007727939867627829,0.00945423438440433,-0.01915193456128639,0.008272724701833392
read_write,0.10682766278316488,0.0747057369341015,-0.21100534048168781,-0.14276188207944718,-0.004946267400709872,-0.03846065247653857,-0.020813919625447402,-0.03462421664984966,-0.1062311753709549,0.08218295922801933,1.0,0.5263763273162118,0.4822282463136055,0.236756466000624,0.2716481745999453,-0.5163687290332346,0.5784303018421452,0.05092430021144056,0.19031228841917433,0.3240521276461695
dropout_%,-0.12277668586384814,0.02656597972809679,-0.19573174456679188,-0.0521514200937021,0.060618631109518296,0.05465718953672934,0.04843549551890391,-0.1820241875933306,-0.13593073685273033,-0.005404489618928612,0.5263763273162118,1.0,0.4747810179954746,0.15361697302492194,0.1661078717877494,-0.47351969821841616,0.3984655338665064,0.06631813841828219,0.08856603666313304,0.33546356819938455
college_%,0.006117830210288207,0.17094503611786327,-0.30177364946397406,-0.21263040824261684,-0.059156589113965305,-0.09252704660459612,-0.025333659584511115,0.01201844545517257,-0.025804998616727078,0.02717637459336643,0.4822282463136055,0.4747810179954746,1.0,0.20507578948130922,0.23760359128049977,-0.40206209510132324,0.48437260056632386,0.16859995565964517,0.19786985371584837,0.2278667494155523
avg_ela,0.04317979439554473,-0.03448668920425051,-0.07736001641633436,-0.2606264158052253,0.0979430872399567,0.03875176683500397,0.21016257207247002,-0.07814733683085742,0.130172586599653,-0.029489843001888304,0.236756466000624,0.15361697302492194,0.20507578948130922,1.0,0.7318147469427566,-0.19922219985785994,0.23349873620218597,-0.04699768213251148,0.08563755720895426,0.13569732209160315
avg_math,0.03340432644714996,-0.007517195999026998,-0.10723008978962383,-0.2792428477419074,-0.057872337127421736,-0.029696590518917338,0.026108290168980586,-0.014811668547648135,0.04892836054350183,-0.04399785656736004,0.2716481745999453,0.1661078717877494,0.23760359128049977,0.7318147469427566,1.0,-0.21524067326959914,0.24879510463917198,-0.05064101183415152,0.10721530854510933,0.12313021104033194
less_than_highschool_%,-0.10333078915466629,-0.03439396316789107,0.18011966928415993,0.25295001557995084,-0.054222498676695215,-0.07958837636726339,-0.03420371855710846,0.0023323526400241424,0.023540882491782388,-0.05622278302306571,-0.5163687290332346,-0.47351969821841616,-0.40206209510132324,-0.19922219985785994,-0.21524067326959914,1.0,-0.6085335243119325,0.03924456603565827,-0.1554010141291315,-0.6843047534129101
