\,unemployment_rate,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,emp_pop_ratio_hisp
unemployment_rate,1.0,0.2403168466235096,0.26397929674431253,0.17682041229688072,-0.34200578646757523,-0.17786608885930638,-0.31513334522570857,-0.12323387349727613,-0.32059240960430624,-0.12286329101176165,-0.26450044339305984,0.01938693669411568,0.08809176117345073,-0.16681541680942572,-0.40221609152818827,-0.2161432279834517,-0.24399233182913713,0.10214219258489612
emp_computer_%,0.2403168466235096,1.0,0.17680805329539673,0.050194970895158626,-0.34601484194245447,-0.21435330218154056,-0.29517111351673814,-0.40180178111318865,-0.24195046180202195,-0.11009034954011486,-0.3399224633028299,-0.2466128202706921,-0.4674008141162077,-0.30569066173016995,-0.38611331638272683,-0.43092959105333306,-0.3106929604322649,0.14081722718449943
emp_legal_%,0.26397929674431253,0.17680805329539673,1.0,0.03505256654299085,-0.2537744900525507,-0.15311002182348243,-0.16277111136899833,-0.1522736777888661,-0.037286187607769035,-0.1930274725988443,-0.32550872154758254,0.06983895013287779,-0.14938739206016236,-0.32069485707541506,-0.4137448530974184,-0.3664772323432615,-0.2106559184147713,-0.1208959323628512
emp_healthcare_%,0.17682041229688072,0.050194970895158626,0.03505256654299085,1.0,-0.0696920376974711,-0.03397333096041195,-0.2393590289757889,-0.25024875761061594,-0.2617923946920743,-0.045037736780983606,-0.042106587481461136,-0.026031533504891378,-0.033488337950552685,-0.05594858895186159,-0.11519199380354893,-0.04375887693508777,-0.21032208229174373,0.056176036744469464
emp_healthsupport_%,-0.34200578646757523,-0.34601484194245447,-0.2537744900525507,-0.0696920376974711,1.0,0.08460494982908259,0.25809501093223414,0.24796308936172723,0.19165475336505675,0.03092284960839489,0.20201306006067213,0.03918412979030493,0.15737927728193626,0.1358367855939181,0.46836162918971774,0.3489800979873657,0.2636216423846734,-0.025398040672678004
emp_protective_%,-0.17786608885930638,-0.21435330218154056,-0.15311002182348243,-0.03397333096041195,0.08460494982908259,1.0,0.23545604967518785,0.10441410924944053,0.12909275156218988,0.08889143670772254,0.14182814367948568,-0.1042642179395018,0.01696890779386174,0.13175473024288933,0.093725234531949,0.14743839843937975,-0.027335348424811737,-0.023878490489798378
emp_foodprepare_%,-0.31513334522570857,-0.29517111351673814,-0.16277111136899833,-0.2393590289757889,0.25809501093223414,0.23545604967518785,1.0,0.32899828677558457,0.27772902733647437,0.06094663541919044,0.28337733563836864,-0.0007320804960001239,0.07527058933797307,0.047667442493223765,0.23836998387359706,0.18445195862376282,0.20795951798390688,0.041613215029376927
emp_clean_%,-0.12323387349727613,-0.40180178111318865,-0.1522736777888661,-0.25024875761061594,0.24796308936172723,0.10441410924944053,0.32899828677558457,1.0,0.22267559092394687,-0.09256484376571653,0.08546932648065265,0.2847234998778111,0.39547119073731474,0.17196691066554556,0.2975117282589099,0.3342011266576535,0.23331457051830728,-0.06793192409495236
emp_personalcare_%,-0.32059240960430624,-0.24195046180202195,-0.037286187607769035,-0.2617923946920743,0.19165475336505675,0.12909275156218988,0.27772902733647437,0.22267559092394687,1.0,0.030705492090872956,0.21437521788422076,0.079505737056258,0.050543759103309466,0.11345642232629756,0.16211018884241168,0.17762387095020601,0.13056437190887804,-0.027580570242376992
emp_sales_%,-0.12286329101176165,-0.11009034954011486,-0.1930274725988443,-0.045037736780983606,0.03092284960839489,0.08889143670772254,0.06094663541919044,-0.09256484376571653,0.030705492090872956,1.0,0.11742097992787372,-0.046488710597582715,-0.16034246142246625,-0.06293080768604797,-0.10418974272177442,-0.08086549227406696,-0.015525075191770613,0.04521561226683388
emp_admin_%,-0.26450044339305984,-0.3399224633028299,-0.32550872154758254,-0.042106587481461136,0.20201306006067213,0.14182814367948568,0.28337733563836864,0.08546932648065265,0.21437521788422076,0.11742097992787372,1.0,-0.08283103726452119,0.1255304868589554,0.2395031709446969,0.2934934480694941,0.3217711999454972,0.2097005394927576,-0.035380116459123395
emp_farm_%,0.01938693669411568,-0.2466128202706921,0.06983895013287779,-0.026031533504891378,0.03918412979030493,-0.1042642179395018,-0.0007320804960001239,0.2847234998778111,0.079505737056258,-0.046488710597582715,-0.08283103726452119,1.0,0.2538515730747955,0.1334629345217367,0.15148319631772822,0.112331348881578,-0.022232516330383954,-0.18672382950418154
emp_construct_%,0.08809176117345073,-0.4674008141162077,-0.14938739206016236,-0.033488337950552685,0.15737927728193626,0.01696890779386174,0.07527058933797307,0.39547119073731474,0.050543759103309466,-0.16034246142246625,0.1255304868589554,0.2538515730747955,1.0,0.17714342678102024,0.18782917824809275,0.34463890983425405,0.23983414400313785,-0.14702831989052262
emp_repair_%,-0.16681541680942572,-0.30569066173016995,-0.32069485707541506,-0.05594858895186159,0.1358367855939181,0.13175473024288933,0.047667442493223765,0.17196691066554556,0.11345642232629756,-0.06293080768604797,0.2395031709446969,0.1334629345217367,0.17714342678102024,1.0,0.39411663867783087,0.256011166814528,0.17893706507533108,-0.12496922802364445
emp_production_%,-0.40221609152818827,-0.38611331638272683,-0.4137448530974184,-0.11519199380354893,0.46836162918971774,0.093725234531949,0.23836998387359706,0.2975117282589099,0.16211018884241168,-0.10418974272177442,0.2934934480694941,0.15148319631772822,0.18782917824809275,0.39411663867783087,1.0,0.34629550229513606,0.4560737047448497,-0.07583238779756969
