\,house_nokitchen_%,house_lt1939_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_nokitchen_%,1.0,-0.017202843919865995,-0.12140024273636214,-0.14949038893538139,-0.0847721218164853,0.18346485176728847,0.036749585322167905,0.03958380251472003,0.18474871576411825,0.20776259775322578,0.009387712862092543,0.04650499223987038,-0.3270312765141971,-0.09156315430353187,0.16834895437305794,-0.019214436079111937,0.07696810521605095,0.06667395569800796,0.07345611168575387,-0.1518555111356181,0.05076245313647723,-0.1208291578014157,-0.080436681118883,-0.009840341066963633,0.034130560324933286,-0.18557071226901722,-0.045949947989938525,-0.050144144577403675
house_lt1939_%,-0.017202843919865995,1.0,-0.4940329587102385,-0.1380281416248453,-0.06264752568430208,0.37034575697310984,-0.03663952578563656,-0.014431647416964975,-0.14823748087075309,-0.044378453661948945,0.012563975619974122,0.06749364052717242,0.1374400922693004,-0.11657505138597536,-0.03925754877767814,-0.04187065223752119,0.14134807306038938,0.018456447810089666,0.05473445454346701,0.1273145932235883,0.19875001462115277,-0.31318065459149413,-0.28077724134292914,-0.5947237422489225,-0.20144604282177445,0.28314988334621005,0.19725120754203224,-0.10404488825090823
house_2000to2014_%,-0.12140024273636214,-0.4940329587102385,1.0,0.12789703722654513,0.06579566636169866,-0.24513669244286085,0.11542309943693474,0.10727321438172088,0.0370212760627475,-0.009073611117813218,0.07772915927595683,-0.08772840996329655,-0.03344139079728583,0.1816466918894359,-0.0867314857509376,0.0158471505269725,-0.1627564956929204,-0.01763986452110286,-0.015147724055731355,-0.0740194594870725,-0.17176085031401622,0.28149554332916726,0.2306780620660084,0.39587545029055793,0.11592745235559132,-0.14606187804090584,-0.10130002447061924,0.06891177057163135
median_owner_home_USD,-0.14949038893538139,-0.1380281416248453,0.12789703722654513,1.0,0.774557228002983,-0.16685627078183485,-0.026899504675039626,0.1701744065143134,-0.03691132595561216,-0.11629005568130871,-0.12210838367795772,-0.08841015322705296,0.20129992041256703,0.15261676990382164,-0.13928133506281676,-0.20849965411156896,-0.15383218543062926,-0.06380144186405606,-0.036485237535763694,0.2625257732919465,-0.0026927856085821973,-0.018202232798732593,-0.011474193785129299,0.11832559526211797,0.24815862423111162,-0.19984069415951777,-0.016646176507874644,0.14877530857760163
median_sale_homes_USD,-0.0847721218164853,-0.06264752568430208,0.06579566636169866,0.774557228002983,1.0,-0.12435864601335381,-0.002222947365983207,0.13709716540585273,-0.03469985695253189,-0.13274280841568464,-0.07482430956370421,-0.06144804550600083,0.1740694075014254,0.14545818132979593,-0.08076766493111937,-0.21495685578963988,-0.15977475078427436,-0.03257032245157492,-0.016224290323269375,0.19058303355296824,0.029985211737513267,-0.0816835268121012,-0.030056202232497966,0.03418007910976368,0.14751650630576624,-0.1699712346317583,-0.01188303533446602,0.12056195481180329
house_income_gt30_USD_%,0.18346485176728847,0.37034575697310984,-0.24513669244286085,-0.16685627078183485,-0.12435864601335381,1.0,0.09797121755573139,0.04406372342285115,0.4545327318149894,0.23477568822242043,0.1764802295400194,-0.2934051486936304,-0.5521876435505828,0.15344223623327238,-0.046684217001925425,7.866411936161681e-05,-0.03280050347321467,-0.0823472999063356,-0.017357346092095962,-0.10490718537036894,0.15405572064087142,-0.37974249954994727,-0.2646524325171327,-0.5286796986371427,-0.2718029905066504,0.17173421457985485,0.23907758224656736,-0.09379109851464891
gross_rent_%,0.036749585322167905,-0.03663952578563656,0.11542309943693474,-0.026899504675039626,-0.002222947365983207,0.09797121755573139,1.0,0.03326366798845747,0.256808853585694,0.0992400162714675,0.033055121499676134,-0.1686993049904619,-0.25858048737454725,0.04823016559214185,0.026246271595301237,0.008945513496190938,-0.03590692038061181,0.005409713722559988,0.09065585449061954,-0.13609544092215473,-0.037722941440746505,0.15517036077317437,0.0366772704012005,0.11044849290581413,-0.06280413393580056,-0.05270440175642343,-0.10703703504897574,-0.041760395582945586
property_val_USD,0.03958380251472003,-0.014431647416964975,0.10727321438172088,0.1701744065143134,0.13709716540585273,0.04406372342285115,0.03326366798845747,1.0,-0.013875291145350011,0.023001113592306135,0.023874462076748686,-0.03794104806664475,0.003464559412722388,-0.00912848923830282,-0.03327944720848102,0.014438866288766266,-0.024335463036364392,-0.0832088346005687,0.059223937357721634,0.07433465771485419,0.030224548227566185,-0.04601236725853969,-0.07924943071187947,-0.06642483434834989,-0.013815701388031598,-3.971471355015413e-05,0.0451967174548823,0.03941837725363867
costas%income_wmgage_lt20%_%,0.18474871576411825,-0.14823748087075309,0.0370212760627475,-0.03691132595561216,-0.03469985695253189,0.4545327318149894,0.256808853585694,-0.013875291145350011,1.0,-0.07304340526167048,-0.23983868218125903,-0.32096465017732967,-0.6882407959807718,0.24985587596416955,0.10444809966938563,-0.09055033361318014,-0.06680234031764819,-0.14167396154802364,-0.08145320675470064,-0.24132979080422695,-0.07909428708359782,-0.01948316000201306,0.0655158267226171,0.20215611156096422,0.1288948132520706,-0.17170348968273383,-0.09194639219347225,0.013885073204107796
costas%income_wmgage_20to25%_%,0.20776259775322578,-0.044378453661948945,-0.009073611117813218,-0.11629005568130871,-0.13274280841568464,0.23477568822242043,0.0992400162714675,0.023001113592306135,-0.07304340526167048,1.0,-0.12932236847847373,-0.0003934012738629244,-0.4525139469180758,-0.011143224656694034,-0.008523532947328681,0.03895238142341418,-0.037862148653515455,0.13851071624321937,0.011313247011305132,-0.07816471193996043,0.009854394714073766,0.05545270730697835,-0.07181043468462776,0.04452987621874758,-0.13306348669850207,-0.11260081718539663,-0.07472861327138973,-0.01642674880455247
