\,cancer_admissions_AA,Diabetes_admissions_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,gonorrhea_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
cancer_admissions_AA,1.0,0.2025544810303113,0.6007569938033743,-0.5733509887667357,-0.07659329642617839,0.028645603845341434,-0.2736640495934123,-0.16500700097984794,-0.27776488478454525,-0.08476168327450259,0.06950633342489444,0.11780851134830243,0.4896859674215888,0.23403549236696158,0.03680101365457081,-0.2508327210060529,-0.3276750265372976,-0.21174490801877005,-0.06126618451424336,0.20373654274990866,0.17260607859277693,-0.13800072894252305,-0.6643319571747874,0.06256893363060903,-0.3405777178906317,-0.36561721985498025,-0.1839862107090498,-0.24658461598707415,-0.2636573355509604
Diabetes_admissions_AA,0.2025544810303113,1.0,0.47117429187858706,-0.00342934779522167,0.0351078130200822,0.025054706131648573,0.10379248514785583,-0.23660705492800535,-0.03347702845213687,0.031132095787988284,0.002286958468601426,-0.05708904240939428,0.04901915193163113,0.03730338307578364,-0.010451125350993849,-0.10747536024849207,-0.08396619829970063,-0.06650165185371464,-0.0014664950660991125,0.10945176732570669,0.04786620125960568,-0.04577719871135566,0.061046975739274395,0.12129915786543127,0.12903639953393573,0.015927779508711642,-0.0005182300862945269,0.10435300447910516,0.01430943965287561
Stroke_admissions_AA,0.6007569938033743,0.47117429187858706,1.0,-0.22080184723067697,-0.034682271158543686,-0.025782758521039242,-0.05428283881505664,-0.40842432426984104,-0.25846700581153237,-0.021924822751567652,-0.029926106166542336,0.3523464469975045,0.2318491610008857,0.1342230310584568,0.06748831271090497,-0.17478694617719348,-0.26330426075555247,-0.09555178082179958,-0.05874652460222564,0.05715204933218832,0.07224983581177116,-0.12530286447003572,0.05347767521106413,-0.21354209354236633,-0.028051766497808033,-0.1983610482087125,-0.08555658070529247,-0.03106870493378785,-0.133600508842681
fruit_consump_%,-0.5733509887667357,-0.00342934779522167,-0.22080184723067697,1.0,0.20929967504500174,0.20359979236255635,0.23446674292951272,0.13026812007950211,0.2944053996719871,0.15366931559264166,-0.00572451127047847,0.03615735083941726,-0.40623183816893105,-0.2772481882546144,0.0341281077566536,0.3382334361722702,0.386196888023313,0.25854641906880976,0.19125740759508403,-0.1780560074991029,0.04767134255475951,0.11533572990717282,0.5715592349983725,0.08669309257683365,0.23030851706779862,0.32302944579297493,0.22290310983384015,0.48317484918954995,0.3330541428155396
obsese_adults_%,-0.07659329642617839,0.0351078130200822,-0.034682271158543686,0.20929967504500174,1.0,0.16143011317730113,0.462338934452112,0.11599515597453286,-0.34530305374079023,-0.5605565441717325,-0.12217431466795547,-0.02786395385389755,-0.16370292378188941,0.17032329871449356,-0.003087141994972362,0.22817906305567,0.17330136849274178,0.09802704596797948,0.16978756295644185,-0.0840024556346645,0.2541254970538661,0.05347640203888448,0.14383217596513906,0.12786401523415228,0.06487072942290659,0.13554411293783458,0.13597470845350146,0.35109821798228946,0.08939151785347105
overweight_adults_%,0.028645603845341434,0.025054706131648573,-0.025782758521039242,0.20359979236255635,0.16143011317730113,1.0,0.042731542830010294,0.0437170165947502,0.4741524644724229,0.45428692270899096,-0.048620980057738725,-0.05687632706416356,-0.13152955609385203,-0.22225052296443293,0.05317140202893704,0.262376493191387,0.3278250841469256,0.08486829483295712,0.21475546317655733,-0.09268192749496675,0.19391267640360293,-0.14139675592799175,-0.006496404143303646,0.16026919816672627,-0.09659567162742644,-0.0401131159452746,-0.0468193561317397,0.2784023484604067,0.06488162193279351
diabetic_adults_%,-0.2736640495934123,0.10379248514785583,-0.05428283881505664,0.23446674292951272,0.462338934452112,0.042731542830010294,1.0,-0.3429571021671385,-0.22045107131921413,-0.3348240893908104,0.060340754624307186,0.13003598072077638,-0.16576104305037467,0.06340219912378857,0.007321171359385517,0.3309422459967509,0.2754245524385917,0.1466982917837533,0.24214105793847743,-0.04484704144131351,0.1599079176357826,0.0035386091938560188,0.32771953659637243,0.14059182989207944,0.2591398655980319,0.15432724802157824,0.16533732469983217,0.2570423234441556,0.24773747718576122
heartrate_adult_%,-0.16500700097984794,-0.23660705492800535,-0.40842432426984104,0.13026812007950211,0.11599515597453286,0.0437170165947502,-0.3429571021671385,1.0,0.1956068745802755,0.05997308787076099,-0.2417255563454951,-0.254639614179012,-0.15865907091935777,-0.11861165295870202,0.018340591047861805,-0.09032899703343546,-0.011089750705310477,-0.059346816093678124,-0.08132750252816155,0.09315750622136934,0.10211865076142701,0.05789195124285448,-0.12282834441829649,0.06415769991273271,-0.26895272280721083,-0.20059765394444937,-0.08836631726959551,-0.0013554749069036784,-0.10131562171611046
poor_mental_health_%,-0.27776488478454525,-0.03347702845213687,-0.25846700581153237,0.2944053996719871,-0.34530305374079023,0.4741524644724229,-0.22045107131921413,0.1956068745802755,1.0,0.7908685698838981,-0.015934237729777898,-0.07306123397415137,-0.18223350754386258,-0.46948749602838463,-0.030894600100609675,0.14709116151228738,0.23599647732315893,0.1272074260794226,0.24102173047258732,-0.05676640270823026,0.2080590966184565,0.035893161412507174,0.11196670944126123,0.18574343858884657,-0.006564288528945281,-0.012414171661655943,0.046007064051519615,0.1633300348662272,0.10706857181419073
smoking_rate_%,-0.08476168327450259,0.031132095787988284,-0.021924822751567652,0.15366931559264166,-0.5605565441717325,0.45428692270899096,-0.3348240893908104,0.05997308787076099,0.7908685698838981,1.0,-0.009057028802801919,-0.046975627688370054,-0.0452711280514403,-0.4149786823992627,0.025187053807502226,0.11987648582995918,0.18378048627191165,0.05653892500683802,0.17809585903701106,-0.02177302564407025,0.12803007813357548,-0.08896220864435443,0.06411902030361118,0.12186532491139468,-0.11667880582865799,-0.11737366814534209,-0.015025870606766328,0.1279586459221927,0.021140342878298923
