\,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,race_Hisp_%,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_noplumbing_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,poverty_child_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,income_capita_USD,households_recfoodstamps_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,supermarket_per1000,food_est_per1000,dentists_per1000,young_females_%,physician_assisted_%,pa_provider_density_per10000,median_age,lt5years_%,renter_occupied_%,english_verywell_%,snap_%,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,students_econodisadv_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,vacant_rentals_%,employed_male_%,employed_female_%
no_vehicle_avail_%,1.0000000000261755,0.530913022505758,0.21608528010617656,0.16531867396532599,0.34813319349684124,0.0058888294398599834,0.044311577910861204,0.18367323436796662,-0.40824714428706077,0.41336294440323434,0.014440825377597175,0.28833024158337545,0.1370718101185071,0.4726801891809814,0.4604703619753338,0.5581749101918783,-0.015692391138577476,-0.058923991103538825,-0.10326279769508612,0.014224617723671196,0.05202214747222404,-0.1918557774844253,0.14241447699235957,-0.08223489922650278,0.2387770502356068,0.21417189644878898,0.084656791598702,-0.16785037180412057,0.057696311862851804,-0.0889593354162254,0.04615517460871298,-0.17928297529423776,0.05108144313139451,0.08879469781187481,0.19451199242391987,-0.42502204271002614,0.3781766320941462,0.39703880086325594,0.4476218133467207,0.06932101810705768,-0.691550007241521,0.41722947369706115,-0.03198351485909062,0.006567676191255976,-0.16287996192829848,0.4941982178006534,-0.465689804254911,-0.2312115997051453,0.425162883757081,-0.31477614407022236,-0.269525237066417,-0.11400219354795879,0.10863805874676973,-0.6195735203807023,0.22890104841014955,0.5992959871526105,0.5385240601747571,0.5031593660966307,0.2631433469408153,-0.11913571652093054,-0.14162239091601816,0.4771452268990405,0.34686804792926634,0.6622511882024613,-0.0595337490311649,0.002131118229242373,0.2425604366376351,0.047782988734559634,-0.31585261800023456,-0.2639810682117835,0.39074072366155266,-0.3119565775641762,0.05173626856606796,0.048654112250985,0.09232541020032414,-0.10635701826834244,-0.33519614822470356,-0.12846643783342038,0.2671104162623536,-0.11522552794777918,-0.09551816702332297,-0.11087484912270747,0.0835282745268705,0.3967911094139901,0.1687535064693336,0.22620582284859292,-0.3719470004716295,0.20245941022781266,0.6753241098087309,0.6378346419298713,0.46807483522601356,0.32163541198758805,0.19823833955065737,0.1780125865375232,0.09805610810814173,0.21840394502742763,0.2699943632106451,0.2820622376077501,0.7576191116545727,-0.1766872591513214,-0.214477959178744,-0.0990861788100642,0.027562735459062213,0.09904053085465124,0.21513934254149655,-0.029191588845631725,-0.13979952844409274,0.023483412216060384,0.0918994968046929,0.0021813150064109873,-0.037344281595174555,0.13076594273549497,-0.2553031144895089,-0.2365966695829573,0.1391969898817011,0.4548060108840728,0.37832427503240557,-0.004842642567834079,0.44350366039293654,-0.17325034369927014,0.33370490033566746,0.2567637595959585,0.01984877668693268,-0.10926427459344916,-0.011468075772410453,0.44940245655059813,0.042559116863245226,-0.16898235043780135,-0.06705939864264467,0.3874556081626768,0.0617393206266303,-0.0617393206266303
below_poverty_level_%,0.530913022505758,0.9999999999930427,0.07709945876297904,0.24325151859467692,0.28664560938974537,-0.2422042235617449,-0.15268654860243275,0.5025056894149816,-0.32531134192941136,0.3888552878743913,0.20906857848834062,0.059471508054208685,0.15564419547337965,0.5341277314046267,0.4028007840119761,0.5680180224171476,-0.23492679749813156,-0.3309296447740054,-0.47850340886089143,-0.2873418002476021,-0.04182054917145668,-0.35279766836834914,0.4134813287860517,0.05234367380993717,0.42048019546106874,0.38364757339513483,0.3563336269511569,-0.13402153020221438,0.22775477425272936,0.0864441065574207,0.13236777854218287,0.0103860865821426,0.40119613547330557,0.22311892167405384,0.30326392283157094,-0.46657235076472714,0.42353567404343445,0.407076476792396,0.37372089123196806,0.13909641070667328,-0.7321334331408298,0.44953667211383164,0.14223159038923178,0.20849868199772398,-0.18060247092536727,0.46513387146704144,-0.3937660080371171,-0.3078456071968258,0.8597823822761868,-0.2842182618640821,-0.6166213269234897,-0.22932278688718197,0.2404569546632406,-0.1875138290343709,0.37715379412828803,0.11858459725241462,0.3611036739571055,0.1386872387084511,0.25039974470205867,-0.18762823591187291,-0.534579344844398,0.7680688712372918,0.33833301340043975,0.5446484560168877,-0.04128697036444999,-0.04816951030371665,0.3501239225984968,0.20966274454348569,-0.4872999435889011,-0.44160219941740714,0.5732388028929066,-0.5780794173091897,-0.010453324281073479,0.18438551747136386,0.13499566411685968,-0.0951977365530044,-0.474630028931566,0.06308781427123666,-0.019873260809419674,-0.05297646132361664,-0.03234249595888819,-0.03377661596923742,0.010118395245776846,0.21801884560847998,0.19637420117929197,0.23880191494045266,-0.30974166625176086,0.14214729082378585,0.6819256380720727,0.5175139014648488,0.7365000462917747,0.18155670609613467,0.08501165383991574,0.025933850285907917,-0.10225625038153771,0.1704219937299133,0.2828885239724202,0.2007326718204087,0.3544417870411068,-0.015669715973565385,-0.27053601273129696,-0.1331421060539393,0.02737419316872788,0.0684495772561574,0.3020883125168604,-0.12080751343524627,-0.06420380586963287,0.02044955281613477,0.0340992592772065,0.03544912602586655,0.0877352980492976,0.1465238729127263,-0.5336553892314113,-0.5468484849294372,0.2769865457364995,0.7143491570125212,0.7191629103369634,-0.056865551827544526,0.15652224440410034,-0.06378137903750783,0.6273193414637849,0.5319306821221521,0.19487639993191336,-0.3667121262226828,-0.17318341849704544,0.680358552257897,0.3519689338260486,0.14486461453648922,-0.420529300189406,0.22219719333970245,0.04837869252402711,-0.04837869252402711
exp_perpupil_USD,0.21608528010617656,0.07709945876297904,1.1022906503783063,-0.12218190356536869,0.020951720492332862,0.49770267792308104,0.3727663999128468,-0.18387411170513282,0.03291299037491498,0.016232369175260206,0.1874263839488095,0.11051950573414424,0.15595974530472467,-0.07867636310963469,0.07956516047110346,-0.08308333349492461,-0.2744866456018084,-0.2270334687969295,0.2789257469290244,0.07405942571106221,0.33510061097533905,-0.06985853229290133,-0.201935996028946,-0.09664231666140817,-0.06412055523351795,0.13526161840654025,-0.03462761476588882,-0.0894238528243464,-0.2696119361064696,0.22381458499132045,0.1864569570290056,-0.24987868082135695,-0.2825494482070375,-0.108180136759603,-0.1926951449807348,0.2127505719847451,-0.21991668339439074,-0.08321025048315796,0.0672584667062098,-0.13710456973689833,-0.018423892262083408,0.04404167000475765,0.3288486737540799,0.4301227338160931,-0.27463600351863665,-0.0292489991935616,-0.027203222449357724,0.14707171049508552,0.01655521669801647,0.21729881369887777,0.10202599493622172,0.029640379436545468,0.21830950774087113,-0.49242486356120685,-0.07269217072726468,0.175941158554683,0.3669538431317832,0.46165156712276956,0.06470038342727717,0.47801458530791213,0.3164174984585854,-0.15824780029880872,0.39030340401174773,-0.055594125853183365,0.22976255292924605,-0.22535451423402833,-0.0772214499449724,0.2788355174738497,0.06798812542848537,0.09603282763382028,0.01171061350806555,-0.03646587891263735,0.16835035543908006,0.08887425749473796,-0.12754704370572573,-0.03048873233572733,-0.07815695804024544,-0.28909914703169626,0.11857936222902016,0.15743432658071363,0.17557469930233857,0.15355016085321102,-0.0009716486826818535,0.05935714328793208,0.08249551142699307,0.0710742318743729,0.3006443050143769,-0.32289909832458347,-0.014062995445834017,-0.05956304822336503,-0.1922821342134837,0.2080930742416302,0.07544615819773785,0.16033079385164412,0.20347499549639775,-0.006282619862863927,0.0037650511017127933,0.11413348222611404,0.04678551303630235,0.21442925625204634,-0.2725554262892341,-0.27930879694527405,-0.07701953877714343,0.03613812413434425,0.4549356194856809,0.21825468727769942,-0.18991746549967775,-0.19676105556005466,-0.05511623016668519,-0.08862828374724933,-0.062989953303566,0.16939054665526806,0.21371257519378295,0.1220568820535964,0.19601467759363053,0.17651609194838422,0.11959318516432957,-0.8247926988416819,0.20491013008882097,0.5018579448205981,-0.04959608848173902,0.013673267689954268,0.051604602700457136,-0.2219465327047825,-0.19431216008521224,-0.16677987108095135,-0.24436940444797114,-0.31716376962387377,0.30308848601601845,-0.07610763863936877,-0.008365544671783751,0.008365544671783751
debt_pervaluation_%,0.16531867396532599,0.24325151859467692,-0.12218190356536869,0.9984430845146195,0.10492231567390284,-0.04510860713384485,-0.023202685092852338,0.20094739370472933,-0.26933517212479874,0.18424765740482169,-0.00889412852218326,0.13732505975262055,-0.055062855824759324,0.3476447739037886,0.007830836176379558,0.37102764258331894,0.00399880255959859,-0.03879246301045003,-0.072338471992029,-0.004828940030753144,-0.1203384012276671,0.003037082100103424,0.09649850942847309,0.05872959514774886,0.16519869752756275,-0.036046337357516445,0.023771671726674576,-0.020764532451589393,0.09605386796629083,-0.12034889716892073,-0.15964563798150047,-0.07629074978058843,0.058991444330206665,-0.03275937863950895,0.10547248498134841,-0.18454912572463603,0.1736264782269205,0.13020365769951384,0.10291397375738716,0.07900063555769896,-0.2719845875686756,0.13485268528759317,-0.09094383034293699,-0.064453182440229,0.13127228940253016,0.1664250720770384,-0.12991205123218932,-0.1427400216488865,0.22359505491689768,-0.16017056859080067,-0.05196205626739368,0.019340457761748,0.02109353704811244,-0.0035896344527705437,0.14319869259456203,0.04264039768471442,0.05683566958240785,0.001607889133500263,0.12087308818386025,-0.15212177587452577,-0.06515142883312694,0.30274058589948644,0.09245564360010483,0.32936163297539484,-0.09231578949554359,0.061972928126801476,0.15020360331371121,-0.07463156915833043,-0.16068469745221997,-0.09946863062770098,0.12944525169407806,-0.10913693607762251,0.06959938090302424,0.13851440474380305,0.16416990707273252,0.03825703739551262,-0.06400457287373677,0.10590780551333495,0.05735082642301841,-0.09108664713210606,-0.06294390695911077,-0.0629675261877776,0.05919222628053678,0.007760009910887085,0.16473711687723588,0.2246439554874514,-0.20479779783385055,0.2039978426565617,0.311841078471998,0.30702005967938995,0.3236374114697256,0.19796805873870588,0.16219305470380532,0.026009838720153045,0.008194567744444055,0.28741970026018315,0.2712749392161856,0.2195803248934165,0.19446015402710412,-0.29413483665320056,-0.06956069122375601,0.07670336475866758,0.0196714056492684,0.018679561631374488,0.006103347083670343,-0.1045690887417283,0.021637532682304037,-0.011562093159170887,0.028064132656769946,-0.040312134860408244,0.0426465678357667,0.13261246525269632,-0.14997798662563705,-0.0845930472300039,0.037244469029817276,0.15240779538634724,0.1404237597221705,0.2203503312897455,0.06812079670913547,-0.3304240046904648,0.32477454692642577,0.2884753043089214,0.07540406078274005,-0.05377582370327002,0.05479079581654198,0.23491168193922843,-0.026433001766641553,-0.023503638352960852,-0.03426303764831473,0.09237864610664295,-0.04407548474805038,0.04407548474805038
homeless_Shelters_per_1000,0.34813319349684124,0.28664560938974537,0.020951720492332862,0.10492231567390284,0.9999999998583953,-0.0026927856271000547,0.019318174206767597,0.20493716917854207,-0.22198334477064663,0.3529953515586054,0.012763417759617968,0.11872229611046253,-0.011180493492472991,0.2774307929541544,0.13032835169728793,0.2559640547198304,-0.06040872577167723,-0.10214592374950664,-0.023343352847463004,0.011863272488889852,0.0035306530462828585,-0.09516468289221389,0.14002219435208463,0.012176798606149813,0.15514471910654126,0.054553613231796944,0.09764012496759246,0.03393929969644382,0.05098508875866628,-0.08171256582036969,-0.07453480169854551,-0.0905721862622172,0.00992351595748078,-0.002291000433997736,0.0896300331416777,-0.17149397464461605,0.15960218446571994,0.1154905579521827,0.136399383169048,0.06891952443032837,-0.3353800767301083,0.2508279709004036,-0.0646369998623156,-0.05076245313694767,-0.0035812376830747033,0.19875001461976352,-0.15390317280908924,-0.1717608503208237,0.2732526369751976,-0.15405572064105627,-0.09678089378679942,-0.04690629412170909,0.033198304234532496,-0.1968051236780554,0.08184139928184343,0.20248348741678618,0.1721064438525068,0.1351750577491889,0.1261126677770292,-0.06058722568389462,-0.10087303338918835,0.2492208257975156,0.15795696077829086,0.2988656905710991,-0.014726658062764252,-0.014550712754485445,0.12928040198710916,-0.0011011194783473002,-0.11518729769410659,-0.1069973055859932,0.21655730824488784,-0.1356558241502592,0.030224548227231075,-0.01653009785610279,0.13358036032450238,-0.08203875185019605,-0.14518364291878824,0.03338706804423943,0.12336230395336098,-0.09160520897029063,-0.06693069619860365,-0.06669397726476647,0.08278242667296208,0.3322410997615709,0.17020191453756484,0.21147005789613543,-0.2119413397192426,0.1197478789818367,0.32227774577672774,0.29634957510214377,0.2581224468707764,0.2804997145995668,0.265424300517334,0.05183644827388754,0.060222455321646495,0.2327586410818105,0.30886691394164023,0.29105447999903805,0.3000579969114841,-0.1605308820202256,-0.07909428710336817,0.009854394707000204,0.023254475729854833,-0.03674028457970079,0.07452151796624461,-0.1175023196011318,-0.013172232331434284,-0.03278279068328568,0.03362898302159406,0.06441439457038722,0.19899600105132623,0.06110066661539211,-0.14649125846704475,-0.1368373907969479,0.028687329229381952,0.20609812057603286,0.18208943426660937,0.12278293365971885,0.32218329052039235,-0.19889969333617513,0.18231156124977546,0.10967801448092418,0.04586171926229818,-0.0744299676287439,-0.04431896190172654,0.2143845167328003,0.014288542219154966,-0.07251099345193855,-0.03192954146837811,0.19829796010188697,0.06422160048459721,-0.06422160048459721
median_owner_home_USD,0.0058888294398599834,-0.2422042235617449,0.49770267792308104,-0.04510860713384485,-0.0026927856271000547,0.9999999999850351,0.7363557687503641,-0.3290756910703769,-0.26445315126201213,-0.040981756018767884,0.3106152874558239,0.3299243925090919,0.0006993859851416469,-0.12251898058938464,0.083296884719224,-0.11279686957584724,-0.04540078482809744,0.0162212629117532,0.6223599286936585,0.3491669663548937,0.2552516936906325,0.014428761286174601,-0.44426401482696115,-0.20506924337743251,-0.2733761409469585,-0.255214418364679,-0.26348477202811144,0.011180676570210492,-0.42599714298350244,0.047327892016389775,-0.2264793706408045,-0.44592235461336366,-0.5401108494311406,-0.43144431920398735,-0.3407400021299141,0.24815862424355986,-0.23561862741182754,-0.1998406941550296,-0.016646176496724136,-0.1487753085832991,0.11832559526032367,0.018202232785306322,-0.05183200484008389,0.14949038892838176,0.32285050696107587,-0.1380281416254042,0.09379925247411393,0.12789703721896414,-0.25278130704668134,0.16685627079058607,0.6934746748358603,0.15719156720871008,0.03674031234427076,-0.46926792449213084,-0.2473441142837853,0.3703539222725295,0.16931871553717043,0.2225041488439961,-0.03205204722565804,0.40351776827237196,0.7696050755222965,-0.43570009740145826,0.44018849410047095,-0.07267899572955015,-0.004655950733626061,0.0379523690726723,-0.16840547246575818,0.08421393780649093,0.4476722725993305,0.48316347952326477,-0.26965895388643574,0.4295892628761567,0.17017440648671123,-0.16567514634520722,-0.0926018310263326,0.16350893308243367,0.25301868395268545,0.07168795143690927,0.3690587438519646,-0.0605799292705976,0.019156277391372965,0.020652582763383314,0.19152771245874833,0.00433131417234724,-0.02303460186700273,0.0064991780731203565,0.023846539971862854,-0.015199948496391126,-0.09210823538728416,-0.04229143939727633,-0.4633168657773069,0.2764209269821789,0.18935015632350835,0.2241721386221745,0.3909317350925321,0.07942837585965894,0.05882407797410173,0.1919326431521389,0.08160039856899638,-0.17278639370787507,-0.03691132596467965,-0.11629005569896095,-0.1221083836725945,-0.08841015322619608,0.2012999204163769,0.1526167698915506,-0.1392813350532966,-0.2084996540933967,-0.15383218542216523,-0.06380144185584809,-0.03648523754129115,0.26252577329567484,0.5126769181912554,0.5433589868255889,-0.16545978320390636,-0.29380930658049154,-0.3871660047663018,-0.11903303828894382,0.2939502662835165,-0.005396955304872506,-0.3188715810493843,-0.24514489944049403,-0.17801198370796703,0.02161724975281841,-0.043387275867203826,-0.36466465840655854,-0.6880728025441873,-0.6499195165759075,0.7298648089956212,0.011711775924620966,-0.10075741398852898,0.10075741398852898
median_sale_homes_USD,0.044311577910861204,-0.15268654860243275,0.3727663999128468,-0.023202685092852338,0.019318174206767597,0.7363557687503641,0.9533668869416454,-0.17875351114480184,-0.2133316499914555,-0.019141181425155,0.23775437475423705,0.25836368422282135,-0.04747232108205092,-0.08364252332855512,0.0731976770153784,-0.06416024136531871,-0.02829617102094202,0.010645872795614625,0.41848869828947655,0.25099015368289723,0.2075545914562182,0.02039281075669709,-0.2994203609298465,-0.12605409895483968,-0.13616241140275523,-0.20631242467367908,-0.20365813117834217,0.0561159974191565,-0.30911068641619716,0.013840424861819633,-0.2361164330299751,-0.28681617279550975,-0.4009480765529351,-0.325842308278176,-0.27520096442733094,0.10343985155044158,-0.08607094244399845,-0.1506468822512787,0.010313802936402014,-0.11758577796300963,0.015105083755737067,0.08866366163295879,-0.07646372394774285,0.09326624118873478,0.24971175855005434,-0.043657096892441495,0.018820670845528135,0.05325187220273407,-0.1644824393963552,0.09720805761608996,0.5071422655274342,0.13175896445423896,-0.033250586340829884,-0.38709540285379146,-0.162302736639107,0.3144527634677828,0.17150003817029244,0.19732908960774678,-0.013032548257181403,0.2770356775199161,0.5451647437787688,-0.3440723198078002,0.31770035361033283,-0.03101294916242458,-0.01565647472410929,0.032513461718162315,-0.1122475793911981,0.14975591825805853,0.34573820537233707,0.3442582852085726,-0.16048375547975655,0.3057719285353669,0.13475628033691445,-0.2007381619919303,-0.09725947474878903,0.13770685530916957,0.21123756289195253,0.06909117737255847,0.34812266259197966,-0.07013202995800302,-0.008097141983938365,-0.000598775935101296,0.10690475116971823,0.017837626404521988,-0.005056343864568415,0.019589855659714907,-0.04015344242467864,0.027668897525070346,-0.02233313444048394,-0.01882732722549997,-0.34084247743613866,0.2300379901324639,0.13212662845972212,0.11862371794307379,0.23482995559039596,0.06510716660076274,0.0698046020973399,0.16278655418771937,0.12782779206646472,-0.1722530878614134,-0.009936470843293464,-0.12241411122789081,-0.08916392603896062,-0.04278483459055287,0.14311346641796135,0.11218221379443512,-0.04829587243878625,-0.2086651699606337,-0.15343329087467547,-0.02360929200175931,-0.010392628234448016,0.1883394584965868,0.3673020113341172,0.3921606130463301,-0.1023305535979563,-0.22527775680571047,-0.30017344011407887,-0.06377582341178745,0.26098033168525,-0.07875770930066615,-0.1929746120918525,-0.1542212523733199,-0.13241431776718676,0.034676772201463764,-0.009736997563261057,-0.27309209673210755,-0.5099584368000988,-0.4765087850322166,0.5395574288620362,0.029398373419944397,-0.16989749005208588,0.16989749005208588
unemployment_rate,0.18367323436796662,0.5025056894149816,-0.18387411170513282,0.20094739370472933,0.20493716917854207,-0.3290756910703769,-0.17875351114480184,1.0000000000551739,-0.19476149213516025,0.24784881974611422,0.05873133307661092,-0.026874786249723774,-0.155511666496244,0.3029178924644493,0.11962448324692823,0.30454029001810473,-0.08279319593019131,-0.29411964632720755,-0.44827711020983746,-0.2403168466115382,-0.263979296755907,-0.17682041229327347,0.34200578647692714,0.17786608884906843,0.31513334524288367,0.12323387348927403,0.3205924096156227,0.12286329100824761,0.2645004434028025,-0.01938693670584559,-0.08809176116804508,0.16681541679418344,0.4022160915463705,0.21614322797922308,0.24399233184235114,-0.3458481468640822,0.32718715556364797,0.23599875978524223,0.1956940198174105,0.13480195028565334,-0.3968388423877335,0.237918066137601,-0.11714675239814028,-0.09720264727473768,0.019282054439688036,0.20096605993766678,-0.1443672887848012,-0.19090299713678055,0.46208309813630066,-0.2080426618680603,-0.40556260548418727,-0.1580590042772948,0.13509098198375905,0.09272378730273041,0.2749549850923178,-0.04814565602741196,0.11106656860090108,-0.008085547363552876,0.13212059069929344,-0.3177169933706401,-0.46648355627245874,0.5418642823686562,0.007373942994466327,0.2978099064061004,-0.04797666025220384,0.006370462886349638,0.18314067557853284,0.014499164475271128,-0.2979612921197035,-0.3060005110636727,0.388901503843911,-0.39151089833679636,-0.017575717136947333,0.1817384690461191,0.1340246908790576,-0.040828642160845995,-0.30902056781500065,0.15030400499169053,-0.09331124716712866,-0.02405158126976347,-0.0288473995701827,-0.0017035215770643524,0.0027567214356928028,0.10742565149638955,0.11007278186001086,0.13944544519788915,-0.23952720462466504,0.09249942021225226,0.36498598057766246,0.29259049635263523,0.5275664706612634,0.010868028239297637,0.03433232091802982,-0.11233778054998189,-0.18851908015699317,0.1220630588236266,0.14440354767463778,0.08255268593622352,0.13639780568775528,-0.09268634479064973,-0.04552559353490348,-0.02851040438643247,0.013223941183711247,-0.0014159155969214509,0.05568713022702232,-0.18200688376612711,0.057950416511094414,0.11128687176389507,0.08388805647617616,0.014729344898078391,0.09534955842334374,0.003468819042568906,-0.3972924348383102,-0.33885485694573286,0.20481720755233462,0.3585430020588185,0.35484137026629875,0.23779544953530782,-0.00927339006326843,-0.24165472591246612,0.5088118649217985,0.45403581165037377,0.249576377586852,-0.320849246109407,-0.10946754044219704,0.517866319609681,0.34153553385826824,0.2536685074961828,-0.4181460124470703,0.09568347428771636,0.00028638125498873585,-0.00028638125498873585
race_Wh_%,-0.40824714428706077,-0.32531134192941136,0.03291299037491498,-0.26933517212479874,-0.22198334477064663,-0.26445315126201213,-0.2133316499914555,-0.19476149213516025,1.0000000000155325,-0.5578094452729235,-0.24080169482054808,-0.6169482706409238,0.0508154124407961,-0.5014812353318573,-0.41609801888607917,-0.4717209201677571,-0.30846497768881503,-0.24733343175965442,0.06964887074851923,-0.25642466164552025,0.15509774318957853,0.27236897197263904,-0.04718251910683554,0.111554727636303,-0.08843484101889895,0.057436485592891315,-0.020073205080406838,0.11789579259171547,0.23906898114639796,0.19705971506943465,0.3683792491597442,0.2448348145056388,0.07079248762546365,0.1503144500474058,-0.04722859531717705,0.5604642734679961,-0.5351473439035107,-0.4095346372744229,-0.30156973663226627,-0.09490847649183065,0.48364607958926586,-0.23915454764356603,0.09750661395861365,-0.047980629972900396,-0.5650985945020326,-0.1593517030235935,0.1170990324228137,0.16725847664617113,-0.2934677482853975,0.23412720842274098,-0.1623558775037802,-0.02916092219810618,0.02271672855127588,0.2585664807328544,-0.24584826657281453,-0.4769376230703877,-0.08905582418266607,-0.0943540790082244,-0.1534207208582873,0.24853770009124534,-0.05090840593616812,-0.292875679887081,-0.1725985250995446,-0.6723755637289418,0.18587097618853018,-0.15757821337967537,-0.12846602414791816,0.022025371259262155,0.14617898341122953,-0.020176041782934577,-0.22995463431237154,0.01768904823250207,-0.18326701070444934,0.08799586201853708,-0.07199868449708068,-0.1304047475477927,0.1873944881602116,-0.42519961693813163,-0.32003420504010943,0.13236480371135273,0.054100826122012204,0.05754761126364063,-0.2102042125111684,-0.21339855339946479,-0.15077873911061523,-0.208335206686695,0.5745174332439739,-0.476750134284621,-0.5095439955931849,-0.6871684069045864,-0.31122459143802134,-0.3427391104473611,-0.2632048596276735,-0.07330323937648119,-0.07521782017516385,-0.34834183448602973,-0.33806882276161204,-0.3251113733280126,-0.553579064973813,0.4376507391194031,0.08793000075040884,-0.1107340223753295,0.009983790213713534,0.003831310014593952,-0.02787775258412535,0.03198213637215063,0.09717268719030059,0.02619378589800024,0.055316561235342954,0.004870402895632111,-0.11542011225788876,-0.15736351074867555,0.07251157458374674,-0.020130047549185293,0.021725734656626028,-0.2835377803128135,-0.1695369800933566,-0.3778732429661888,-0.3696334173869321,0.3590365141989212,-0.18445038494223265,-0.13743716859567645,-0.035312637148502864,-0.1350367164132201,-0.10721627359680519,-0.3323039254651178,0.23003613579269308,0.35218461769768855,-0.185510470903947,-0.3629051146675521,0.167939988626253,-0.167939988626253
race_Afam_%,0.41336294440323434,0.3888552878743913,0.016232369175260206,0.18424765740482169,0.3529953515586054,-0.040981756018767884,-0.019141181425155,0.24784881974611422,-0.5578094452729235,0.9999999999783068,0.0010755024987137319,0.29182206273738304,0.010301711234185754,0.4451686867632502,0.292527093867513,0.4043832537135326,-0.05825000507531745,-0.11371346408423078,-0.08959912821719479,0.0033672961508196585,-0.04470682248670277,-0.11446345372951519,0.2960444921378575,0.029436606679658684,0.21771345712702003,0.11385907246277159,0.1841887892421328,0.0604790123048434,0.14814935162607884,-0.08490266241289027,-0.12507960987594166,-0.11925003556886643,0.017685239010116018,0.07315890774861429,0.166010719954385,-0.40751091527848216,0.3859797873655301,0.28189036626572134,0.31567022978544335,0.04924425513608748,-0.46978158594198266,0.3778850124373638,-0.061136574092722835,-0.008574025206243176,-0.01724459232755371,0.19536108806669614,-0.1362342990872752,-0.20060500907239293,0.3610156890779498,-0.1542461481320307,-0.17534323383404393,-0.08037914077835158,0.08006478317750244,-0.2576851258655899,0.21623476027621255,0.37010944283987984,0.19314373121662243,0.12431534431419185,0.15841813790116346,-0.20199791297863445,-0.19999767732109172,0.37833852511499505,0.1828950440192642,0.5274675964259432,-0.022555714584014175,-0.007743702728698702,0.12828225998356457,0.02096038148965326,-0.3013887676500285,-0.23679936503638552,0.3188695879594501,-0.11777732635754433,0.05105882126884115,0.018204392220935794,0.09844162635609323,-0.07071709270081894,-0.2695146410452154,0.05442189886757238,0.20589698491195987,-0.11602053383793767,-0.08751310714877406,-0.08814356834867938,0.08736273058264524,0.3262417194263444,0.28304795631061536,0.30974104908822603,-0.3586691968509854,0.1936564841348053,0.44818010491905075,0.5631650096841507,0.36085236788488023,0.2903640947277065,0.1664698204848568,0.08901971086464905,-0.014286386625371027,0.2897870707102505,0.31553220234340296,0.29625818906766954,0.45763626585324574,-0.2912713215036335,-0.16241545700604718,-0.028810287456574598,0.013554901450631733,0.09186378473123254,0.13205784087442896,-0.1327166767797774,-0.015373913915567894,0.009652300204375991,0.017586005767795686,0.08270407581285948,0.12034238190262234,0.08691615550670358,-0.23357761755343615,-0.1791082258617563,0.04335416870459816,0.34865167382391166,0.27321599450205725,0.1219961845281037,0.2971497301291375,-0.2733179360614627,0.24740571985194337,0.20805337680624714,0.07136922003495788,-0.14642618395500365,-0.08451873484982013,0.4133574371205409,0.051640939021546206,-0.05052367317252222,-0.11064082833474109,0.22956218123899233,0.08295602834853116,-0.08295602834853116
