\,exp_perpupil_USD,preschool_%,students_disabilities_%,students_highneeds_%,student_teacher_ratio,libraries_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,avg_ela,avg_math,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,public_school_%,private_school_%,lep_%,students_econodisadv_%
exp_perpupil_USD,1.0,0.03582211958933838,-0.06741771996831447,-0.03858494333841856,0.33707799335009864,0.05677839920804701,-0.019683309262147054,-0.01941683712723653,-0.03751826705976966,-0.022462089292533516,0.1068276627831649,0.12949257718644183,-0.12277668586384816,0.006117830210288207,0.04317979439554473,0.03340432644714998,-0.10333078915466629,-0.2614232900393009,-0.3211730273788617,0.29835311927089003,-0.2156253605735636,0.21074380958735595,0.021603089507798476,-0.08662108652630802
preschool_%,0.03582211958933838,1.0,-0.0800350802251713,-0.11021354716105429,0.02473608820823032,-0.07322109904711263,0.036401625211859474,-0.06531478011049391,-0.050513671658297406,-0.03266119919384289,0.07470573693410151,0.06979023800357187,0.026565979728096795,0.17094503611786324,-0.034486689204250506,-0.007517195999027004,-0.034393963167891076,-0.17766419533176397,-0.1586599606956731,0.16996623199399824,0.019107282910239252,-0.04834466316305596,0.027374025329479773,-0.04971117183119688
students_disabilities_%,-0.06741771996831447,-0.0800350802251713,1.0,0.12206357505591861,0.13960959683349172,0.10831737077599796,-0.009891358373509887,0.05528831000754016,0.07870006895102809,-0.08244572161303,-0.21100534048168781,-0.21392729325438722,-0.1957317445667919,-0.30177364946397406,-0.07736001641633433,-0.10723008978962383,0.18011966928415993,0.19464318238484454,0.15739490058136518,-0.21493414981486803,-0.03776744924852893,-0.02631885874786124,-0.048878044598978765,0.12603238428194882
students_highneeds_%,-0.03858494333841856,-0.11021354716105429,0.12206357505591861,1.0,0.21409034412041408,0.10496954230624758,-0.07235494242283312,0.024008047003019003,-0.007614436207684223,-0.03274978350501087,-0.14276188207944718,-0.09490522195614985,-0.0521514200937021,-0.21263040824261684,-0.2606264158052253,-0.27924284774190744,0.2529500155799508,0.21931772621547646,0.146608703614657,-0.24224586721423447,-0.025881986753803977,-0.10862805535026983,-0.1705007702533368,0.8641916008759074
student_teacher_ratio,0.33707799335009864,0.02473608820823032,0.13960959683349172,0.21409034412041408,1.0,0.347167466574165,0.08978864969926516,-0.1612968996804469,-0.033341037018242016,-0.1150532444849079,-0.004946267400709867,-0.023431216478211402,0.06061863110951831,-0.059156589113965305,0.09794308723995669,-0.05787233712742174,-0.054222498676695215,0.023002002565439987,-0.07968797578660598,0.03274840679059828,-0.19508789827482395,-0.085906309390726,0.1540149060486104,0.23697935809869164
libraries_%,0.05677839920804701,-0.07322109904711263,0.10831737077599796,0.10496954230624758,0.347167466574165,1.0,0.2171713474622252,-0.2426608381444095,-0.17553964027746505,0.08259392800550597,-0.038460652476538584,-0.056375753460641026,0.05465718953672935,-0.09252704660459617,0.03875176683500395,-0.02969659051891733,-0.07958837636726337,0.168075464831391,0.14019264435924192,-0.1290207492084036,-0.19249749652931378,-0.18349502839212256,0.22654203424425945,0.1174015523232089
exemplary_%,-0.019683309262147054,0.036401625211859474,-0.009891358373509887,-0.07235494242283312,0.08978864969926516,0.2171713474622252,1.0,-0.5042660112414216,-0.03502430990604217,0.4019067558360177,-0.020813919625447402,-0.09648820174642807,0.048435495518903894,-0.025333659584511125,0.2101625720724701,0.02610829016898058,-0.034203718557108444,0.042947134940573325,0.020750341910059537,-0.023483646239418402,-0.03711042576076434,-0.10434037133440659,0.08977114503766143,-0.10813953581638534
proficient_%,-0.01941683712723653,-0.06531478011049391,0.05528831000754016,0.024008047003019003,-0.1612968996804469,-0.2426608381444095,-0.5042660112414216,1.0,0.625477254152619,0.08677787652365615,-0.03462421664984965,-0.01778877964718836,-0.1820241875933306,0.01201844545517257,-0.07814733683085742,-0.014811668547648137,0.0023323526400241368,-0.013648398475893145,-0.022303874364952507,0.015881438135899435,0.02251963126342048,0.061326804685700384,-0.06616848996454784,0.06785055606543537
need_improve_%,-0.03751826705976966,-0.050513671658297406,0.07870006895102809,-0.007614436207684223,-0.033341037018242016,-0.17553964027746505,-0.03502430990604217,0.625477254152619,1.0,-0.35913394507250396,-0.1062311753709549,-0.1412737270204233,-0.13593073685273033,-0.02580499861672709,0.130172586599653,0.04892836054350184,0.023540882491782385,0.010793604976685434,-0.0018042935793907285,-0.011053894029908942,-0.023775029071005753,-0.009095825709901547,-0.004566563350739284,0.006023867811547756
unsatis_%,-0.022462089292533516,-0.03266119919384289,-0.08244572161303,-0.03274978350501087,-0.1150532444849079,0.08259392800550597,0.4019067558360177,0.08677787652365615,-0.35913394507250396,1.0,0.08218295922801931,0.07302987916710427,-0.0054044896189286065,0.02717637459336643,-0.029489843001888304,-0.04399785656736004,-0.0562227830230657,0.017373460891976795,-0.008355580078717732,0.007727939867627823,0.009454234384404344,-0.01915193456128639,0.008272724701833392,-0.039262492269346826
