\,exp_perpupil_USD,preschool_%,students_disabilities_%,students_highneeds_%,student_teacher_ratio,libraries_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,avg_ela,avg_math,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,public_school_%,private_school_%,lep_%,students_econodisadv_%
exp_perpupil_USD,1.1022906503783063,-0.03048873233572733,0.19601467759363053,0.17651609194838422,-0.8247926988416819,0.5018579448205981,0.22976255292924605,-0.22535451423402833,-0.0772214499449724,0.2788355174738497,0.06798812542848537,0.09603282763382028,0.01171061350806555,-0.03646587891263735,0.21371257519378295,0.1220568820535964,-0.16677987108095135,-0.24436940444797114,-0.31716376962387377,0.30308848601601845,-0.28909914703169626,0.11857936222902016,-0.055594125853183365,0.11959318516432957
preschool_%,-0.03048873233572733,0.9971803423167142,-0.09987009419949276,-0.13715548247675258,0.15982370226770806,-0.1647434495634302,-0.07822189141952635,0.09067319209683618,-0.07759749880480117,0.07325276359894968,0.07169056050193423,0.09878862670573126,-0.0619532723249012,0.07578024268663185,0.17412102030605933,0.1557829456701711,-0.02852766561092339,-0.1758593638812871,-0.15748379514430264,0.16704654942670155,0.03956540184658957,-0.0414543460368357,-0.024423953961483086,-0.15265485953690267
students_disabilities_%,0.19601467759363053,-0.09987009419949276,1.042177945248377,0.5034799377266481,-0.21905315172042963,0.3168032706748727,0.010981967559367443,-0.05897026318959252,0.1865778190115711,0.14200171038564982,-0.27942161070588406,-0.24223087255682718,0.2588701658435117,-0.3499028977249069,-0.3673703298516168,-0.42661328432163664,0.17593426629351333,0.24494244035725413,0.15336237794942364,-0.23996557912882951,-0.04647897261322699,-0.04065881063082738,0.04098812567752039,0.45386877443397955
students_highneeds_%,0.17651609194838422,-0.13715548247675258,0.5034799377266481,1.0191188415327905,-0.19535254871929963,0.10819908788289472,-0.043840808207637416,-0.042704995103801865,0.3461445770433305,0.18381905417990488,-0.5836912657593707,-0.49570676114139633,0.6439081860600427,-0.7169454170906613,-0.6429922177448592,-0.7012987261337384,0.6519629449888676,0.43533381727683684,0.2579127941866737,-0.5047252218416856,-0.10723832601370638,-0.06096889314136635,0.5089349566052168,1.0111833471966183
student_teacher_ratio,-0.8247926988416819,0.15982370226770806,-0.21905315172042963,-0.19535254871929963,1.403149755369325,-1.054852347961785,-0.2385388325316194,0.2371348823369939,0.05066602037668407,-0.2408107407092312,0.10364639957514382,0.11176781315862001,-0.025214270563417532,0.15166755853598698,-0.13135266127603532,0.0046130596965423265,0.1330543152370221,-0.030706798924503335,0.05127091308852925,-0.03665265054272967,0.3838855824303784,0.09767537543719462,0.2522038583643673,-0.18527266047201052
libraries_%,0.5018579448205981,-0.1647434495634302,0.3168032706748727,0.10819908788289472,-1.054852347961785,2.0743211459011768,0.177789372713978,-0.1893702186712413,0.006451140763898217,0.2738232804196947,-0.25420311242689125,-0.24262405266397585,0.042243742020077225,-0.22023474085860353,0.1288291223178731,-0.016747037185229588,-0.09556699843846683,0.24400542300554118,0.08028528278430717,-0.14282261496762638,-0.29016969173479806,-0.2703562936167117,-0.3680623985978385,0.14303209951044116
exemplary_%,0.22976255292924605,-0.07822189141952635,0.010981967559367443,-0.043840808207637416,-0.2385388325316194,0.177789372713978,0.7401770327627459,-0.7190191899196076,-0.08406797772504589,0.03470736275227064,0.07906615198766652,0.014415480066703394,-0.07116072548615485,0.16239570712958085,0.11168726958243334,0.08714450276938661,-0.08472349682313622,-0.04163763198863261,0.03576554885058562,0.02957720691018814,-0.12020788793910847,-0.10173631910031032,-0.12516005952078413,-0.022675306346758073
proficient_%,-0.22535451423402833,0.09067319209683618,-0.05897026318959252,-0.042704995103801865,0.2371348823369939,-0.1893702186712413,-0.7190191899196076,0.7402065521926515,-0.08838249109869156,-0.1079741510795421,-0.011122298961014443,0.052356153922584484,-0.012979091305611742,-0.07848384879377664,-0.026027069387512054,-0.004510346669997145,-0.008862795235522879,-0.009413337712080033,-0.05577666434432414,0.02975329228540406,0.13413352233583387,0.11766227157070265,0.05382052855324854,-0.06525618098493374
need_improve_%,-0.0772214499449724,-0.07759749880480117,0.1865778190115711,0.3461445770433305,0.05066602037668407,0.006451140763898217,-0.08406797772504589,-0.08838249109869156,0.7603118902063747,0.06021014562692782,-0.27334148503491035,-0.2577354521668976,0.3345338843193838,-0.3317285027078245,-0.3574034522683257,-0.3286402994987435,0.39366977324793345,0.21271162358346052,0.0850584477901368,-0.24880744110065584,-0.02629333465286264,-0.04871268991955627,0.31048412804304754,0.3528753976803424
unsatis_%,0.2788355174738497,0.07325276359894968,0.14200171038564982,0.18381905417990488,-0.2408107407092312,0.2738232804196947,0.03470736275227064,-0.1079741510795421,0.06021014562692782,1.1253769206480937,-0.14124884023086048,-0.17915620740196353,0.18302969171391487,-0.18439790828857225,-0.09678703463195529,-0.1614642596751962,0.10923621459037022,0.07412276891706969,0.029820859552924916,-0.07984531715481324,-0.15922383747846547,-0.11613202502978888,0.02376016538931813,0.18132189922299338
read_write,0.06798812542848537,0.07169056050193423,-0.27942161070588406,-0.5836912657593707,0.10364639957514382,-0.25420311242689125,0.07906615198766652,-0.011122298961014443,-0.27334148503491035,-0.14124884023086048,0.8998046132282492,0.7932550323262457,-0.5460109014946305,0.6367698007596474,0.5396231189428577,0.5912182771418398,-0.5487930720083681,-0.6021710740917644,-0.4620003399695137,0.6528489615769864,0.08224391820287247,0.24939964384883676,-0.37136450222871165,-0.594208311576916
math,0.09603282763382028,0.09878862670573126,-0.24223087255682718,-0.49570676114139633,0.11176781315862001,-0.24262405266397585,0.014415480066703394,0.052356153922584484,-0.2577354521668976,-0.17915620740196353,0.7932550323262457,0.8767316407009603,-0.49101652722390593,0.5990970155223745,0.5258399625415927,0.5973086436920514,-0.4877589683715107,-0.6197342101341977,-0.5158982918505777,0.6690052017727729,0.17971632055572376,0.2916728112112165,-0.2731430723875476,-0.5281379446738723
dropout_%,0.01171061350806555,-0.0619532723249012,0.2588701658435117,0.6439081860600427,-0.025214270563417532,0.042243742020077225,-0.07116072548615485,-0.012979091305611742,0.3345338843193838,0.18302969171391487,-0.5460109014946305,-0.49101652722390593,0.7997474226170546,-0.6382831667680015,-0.512027224997243,-0.526175947261439,0.6223496219275991,0.4355216810871271,0.21766064383296194,-0.48133974762877846,-0.10160579432862735,-0.1054609121860154,0.4613039574538513,0.6371636511767277
college_%,-0.03646587891263735,0.07578024268663185,-0.3499028977249069,-0.7169454170906613,0.15166755853598698,-0.22023474085860353,0.16239570712958085,-0.07848384879377664,-0.3317285027078245,-0.18439790828857225,0.6367698007596474,0.5990970155223745,-0.6382831667680015,1.0341843381705083,0.5795196099337102,0.6571756039585194,-0.5370803736812448,-0.6348838213933946,-0.4632228956201461,0.6684418864016077,0.20782310546668797,0.23383040515772124,-0.26964691420181297,-0.731765873898156
avg_ela,0.21371257519378295,0.17412102030605933,-0.3673703298516168,-0.6429922177448592,-0.13135266127603532,0.1288291223178731,0.11168726958243334,-0.026027069387512054,-0.3574034522683257,-0.09678703463195529,0.5396231189428577,0.5258399625415927,-0.512027224997243,0.5795196099337102,0.9108669771927901,0.8369686225118432,-0.5842496914014077,-0.6008190275238712,-0.488349720790364,0.6714653255314045,0.03957461481606412,0.20822706744966832,-0.3504218464265428,-0.6998200552490855
avg_math,0.1220568820535964,0.1557829456701711,-0.42661328432163664,-0.7012987261337384,0.0046130596965423265,-0.016747037185229588,0.08714450276938661,-0.004510346669997145,-0.3286402994987435,-0.1614642596751962,0.5912182771418398,0.5973086436920514,-0.526175947261439,0.6571756039585194,0.8369686225118432,0.9616542572373511,-0.5210238490545709,-0.6304914093304456,-0.522194265711169,0.6856992817464121,0.12113043148794897,0.2331502926701702,-0.2616429136019719,-0.7691026514120654
less_than_highschool_%,-0.16677987108095135,-0.02852766561092339,0.17593426629351333,0.6519629449888676,0.1330543152370221,-0.09556699843846683,-0.08472349682313622,-0.008862795235522879,0.39366977324793345,0.10923621459037022,-0.5487930720083681,-0.4877589683715107,0.6223496219275991,-0.5370803736812448,-0.5842496914014077,-0.5210238490545709,0.9999999999468304,0.5005067607546789,0.2121596345247006,-0.6085335243346947,0.03924456603234152,-0.15540101412355023,0.684304753386562,0.6517908900686942
highschool_grad_%,-0.24436940444797114,-0.1758593638812871,0.24494244035725413,0.43533381727683684,-0.030706798924503335,0.24400542300554118,-0.04163763198863261,-0.009413337712080033,0.21271162358346052,0.07412276891706969,-0.6021710740917644,-0.6197342101341977,0.4355216810871271,-0.6348838213933946,-0.6008190275238712,-0.6304914093304456,0.5005067607546789,1.0000000000640041,0.6698701361869741,-0.9432441817509376,-0.19311602331907096,-0.47646377200337153,0.08092597478712717,0.5091044621687829
associates_degree_%,-0.31716376962387377,-0.15748379514430264,0.15336237794942364,0.2579127941866737,0.05127091308852925,0.08028528278430717,0.03576554885058562,-0.05577666434432414,0.0850584477901368,0.029820859552924916,-0.4620003399695137,-0.5158982918505777,0.21766064383296194,-0.4632228956201461,-0.488349720790364,-0.522194265711169,0.2121596345247006,0.6698701361869741,1.000000000058081,-0.822467790084992,-0.1414128282570025,-0.47881995752966383,-0.13957620805522927,0.34627734259501963
bachelors_degree_%,0.30308848601601845,0.16704654942670155,-0.23996557912882951,-0.5047252218416856,-0.03665265054272967,-0.14282261496762638,0.02957720691018814,0.02975329228540406,-0.24880744110065584,-0.07984531715481324,0.6528489615769864,0.6690052017727729,-0.48133974762877846,0.6684418864016077,0.6714653255314045,0.6856992817464121,-0.6085335243346947,-0.9432441817509376,-0.822467790084992,1.0000000000188332,0.15329590464217638,0.49286882728140213,-0.15821299830005536,-0.5807358039603866
public_school_%,-0.28909914703169626,0.03956540184658957,-0.04647897261322699,-0.10723832601370638,0.3838855824303784,-0.29016969173479806,-0.12020788793910847,0.13413352233583387,-0.02629333465286264,-0.15922383747846547,0.08224391820287247,0.17971632055572376,-0.10160579432862735,0.20782310546668797,0.03957461481606412,0.12113043148794897,0.03924456603234152,-0.19311602331907096,-0.1414128282570025,0.15329590464217638,1.0000000000307712,0.06066210464560872,0.11563282562968534,-0.13454936791611674
private_school_%,0.11857936222902016,-0.0414543460368357,-0.04065881063082738,-0.06096889314136635,0.09767537543719462,-0.2703562936167117,-0.10173631910031032,0.11766227157070265,-0.04871268991955627,-0.11613202502978888,0.24939964384883676,0.2916728112112165,-0.1054609121860154,0.23383040515772124,0.20822706744966832,0.2331502926701702,-0.15540101412355023,-0.47646377200337153,-0.47881995752966383,0.49286882728140213,0.06066210464560872,1.0000000000074463,0.10664224145342384,-0.12212429430298093
lep_%,-0.055594125853183365,-0.024423953961483086,0.04098812567752039,0.5089349566052168,0.2522038583643673,-0.3680623985978385,-0.12516005952078413,0.05382052855324854,0.31048412804304754,0.02376016538931813,-0.37136450222871165,-0.2731430723875476,0.4613039574538513,-0.26964691420181297,-0.3504218464265428,-0.2616429136019719,0.684304753386562,0.08092597478712717,-0.13957620805522927,-0.15821299830005536,0.11563282562968534,0.10664224145342384,0.99999999999902,0.4108619700237397
students_econodisadv_%,0.11959318516432957,-0.15265485953690267,0.45386877443397955,1.0111833471966183,-0.18527266047201052,0.14303209951044116,-0.022675306346758073,-0.06525618098493374,0.3528753976803424,0.18132189922299338,-0.594208311576916,-0.5281379446738723,0.6371636511767277,-0.731765873898156,-0.6998200552490855,-0.7691026514120654,0.6517908900686942,0.5091044621687829,0.34627734259501963,-0.5807358039603866,-0.13454936791611674,-0.12212429430298093,0.4108619700237397,1.093841906629414
