\,unemployment_rate,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,employed_male_%,employed_female_%
unemployment_rate,1.0,0.08279319592907639,0.29411964632220206,0.44827711021342337,0.2403168466235096,0.2639792967443125,0.17682041229688072,-0.34200578646757523,-0.17786608885930638,-0.31513334522570857,-0.12323387349727613,-0.32059240960430624,-0.12286329101176165,-0.26450044339305984,0.01938693669411568,0.08809176117345073,-0.16681541680942574,-0.40221609152818827,-0.21614322798345176,-0.24399233182913713,0.32084924609114945,0.10214219258489612,-0.0002863812527916667,0.0002863812527916159
labor_force_rate,0.08279319592907639,1.0,0.9735411632898862,-0.10944368126001985,0.18633765419425227,-0.19294311604661873,-0.09736276626750814,-0.1292234532433966,-0.04852674326123219,-0.07939073868917793,-0.11082574139102942,-0.1991015027017472,-0.16988090710968798,-0.045848513472626966,-0.1586093449514162,-0.21878325917283004,0.11712277252450792,-0.06668624800802578,-0.0055988608262078484,-0.024005725752266137,0.9155913443526672,0.2792850404304419,-0.13154873898037514,0.13154873898037509
emp_rate,0.29411964632220206,0.9735411632898862,1.0,-0.013823407756944848,0.22562766981082158,-0.12938926142527668,-0.05721094004072809,-0.19399101750301065,-0.08002956745881283,-0.14238911575051688,-0.12788856246625313,-0.2605949270587917,-0.18035924003894396,-0.09799089132329296,-0.14289443053548428,-0.18827654190148957,0.07644146124080385,-0.15133165244538485,-0.04680993959324812,-0.0759777315886326,0.9511749296285793,0.2942071742462219,-0.1281639088332983,0.12816390883329826
emp_business_%,0.44827711021342337,-0.10944368126001985,-0.013823407756944848,1.0,0.4428529258191043,0.2859755204580576,0.19482589378737847,-0.5088855885612807,-0.18372553982650183,-0.48176910721872235,-0.42362570331316224,-0.3880356758239992,0.022280523925979186,-0.3417992614686716,-0.14286748276744882,-0.25879228019686645,-0.39073825653566635,-0.6088652388846405,-0.43633035768681394,-0.43622861300425514,0.07161331772376928,-0.07871577594807076,0.03635113622408177,-0.036351136224081725
emp_computer_%,0.2403168466235096,0.18633765419425227,0.22562766981082158,0.4428529258191043,1.0,0.17680805329539673,0.050194970895158626,-0.34601484194245447,-0.2143533021815406,-0.29517111351673814,-0.40180178111318865,-0.24195046180202195,-0.11009034954011486,-0.3399224633028299,-0.2466128202706921,-0.4674008141162077,-0.3056906617301699,-0.38611331638272683,-0.43092959105333306,-0.3106929604322649,0.2604551554154904,0.14081722718449943,0.046107745263997746,-0.04610774526399781
emp_legal_%,0.2639792967443125,-0.19294311604661873,-0.12938926142527668,0.2859755204580576,0.17680805329539673,1.0,0.03505256654299084,-0.2537744900525507,-0.15311002182348243,-0.16277111136899836,-0.1522736777888661,-0.03728618760776904,-0.1930274725988443,-0.3255087215475825,0.06983895013287779,-0.14938739206016236,-0.32069485707541506,-0.4137448530974184,-0.3664772323432615,-0.2106559184147713,-0.06846600074419384,-0.12089593236285119,-0.17994237899258525,0.17994237899258508
emp_healthcare_%,0.17682041229688072,-0.09736276626750814,-0.05721094004072809,0.19482589378737847,0.050194970895158626,0.03505256654299084,1.0,-0.06969203769747108,-0.03397333096041194,-0.23935902897578887,-0.25024875761061594,-0.26179239469207427,-0.04503773678098359,-0.042106587481461136,-0.026031533504891364,-0.03348833795055269,-0.05594858895186158,-0.1151919938035489,-0.04375887693508775,-0.2103220822917437,-0.008100201777720037,0.05617603674446945,0.022589158303744857,-0.022589158303744656
emp_healthsupport_%,-0.34200578646757523,-0.1292234532433966,-0.19399101750301065,-0.5088855885612807,-0.34601484194245447,-0.2537744900525507,-0.06969203769747108,1.0,0.08460494982908258,0.25809501093223414,0.24796308936172723,0.19165475336505675,0.030922849608394896,0.20201306006067207,0.03918412979030493,0.1573792772819363,0.1358367855939181,0.4683616291897177,0.3489800979873657,0.2636216423846734,-0.21509241527281903,-0.025398040672678014,-0.04937207727310445,0.049372077273104456
emp_protective_%,-0.17786608885930638,-0.04852674326123219,-0.08002956745881283,-0.18372553982650183,-0.2143533021815406,-0.15311002182348243,-0.03397333096041194,0.08460494982908258,1.0,0.23545604967518785,0.10441410924944053,0.12909275156218988,0.08889143670772252,0.14182814367948568,-0.1042642179395018,0.016968907793861728,0.13175473024288933,0.093725234531949,0.14743839843937975,-0.027335348424811726,-0.046272962692391305,-0.023878490489798388,0.1440206243613471,-0.14402062436134705
emp_foodprepare_%,-0.31513334522570857,-0.07939073868917793,-0.14238911575051688,-0.48176910721872235,-0.29517111351673814,-0.16277111136899836,-0.23935902897578887,0.25809501093223414,0.23545604967518785,1.0,0.32899828677558457,0.27772902733647437,0.06094663541919044,0.28337733563836864,-0.0007320804960001264,0.07527058933797307,0.047667442493223786,0.23836998387359706,0.18445195862376276,0.20795951798390683,-0.20109033503132107,0.04161321502937693,-0.013719404365427275,0.013719404365427117
