\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_noplumbing_%,1.0,0.8747377841158699,-0.051278882419500994,0.09197853528344563,-0.09247187331440627,0.05183200485748186,0.09249523702989451,0.15377368875452127,-0.008969287966218148,0.058607703992609526,0.054992097137834955,0.19944469010817922,-0.019511324421280063,0.050334075143154924,-0.1819854964443639,-0.12116018864617083,0.09455765023711968,-0.03264721177998515,-0.002544651400323503,0.10942380655218302,0.11943248155060938,-0.013423159123333368,0.06463699986501778,-0.15524129778840323,-0.11830281849884293,-0.11237415306149687,-0.09641151066614947,-0.024647684558579484,0.05523309540430899,-0.21610470076606111,0.012316546017611004,-0.0444491574607678
house_nokitchen_%,0.8747377841158699,1.0,-0.017202843919865998,0.06824200487696157,-0.12140024273636217,-0.1494903889353814,-0.08477212181648527,0.1834648517672885,0.03674958532216792,0.03958380251472004,0.18474871576411828,0.20776259775322584,0.009387712862092537,0.04650499223987039,-0.32703127651419717,-0.09156315430353192,0.16834895437305794,-0.019214436079111944,0.07696810521605096,0.06667395569800796,0.0734561116857539,-0.15185551113561815,0.050762453136477245,-0.12082915780141573,-0.007267317070802636,-0.08043668111888301,-0.009840341066963637,0.03413056032493329,-0.01075628539864425,-0.18557071226901725,-0.04594994798993853,-0.05014414457740369
house_lt1939_%,-0.051278882419500994,-0.017202843919865998,1.0,-0.9254913221712171,-0.4940329587102385,-0.1380281416248453,-0.06264752568430208,0.37034575697310984,-0.03663952578563657,-0.014431647416964975,-0.1482374808707531,-0.04437845366194894,0.012563975619974117,0.06749364052717242,0.1374400922693004,-0.11657505138597536,-0.03925754877767814,-0.04187065223752119,0.14134807306038938,0.018456447810089694,0.054734454543467016,0.1273145932235883,0.19875001462115277,-0.31318065459149413,-0.6094839083938818,-0.28077724134292914,-0.5947237422489225,-0.20144604282177445,0.16192063713318516,0.28314988334621005,0.19725120754203224,-0.10404488825090823
house_1940to1999_%,0.09197853528344563,0.06824200487696157,-0.9254913221712171,1.0,0.1312733366616118,0.09379925261509811,0.03458497109221181,-0.3189818496808915,-0.006090894876274153,-0.02798001851603095,0.1519737574277073,0.05058907486902838,-0.05081589809347616,-0.03561299445652596,-0.13887435383372446,0.059301094006751466,0.08298067372400407,0.03817711287445319,-0.09517639437534572,-0.013460528305592965,-0.05366498051847561,-0.11729573712760241,-0.1539031729033781,0.2383007819289138,0.523618595656371,0.22592450403331799,0.5073679618461968,0.18101353484333857,-0.14477503972809921,-0.2603548005072876,-0.17999200202217314,0.08820987977146319
house_2000to2014_%,-0.09247187331440627,-0.12140024273636217,-0.4940329587102385,0.1312733366616118,1.0,0.12789703722654513,0.06579566636169867,-0.24513669244286085,0.11542309943693474,0.10727321438172085,0.0370212760627475,-0.009073611117813208,0.07772915927595682,-0.08772840996329653,-0.03344139079728583,0.1816466918894359,-0.0867314857509376,0.0158471505269725,-0.1627564956929204,-0.017639864521102847,-0.015147724055731383,-0.0740194594870725,-0.17176085031401617,0.28149554332916726,0.3992939188829779,0.2306780620660084,0.395875450290558,0.11592745235559132,-0.09592328297432769,-0.14606187804090584,-0.10130002447061924,0.06891177057163134
median_owner_home_USD,0.05183200485748186,-0.1494903889353814,-0.1380281416248453,0.09379925261509811,0.12789703722654513,1.0,0.7745572280029831,-0.16685627078183488,-0.026899504675039626,0.17017440651431343,-0.036911325955612154,-0.1162900556813087,-0.12210838367795776,-0.08841015322705298,0.20129992041256706,0.15261676990382164,-0.13928133506281679,-0.20849965411156896,-0.15383218543062926,-0.06380144186405605,-0.036485237535763715,0.2625257732919465,-0.0026927856085821977,-0.018202232798732593,0.09210823539715456,-0.0114741937851293,0.11832559526211799,0.24815862423111165,-0.23561862740951367,-0.1998406941595178,-0.016646176507874644,0.14877530857760166
median_sale_homes_USD,0.09249523702989451,-0.08477212181648527,-0.06264752568430208,0.03458497109221181,0.06579566636169867,0.7745572280029831,1.0,-0.12435864601335381,-0.0022229473659831993,0.13709716540585273,-0.03469985695253191,-0.13274280841568464,-0.07482430956370421,-0.06144804550600083,0.1740694075014254,0.14545818132979596,-0.08076766493111937,-0.21495685578963988,-0.15977475078427436,-0.03257032245157491,-0.016224290323269372,0.19058303355296824,0.02998521173751326,-0.0816835268121012,0.03156124814592601,-0.030056202232497966,0.03418007910976367,0.14751650630576624,-0.13042588824690463,-0.1699712346317583,-0.01188303533446602,0.12056195481180329
house_income_gt30_USD_%,0.15377368875452127,0.1834648517672885,0.37034575697310984,-0.3189818496808915,-0.24513669244286085,-0.16685627078183488,-0.12435864601335381,1.0,0.0979712175557314,0.04406372342285115,0.4545327318149894,0.23477568822242043,0.1764802295400194,-0.2934051486936304,-0.5521876435505827,0.15344223623327238,-0.046684217001925425,7.866411936161555e-05,-0.032800503473214664,-0.0823472999063356,-0.017357346092095962,-0.10490718537036894,0.15405572064087142,-0.37974249954994727,-0.5323159069546343,-0.2646524325171327,-0.5286796986371427,-0.2718029905066504,0.25399218192575496,0.17173421457985485,0.23907758224656733,-0.09379109851464891
gross_rent_%,-0.008969287966218148,0.03674958532216792,-0.03663952578563657,-0.006090894876274153,0.11542309943693474,-0.026899504675039626,-0.0022229473659831993,0.0979712175557314,1.0,0.033263667988457465,0.256808853585694,0.09924001627146753,0.033055121499676134,-0.1686993049904619,-0.25858048737454725,0.04823016559214185,0.026246271595301244,0.008945513496190946,-0.03590692038061181,0.005409713722559988,0.09065585449061953,-0.13609544092215473,-0.03772294144074651,0.15517036077317437,0.09255448504360442,0.0366772704012005,0.11044849290581416,-0.06280413393580055,0.08216706402157371,-0.05270440175642345,-0.10703703504897576,-0.0417603955829456
property_val_USD,0.058607703992609526,0.03958380251472004,-0.014431647416964975,-0.02798001851603095,0.10727321438172085,0.17017440651431343,0.13709716540585273,0.04406372342285115,0.033263667988457465,1.0,-0.013875291145350006,0.023001113592306135,0.023874462076748686,-0.03794104806664475,0.003464559412722389,-0.009128489238302824,-0.03327944720848102,0.01443886628876627,-0.024335463036364392,-0.0832088346005687,0.05922393735772165,0.07433465771485419,0.030224548227566185,-0.04601236725853969,-0.07144838221463569,-0.07924943071187947,-0.06642483434834989,-0.013815701388031593,0.014686662606536376,-3.971471355015413e-05,0.0451967174548823,0.03941837725363867
