\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_noplumbing_%,0.9999999997505991,0.8747377842216656,0.0512788824057536,-0.0919785351965896,0.09247187330895983,-0.05183200484008389,-0.07646372394774285,0.15377368871386857,0.009437083786639806,-0.05860770398643118,-0.054992097118947404,-0.19944469009109164,0.019511324396110547,-0.050334075145275596,0.1819854964503125,0.12116018864410169,-0.09455765024484038,0.03264721177939609,0.0025446513965487736,-0.10942380655731818,-0.11943248152781791,0.013423159113867591,-0.0646369998623156,-0.15524129779317114,-0.11830281850199564,-0.11229173921201595,0.09641151065652427,0.02464768458593891,-0.05523309541464144,0.2161047007304563,-0.012316546008228025,-0.044449157459267905
house_nokitchen_%,0.8747377842216656,1.0000000003937826,0.017202843922505557,-0.06824200482735045,0.12140024274277689,0.14949038892838176,0.09326624118873478,0.18346485178285743,0.04162837653420911,-0.03958380251706088,-0.18474871577489946,-0.2077625977699344,-0.009387712857255993,-0.046504992253903865,0.32703127654845454,0.09156315430214033,-0.1683489543858097,0.019214436062849224,-0.07696810521567365,-0.06667395572008815,-0.07345611169363357,0.15185551116169058,-0.05076245313694767,-0.1208291578402832,-0.007267317096791349,-0.08039990830216376,0.009840341078296715,-0.03413056032436465,0.010756285406501183,0.18557071232760916,0.04594994798677447,-0.05014414458443387
house_lt1939_%,0.0512788824057536,0.017202843922505557,1.0000000000255458,-0.9254913219156838,-0.4940329587065736,-0.1380281416254042,-0.043657096892441495,-0.37034575697208744,0.04626575117411221,-0.014431647412148077,-0.14823748085590902,-0.0443784536660204,0.012563975598597317,0.06749364053633354,0.13744009228026988,-0.11657505139634933,-0.03925754878264516,-0.04187065224943824,0.14134807306836578,0.018456447809120504,0.05473445455189851,0.1273145932370975,0.19875001461976352,0.3131806546007365,0.6094839083934795,0.2803519810493326,-0.5947237422627825,-0.20144604284004852,0.16192063714666818,0.2831498833688653,0.1972512075434762,0.10404488825598102
house_1940to1999_%,-0.0919785351965896,-0.06824200482735045,-0.9254913219156838,1.0000000000056504,0.13127333589716442,0.09379925247411393,0.018820670845528135,0.3189818495538544,-0.0033648973748954462,-0.02798002035555621,0.15197375751339126,0.050589074570412174,-0.05081589823895953,-0.035612994494896286,-0.13887435367426618,0.05930109414742759,0.0829806735325837,0.03817711265576925,-0.0951763942283773,-0.013460528147363432,-0.053664980556807525,-0.11729573711593848,-0.15390317280908924,-0.238300781744014,-0.5236185954154423,-0.22552544017427903,0.507367961635184,0.18101353464481915,-0.1447750395160386,-0.2603548004052095,-0.1799920021806152,-0.08820987984153086
house_2000to2014_%,0.09247187330895983,0.12140024274277689,-0.4940329587065736,0.13127333589716442,0.9999999999832428,0.12789703721896414,0.05325187220273407,0.24513669242834188,-0.11516607022352283,0.10727321437008304,0.037021276053668124,-0.009073611107560962,0.07772915929099518,-0.08772840994410659,-0.0334413908051325,0.18164669187357302,-0.08673148573572188,0.015847150537547726,-0.16275649569157616,-0.01763986452341678,-0.015147724028349649,-0.07401945948333395,-0.1717608503208237,-0.28149554333018306,-0.39929391887189336,-0.23044454567502506,0.39587545029200943,0.11592745237907078,-0.09592328297599823,-0.14606187802897166,-0.1013000244655167,-0.06891177058092852
median_owner_home_USD,-0.05183200484008389,0.14949038892838176,-0.1380281416254042,0.09379925247411393,0.12789703721896414,0.9999999999850351,0.7363557687503641,0.16685627079058607,0.03674031234427076,0.17017440648671123,-0.03691132596467965,-0.11629005569896095,-0.1221083836725945,-0.08841015322619608,0.2012999204163769,0.1526167698915506,-0.1392813350532966,-0.2084996540933967,-0.15383218542216523,-0.06380144185584809,-0.03648523754129115,0.26252577329567484,-0.0026927856271000547,0.018202232785306322,-0.09210823538728416,0.011711775924620966,0.11832559526032367,0.24815862424355986,-0.23561862741182754,-0.1998406941550296,-0.016646176496724136,-0.1487753085832991
median_sale_homes_USD,-0.07646372394774285,0.09326624118873478,-0.043657096892441495,0.018820670845528135,0.05325187220273407,0.7363557687503641,0.9533668869416454,0.09720805761608996,-0.033250586340829884,0.13475628033691445,-0.009936470843293464,-0.12241411122789081,-0.08916392603896062,-0.04278483459055287,0.14311346641796135,0.11218221379443512,-0.04829587243878625,-0.2086651699606337,-0.15343329087467547,-0.02360929200175931,-0.010392628234448016,0.1883394584965868,0.019318174206767597,0.08866366163295879,-0.02233313444048394,0.029398373419944397,0.015105083755737067,0.10343985155044158,-0.08607094244399845,-0.1506468822512787,0.010313802936402014,-0.11758577796300963
house_income_gt30_USD_%,0.15377368871386857,0.18346485178285743,-0.37034575697208744,0.3189818495538544,0.24513669242834188,0.16685627079058607,0.09720805761608996,1.00000000000245,0.13048109528327714,-0.04406372342397581,-0.4545327318162062,-0.23477568821582548,-0.17648022955430467,0.2934051487154988,0.5521876435383818,-0.15344223623075565,0.04668421700680555,-7.866411825544643e-05,0.03280050347240543,0.0823472998843977,0.017357346104977443,0.1049071853706426,-0.15405572064105627,-0.37974249955341116,-0.5323159069585364,-0.26409566236307364,0.5286796986581078,0.27180299055140206,-0.2539921819585535,-0.17173421458934737,-0.2390775822512695,-0.09379109852084998
gross_rent_%,0.009437083786639806,0.04162837653420911,0.04626575117411221,-0.0033648973748954462,-0.11516607022352283,0.03674031234427076,-0.033250586340829884,0.13048109528327714,1.0291162969150918,-0.03941988087645093,-0.28994003302397453,-0.13563375440226486,-0.011411027607503527,0.18918856157725225,0.29352553168011136,-0.04229497628944636,-0.032375199229949886,-0.02214413357959637,0.051200607849622964,-0.0005437148439424431,-0.10130932890542241,0.13764891683755334,0.033198304234532496,0.12865141745227235,0.07904855665591455,0.0289673163388725,-0.09443910340435545,0.10677984666534335,-0.1262020479176667,0.03973228147689838,0.0985923526547966,-0.07783878326029259
property_val_USD,-0.05860770398643118,-0.03958380251706088,-0.014431647412148077,-0.02798002035555621,0.10727321437008304,0.17017440648671123,0.13475628033691445,-0.04406372342397581,-0.03941988087645093,0.9999999996452424,-0.013875291145316469,0.02300111358988465,0.023874462073722357,-0.03794104806592254,0.0034645594115960865,-0.00912848924134293,-0.0332794472054916,0.014438866282365318,-0.02433546302307119,-0.08320883459678365,0.059223937340992995,0.07433465770947387,0.030224548227231075,0.04601236726046843,0.07144838223333232,0.07909323003949742,-0.06642483436359616,-0.013815701385932277,0.014686662637048613,-3.9714710594788624e-05,0.04519671745795227,-0.03941837724747345
