Feature,Importance
snap_%,0.7395509858094004
households_recfoodstamps_%,0.7105805288557409
less_than_highschool_%,0.6924436228580778
owner_homes_%,0.6016708007818008
renter_occupied_%,0.5991255940009059
below_poverty_level_%,0.5927283153787979
poverty_child_%,0.5314234762368697
lep_%,0.5240404392620432
income_capita_USD,0.5018044945325749
english_verywell_%,0.49299356133681804
race_Hisp_%,0.49104586949421164
occ_lt0.5_%,0.48544993049472024
median_household_income_USD,0.47299803244706917
race_Other_%,0.45617324255760155
occ_0.5to1.0_%,0.41420696480398694
emp_business_%,0.3981026560999452
bachelors_degree_%,0.38890574642033776
read_write,0.37629412613647245
crimes_against_persons_%,0.36028804079566545
health_insurance_coverage_%,0.3536074968637416
nonfatal_opiod_hospitalevents_%,0.31472525012585784
unemployment_rate,0.3108078622532523
occ_1.01to1.5_%,0.31070773030696763
no_vehicle_avail_%,0.30478994088064626
crimes_against_property_%,0.30216184778633964
emp_foodprepare_%,0.2990306645984349
anyexercise_%,0.29841679938298404
highschool_grad_%,0.2770665783598743
hypertension_%,0.27527791729786083
math,0.2715841204369676
emp_healthsupport_%,0.2657109574335789
emp_production_%,0.26015206981162314
dropout_%,0.24960129441559453
comm_wfh_%,0.2448780567457484
population_density,0.24104522414781196
race_Afam_%,0.238520878189685
diagnosed_depression_%,0.23781469098756516
live_births_2014_%,0.23688112058217833
lung_cancer_sir,0.22377040361835068
house_lt1939_%,0.223304292463403
comm_carpool_%,0.22267394670738397
occ_1.51to2.0_%,0.21737878483012094
risk_per1000,0.21614161232575319
mentalhealth_hosp_rate,0.21204853553901085
median_age,0.21090244135132077
obsese_adults_%,0.20528281525461892
race_Two_%,0.1998736071345533
median_owner_home_USD,0.19899846588047515
emp_material_%,0.19684887016140254
overweight_adults_%,0.18828368439629625
college_%,0.1797743190527633
poor_mental_health_%,0.165551540812243
race_Wh_%,0.16157396545754435
house_1940to1999_%,0.1559242469973302
emp_personalcare_%,0.15417560776663763
smoking_rate_%,0.1520813326208904
emp_admin_%,0.14874619441394024
moved_lastyear_%,0.14584556171422094
emp_clean_%,0.14522255823976707
smoking_pregnant_%,0.1412331511551352
registerednurses_per1000,0.13165124391492775
substanceuse_rate_AA,0.12084161490499293
emp_transport_%,0.12070142982466261
cervical_cancer_sir,0.11854044784701455
lt5years_%,0.11250863369981642
emp_healthcare_%,0.11249526908267896
emp_legal_%,0.11166479666074859
median_sale_homes_USD,0.1063110385675228
emp_computer_%,0.10523534873976544
house_2000to2014_%,0.10313275204144089
costas%income_wmgage_lt20%_%,0.10113949015948803
associates_degree_%,0.1007139544602904
debt_pervaluation_%,0.09909914623355885
pharmacist_per1000,0.09428169392771965
house_income_gt30_USD_%,0.09394671138802564
homeless_Shelters_per_1000,0.09293973402894343
comm_taxi_%,0.09092900234767712
pa_provider_density_per10000,0.08623517657030791
vacant_rentals_%,0.08407662196237645
costas%income_womgage_lt10%_%,0.07893983780995799
psychologist_per1000,0.07606155261820337
fruit_consump_%,0.06430299799684575
tobbaco_retailers_2019_%,0.06376368362716199
physician_assisted_%,0.05995380829360788
students_highneeds_%,0.05934959315913521
licensed_nurses_per1000,0.0587371455385502
emp_pop_ratio_wh_only,0.0572384966584526
libraries_%,0.05700744461664155
median_earnings_retail_USD,0.05611741869163388
avg_ela,0.054009207501645784
advancedprn_per1000,0.05397689970085779
rural_population_%,0.051403554885072124
colorectal_cancer_sir,0.044456134150138826
costas%income_wmgage_gt35%_%,0.042785089847400704
student_teacher_ratio,0.04011986981730334
students_econodisadv_%,0.039801816961388466
occ_gt2.01_%,0.03973900722881211
Mental_admissions_AA,0.037093298900581426
students_disabilities_%,0.03658673996983689
cancer_admissions_AA,0.03404408092738979
young_females_%,0.03391753347732298
diabetic_adults_%,0.033130725578395026
costas%income_womgage_30to35%_%,0.032288746681363556
comm_walk_%,0.03210589099717243
Diabetes_emergencies_AA,0.0319537622610226
cardio_emergencies_AA,0.030592366076146654
exp_perpupil_USD,0.03025537600307045
Mental_emergencies_AA,0.029490268021948242
emp_rate,0.027976095924158634
emp_protective_%,0.027702890239415072
physicians_per1000,0.026731239140493343
cardio_admissions_AA,0.02344046171621258
avg_math,0.022415009166309535
comm_bus_%,0.022289679990505497
costas%income_womgage_15to20%_%,0.0212982665148639
pcp_per1000,0.020060619245791327
liquor_per1000,0.01999934998003801
crimes_against_society_%,0.01783512550381109
emp_repair_%,0.016992516623660806
hiv_density_per1000,0.016876808860067666
costas%income_wmgage_30to35%_%,0.01639336730579422
gross_rent_%,0.015464962111370191
food_est_per1000,0.014946568810034366
costas%income_womgage_25to30%_%,0.012900182200540154
supermarket_per1000,0.012781503098836373
costas%income_womgage_20to25%_%,0.011538667154436797
firearm_deaths_2015_%,0.011082295642120132
infant_rate_2014_per1000,0.010451900112904193
employed_female_%,0.009617279908558606
employed_male_%,0.009617279908558589
Stroke_admissions_AA,0.00820542605987781
costas%income_womgage_gt35%_%,0.008149915523175707
chlamydia_%,0.00788295330124582
heartrate_adult_%,0.006763773538049542
private_school_%,0.0066233867187254465
costas%income_wmgage_25to30%_%,0.006598848324023443
preschool_%,0.005714715155500648
gini_index,0.005510421972770821
need_improve_%,0.005486676225123544
comm_cycle_%,0.005234224078448077
psychiatrist_per1000,0.005086695352549632
emp_construct_%,0.0046230312876346285
dentists_per1000,0.004403215942938503
age_lt18_%,0.004155090263161436
emp_pop_ratio_hisp,0.0034445646484005804
emp_farm_%,0.003307275086326685
prostrate_cancer_sir,0.003046008566257787
race_Alaska_%,0.0029008498494303304
public_school_%,0.0028103721022334173
house_nokitchen_%,0.002797182854891858
suicide_deaths_%,0.002779236891758924
proficient_%,0.0027743799311785635
labor_force_rate,0.0025635972003746066
syphillis_%,0.002019411331966393
race_Asian_%,0.0009331702318541768
print_media_circ_%,0.0005755389879722696
costas%income_womgage_10to15%_%,0.0005122559468348294
exemplary_%,0.00048386758601425884
costas%income_wmgage_20to25%_%,0.00039754800547550314
gonorrhea_%,0.0003435756434395469
comm_car_%,0.0002028971101277728
property_val_USD,0.00015704024406147112
Diabetes_admissions_AA,0.00015532541238354552
house_noplumbing_%,0.00015421111276349152
smokers_helpline_%,7.335983917109947e-05
unsatis_%,2.8687730095030834e-05
race_Hawaii_%,9.187938091348645e-06
emp_sales_%,7.798843535393114e-06
smokers_quitworks_%,6.5490951597508765e-06
breast_cancer_sir,4.956269455882053e-07
