Feature,Importance
bachelors_degree_%,0.8864069542724635
income_capita_USD,0.7988226866652144
highschool_grad_%,0.7724107187305304
renter_occupied_%,0.7674600099556723
median_household_income_USD,0.7642748808907038
snap_%,0.7499292362783211
owner_homes_%,0.7454666543348678
households_recfoodstamps_%,0.7211511680126554
less_than_highschool_%,0.7017199078806721
lep_%,0.6826491263771317
english_verywell_%,0.665010673113976
emp_business_%,0.6160607025579323
below_poverty_level_%,0.5911985970778859
associates_degree_%,0.5772311858512715
race_Hisp_%,0.5513394814781856
poverty_child_%,0.5392188716490343
population_density,0.5294248650589227
emp_production_%,0.5281969917799484
occ_lt0.5_%,0.5115901817380476
rural_population_%,0.5014887309425793
race_Wh_%,0.497747684082279
race_Other_%,0.4909353436854002
median_owner_home_USD,0.4795364537189073
race_Asian_%,0.44302581166846483
occ_0.5to1.0_%,0.43994297192449194
read_write,0.43483844987845743
no_vehicle_avail_%,0.4295284914671948
libraries_%,0.4199844953508365
math,0.4173365525662157
emp_computer_%,0.41370011276629004
comm_bus_%,0.41362307743839755
median_age,0.4132153683383973
smoking_rate_%,0.38747647648030614
health_insurance_coverage_%,0.37227268110833545
live_births_2014_%,0.3722702267758867
cardio_emergencies_AA,0.36193007099466606
crimes_against_persons_%,0.361130238143935
pharmacist_per1000,0.34863297911572716
diagnosed_depression_%,0.34591416145301024
emp_healthsupport_%,0.34387036273601046
moved_lastyear_%,0.34204324122318036
advancedprn_per1000,0.33897400069271627
registerednurses_per1000,0.3376241194198835
cancer_admissions_AA,0.33661708537847806
physicians_per1000,0.3349330772533625
race_Afam_%,0.32497683900753477
crimes_against_property_%,0.3209298619688412
unemployment_rate,0.31793723982658956
cardio_admissions_AA,0.3172008986084811
occ_1.01to1.5_%,0.3167755301099363
nonfatal_opiod_hospitalevents_%,0.3160231818567319
emp_construct_%,0.31407409418714227
median_sale_homes_USD,0.3090297918982594
private_school_%,0.30883804587870284
Mental_emergencies_AA,0.30749752186440127
emp_foodprepare_%,0.3066771924787765
college_%,0.30576965713360005
emp_transport_%,0.30554633844768114
anyexercise_%,0.30301761516166914
risk_per1000,0.3029480594941596
emp_clean_%,0.2986082377466759
comm_car_%,0.2791377619827367
dropout_%,0.2773335076459419
hypertension_%,0.27543729742328255
emp_repair_%,0.2726481928431106
pcp_per1000,0.2612946251958789
Mental_admissions_AA,0.2582040400870436
emp_material_%,0.2547332858101059
psychologist_per1000,0.25383938220884045
comm_wfh_%,0.24511523709956515
occ_1.51to2.0_%,0.24301291963788796
lung_cancer_sir,0.24184120879067744
house_lt1939_%,0.2410008124663227
mentalhealth_hosp_rate,0.23479528294795185
comm_carpool_%,0.2276928983245291
lt5years_%,0.22466748641652376
obsese_adults_%,0.21926639206636736
race_Two_%,0.2188236122449181
vacant_rentals_%,0.21622712500435093
breast_cancer_sir,0.21168426171349047
overweight_adults_%,0.19591009230028295
smoking_pregnant_%,0.19361125105831994
emp_admin_%,0.1922537228401962
pa_provider_density_per10000,0.19190797788897118
poor_mental_health_%,0.17374491402139972
emp_personalcare_%,0.17321752039029747
cervical_cancer_sir,0.16818854884991893
house_income_gt30_USD_%,0.16514826162202714
house_1940to1999_%,0.16280714822065187
prostrate_cancer_sir,0.16254075713795615
Stroke_admissions_AA,0.15803908047081297
emp_legal_%,0.1540033158841917
gini_index,0.14590494992601488
debt_pervaluation_%,0.14494813589703226
homeless_Shelters_per_1000,0.1439875076512842
emp_farm_%,0.14052419264743993
dentists_per1000,0.14051607667672317
house_2000to2014_%,0.13722075884541096
age_lt18_%,0.13478834397288225
crimes_against_society_%,0.13273096085016778
physician_assisted_%,0.12297681155048588
substanceuse_rate_AA,0.12161540480633205
student_teacher_ratio,0.1137476577068666
emp_healthcare_%,0.11209645247797939
costas%income_wmgage_lt20%_%,0.10698168797211144
house_noplumbing_%,0.10331165965571375
comm_walk_%,0.0944917114280359
comm_taxi_%,0.09223936016272417
comm_cycle_%,0.08638853256358958
suicide_deaths_%,0.08592518259219259
young_females_%,0.08591021211027644
licensed_nurses_per1000,0.08508281153003004
psychiatrist_per1000,0.07994264437206383
costas%income_womgage_lt10%_%,0.07977788775730651
liquor_per1000,0.07611602460349494
public_school_%,0.07512140386026658
tobbaco_retailers_2019_%,0.07426023806516896
emp_pop_ratio_wh_only,0.07311828882384899
colorectal_cancer_sir,0.07276151628736614
median_earnings_retail_USD,0.07063545591210213
students_highneeds_%,0.07035310358749867
avg_ela,0.06742140784597292
fruit_consump_%,0.06474763020942009
costas%income_wmgage_gt35%_%,0.05513299906001228
Diabetes_emergencies_AA,0.05506575607091763
students_econodisadv_%,0.054884578301656536
costas%income_womgage_gt35%_%,0.05439898587129832
avg_math,0.05349937894241533
house_nokitchen_%,0.052818269941119086
emp_protective_%,0.049757086515154966
emp_rate,0.04598213897104183
occ_gt2.01_%,0.04559235018601306
costas%income_womgage_15to20%_%,0.043201045918459725
property_val_USD,0.04058750971819034
diabetic_adults_%,0.04027877336653913
students_disabilities_%,0.03776342627497581
firearm_deaths_2015_%,0.03729435931205814
costas%income_womgage_30to35%_%,0.03503643868655349
food_est_per1000,0.03478718294973367
smokers_helpline_%,0.03364346804157356
exp_perpupil_USD,0.03145007514151153
preschool_%,0.030949884297742588
smokers_quitworks_%,0.02924724648341729
supermarket_per1000,0.02578944233638513
gross_rent_%,0.018542092280441534
employed_male_%,0.018517545053371068
employed_female_%,0.01851754505337105
