Feature,Importance
english_verywell_%,0.8146966168938233
race_Wh_%,0.7035071929570879
race_Hisp_%,0.5537207188399264
population_density,0.5489303010541862
race_Other_%,0.4601251941560035
median_age,0.4487029302470065
race_Afam_%,0.34570656041916537
lt5years_%,0.2801497075931989
rural_population_%,0.261460216096148
race_Two_%,0.2502957709539287
race_Asian_%,0.22531879655013076
age_lt18_%,0.09633093097931965
young_females_%,0.06932627707426012
print_media_circ_%,0.004481187267109137
race_Alaska_%,0.003348903976513114
race_Hawaii_%,0.0028966468015467245
