Feature,Importance
renter_occupied_%,0.8146966168938233
unemployment_rate,0.7035071929570879
race_Two_%,0.5537207188399264
advancedprn_per1000,0.5489303010541862
race_Hawaii_%,0.4601251941560035
pa_provider_density_per10000,0.4487029302470065
race_Wh_%,0.34570656041916537
median_age,0.2801497075931989
population_density,0.261460216096148
race_Other_%,0.2502957709539287
race_Alaska_%,0.22531879655013076
house_nokitchen_%,0.09633093097931965
dentists_per1000,0.06932627707426012
student_teacher_ratio,0.004481187267109137
race_Afam_%,0.003348903976513114
race_Asian_%,0.0028966468015467245
