Feature,Importance
renter_occupied_%,0.9213567912278298
unemployment_rate,0.8125734671956534
race_Two_%,0.6982382022995255
house_nokitchen_%,0.6131295285531799
race_Hawaii_%,0.580708787699477
advancedprn_per1000,0.5671733744503065
pa_provider_density_per10000,0.5228230031475658
median_age,0.4046811645267751
race_Wh_%,0.3708882310689393
population_density,0.3240198570649627
race_Other_%,0.27483172854879384
race_Alaska_%,0.2621139372452864
dentists_per1000,0.07394577728194374
race_Asian_%,0.04861223933059951
race_Afam_%,0.006881051945511322
student_teacher_ratio,0.0051373413489664696
