Feature,Importance
snap_%,0.721400058739575
less_than_highschool_%,0.6765203556511803
owner_homes_%,0.5620128603413095
below_poverty_level_%,0.5455779180867774
income_capita_USD,0.5096685250116915
lep_%,0.4976776468249884
occ_lt0.5_%,0.4797576161200347
race_Other_%,0.4365661567118781
read_write,0.3849579635959347
crimes_against_persons_%,0.36123446087764205
health_insurance_coverage_%,0.35065208913389256
nonfatal_opiod_hospitalevents_%,0.33830100309459593
unemployment_rate,0.31459204114241557
emp_foodprepare_%,0.3023963521170042
crimes_against_property_%,0.29985677650821235
occ_1.01to1.5_%,0.2995313880667992
anyexercise_%,0.2983053128829129
hypertension_%,0.2966926109841945
highschool_grad_%,0.2817043842283761
no_vehicle_avail_%,0.27861923809642875
comm_wfh_%,0.27132281041781403
emp_healthsupport_%,0.2636572919124687
lung_cancer_sir,0.25657042398286717
emp_production_%,0.254267782792798
dropout_%,0.24764630244966562
live_births_2014_%,0.24586235320177494
race_Afam_%,0.2335915967342484
diagnosed_depression_%,0.23278856764361544
population_density,0.22186118555147394
comm_carpool_%,0.22124812716926634
obsese_adults_%,0.2196547172359235
median_age,0.21434828773201944
occ_1.51to2.0_%,0.21014350998060427
risk_per1000,0.2095940749823336
overweight_adults_%,0.2095047893061396
median_owner_home_USD,0.2062106937409026
emp_material_%,0.19975223557349125
mentalhealth_hosp_rate,0.19615770827590104
house_lt1939_%,0.19310748429109134
race_Two_%,0.18899476337667875
college_%,0.17688501220962924
poor_mental_health_%,0.1702000807917318
emp_admin_%,0.15903024616176967
smoking_rate_%,0.1583235966536825
race_Wh_%,0.1552194336142127
emp_personalcare_%,0.1536579702850113
smoking_pregnant_%,0.1515699583771969
substanceuse_rate_AA,0.13821518863598367
emp_clean_%,0.13281272004839642
moved_lastyear_%,0.13281093544889294
emp_legal_%,0.12885315595206245
cervical_cancer_sir,0.12611128867593624
emp_transport_%,0.12374163287394316
registerednurses_per1000,0.12205856141824602
lt5years_%,0.11698300556703327
median_sale_homes_USD,0.1134269151460853
emp_healthcare_%,0.11248008395077036
associates_degree_%,0.11030252929564698
emp_computer_%,0.10756437469947903
debt_pervaluation_%,0.10029933170773733
costas%income_wmgage_lt20%_%,0.09991231481369796
pharmacist_per1000,0.09569315322232935
house_2000to2014_%,0.09356912040687394
psychologist_per1000,0.09130412821934883
homeless_Shelters_per_1000,0.08992620898566565
costas%income_womgage_lt10%_%,0.08918277700381759
comm_taxi_%,0.08812081728626543
house_income_gt30_USD_%,0.0839053968273276
vacant_rentals_%,0.07824909023667376
pa_provider_density_per10000,0.07723806866443748
fruit_consump_%,0.07541325535223485
tobbaco_retailers_2019_%,0.06842841394531585
libraries_%,0.06561602407047239
licensed_nurses_per1000,0.060856898646662924
rural_population_%,0.05821360539749542
avg_ela,0.055740572155242175
median_earnings_retail_USD,0.05367033030713579
students_highneeds_%,0.053110767292899194
colorectal_cancer_sir,0.05125072464990261
student_teacher_ratio,0.049868910463301365
emp_pop_ratio_wh_only,0.048076841708632204
Mental_admissions_AA,0.043000744206266026
occ_gt2.01_%,0.03997592124955281
costas%income_wmgage_gt35%_%,0.03850696148686797
exp_perpupil_USD,0.0372500780646346
emp_protective_%,0.035824007205229956
students_disabilities_%,0.034994640470187036
costas%income_womgage_30to35%_%,0.03492219833225934
Diabetes_emergencies_AA,0.03469429793620543
young_females_%,0.03079717574086077
diabetic_adults_%,0.030582600626137445
costas%income_womgage_15to20%_%,0.024839107147570132
comm_walk_%,0.024608275888678553
cardio_admissions_AA,0.02378636299100787
avg_math,0.022441707613030402
emp_repair_%,0.0188576044973464
comm_bus_%,0.01884210042972671
liquor_per1000,0.018508706780831368
pcp_per1000,0.018020976204302652
crimes_against_society_%,0.017751075104358725
hiv_density_per1000,0.015845115277379473
costas%income_womgage_25to30%_%,0.015078157257479427
gross_rent_%,0.014844501729663702
costas%income_wmgage_30to35%_%,0.014462127904926313
firearm_deaths_2015_%,0.012132065769758385
costas%income_womgage_20to25%_%,0.011546638679756457
employed_female_%,0.011245618806434356
infant_rate_2014_per1000,0.010448745440348118
heartrate_adult_%,0.009047464169909744
psychiatrist_per1000,0.009012094704987778
costas%income_womgage_gt35%_%,0.008727565761816278
chlamydia_%,0.008601587233164981
private_school_%,0.008510681900009228
costas%income_wmgage_25to30%_%,0.0077660001515122016
need_improve_%,0.0070202247817493044
prostrate_cancer_sir,0.005600158946793047
preschool_%,0.005271207773297775
suicide_deaths_%,0.004961091538423307
emp_farm_%,0.004817751719200526
dentists_per1000,0.004710889977810249
public_school_%,0.004324366610854337
comm_cycle_%,0.0035048354444050197
emp_construct_%,0.003452473442645627
emp_pop_ratio_hisp,0.0033817418554756553
proficient_%,0.002768460028654486
age_lt18_%,0.0024717888368671714
syphillis_%,0.002124997119183967
gini_index,0.002078461681367521
race_Alaska_%,0.002035394138603962
house_nokitchen_%,0.0012115096672811793
costas%income_wmgage_20to25%_%,0.0011434696727887308
print_media_circ_%,0.0005305015832453711
exemplary_%,0.000509750638447967
race_Asian_%,0.00045121316681956435
costas%income_womgage_10to15%_%,0.000375024612866517
gonorrhea_%,0.000358581245116114
breast_cancer_sir,0.00035024447923742805
race_Hawaii_%,0.0003264899621290304
emp_sales_%,0.00023327150163016152
comm_car_%,0.000169126820540739
property_val_USD,3.153911058326806e-05
unsatis_%,3.144373026915268e-05
smokers_helpline_%,2.0014623971985878e-05
Diabetes_admissions_AA,1.0794650816532445e-05
