Feature,Importance
bachelors_degree_%,0.9035207868313302
renter_occupied_%,0.7717747454980955
median_household_income_USD,0.7494269970523402
snap_%,0.7345408145061808
less_than_highschool_%,0.6887913173151897
lep_%,0.6770816945412571
emp_business_%,0.6277607618403517
population_density,0.5561714270963581
below_poverty_level_%,0.5540259926887834
emp_production_%,0.5260354530134411
race_Wh_%,0.5186235362442189
occ_lt0.5_%,0.5053162103290247
median_owner_home_USD,0.5049851054894705
rural_population_%,0.4941250876979869
race_Other_%,0.4732991715498268
race_Asian_%,0.47095857033348804
comm_bus_%,0.45849566714814377
no_vehicle_avail_%,0.43565377943869055
median_age,0.4294694832673204
read_write,0.4274922492190456
emp_computer_%,0.4224871956056532
live_births_2014_%,0.3827171977572783
smoking_rate_%,0.38080881525979754
health_insurance_coverage_%,0.37410592376605173
crimes_against_persons_%,0.36729530335061344
diagnosed_depression_%,0.3589888660643024
libraries_%,0.3586512645305583
moved_lastyear_%,0.34966785885257606
private_school_%,0.3482796340277523
emp_healthsupport_%,0.34014112886586056
nonfatal_opiod_hospitalevents_%,0.33499119786547005
pharmacist_per1000,0.3337260904428578
race_Afam_%,0.33316858293393475
median_sale_homes_USD,0.3284402073361656
crimes_against_property_%,0.32495217403261134
comm_car_%,0.3233605560059739
unemployment_rate,0.3221353759060961
advancedprn_per1000,0.3178114358389941
emp_transport_%,0.3170996246801795
emp_construct_%,0.3161626003374467
emp_foodprepare_%,0.3118492508327128
occ_1.01to1.5_%,0.31027433951003636
anyexercise_%,0.3038656588395791
risk_per1000,0.2969157168987347
hypertension_%,0.2842857054587733
college_%,0.28266609578312263
emp_repair_%,0.2808727599631783
emp_clean_%,0.2762386564828978
psychologist_per1000,0.2701664888532412
dropout_%,0.26970297766227813
lung_cancer_sir,0.2654532416657299
comm_wfh_%,0.26302690696489145
cardio_emergencies_AA,0.262146303496137
emp_material_%,0.2561561843993018
pcp_per1000,0.2500229595668961
occ_1.51to2.0_%,0.24119652231561955
obsese_adults_%,0.23511047728339907
lt5years_%,0.2338826275045218
house_lt1939_%,0.22770579221722462
comm_carpool_%,0.2275946908563898
vacant_rentals_%,0.22538542773033676
mentalhealth_hosp_rate,0.22448487617533447
race_Two_%,0.21824014725664254
overweight_adults_%,0.21596372738944025
smoking_pregnant_%,0.21277553778260253
emp_admin_%,0.2018762828476727
breast_cancer_sir,0.19709305982546746
poor_mental_health_%,0.17924554825769962
cervical_cancer_sir,0.1718577588644446
emp_personalcare_%,0.17128634878997315
emp_legal_%,0.17069277814619696
pa_provider_density_per10000,0.16765427651600057
gini_index,0.16332616783342813
house_income_gt30_USD_%,0.1587769142392221
prostrate_cancer_sir,0.1539239742192644
homeless_Shelters_per_1000,0.14411784282985707
dentists_per1000,0.1437686200048548
debt_pervaluation_%,0.1411727709568827
house_2000to2014_%,0.13275446548710068
substanceuse_rate_AA,0.13034219852445406
emp_farm_%,0.12984109992146436
crimes_against_society_%,0.12924908391372458
age_lt18_%,0.125926476064223
emp_healthcare_%,0.11254872183913728
Stroke_admissions_AA,0.11050539627558563
comm_cycle_%,0.10727410448417207
costas%income_wmgage_lt20%_%,0.10597293869503913
comm_walk_%,0.10343176764921934
comm_taxi_%,0.09477276164808165
house_noplumbing_%,0.09390685279999664
student_teacher_ratio,0.09249803592960157
young_females_%,0.090904018671005
suicide_deaths_%,0.09021331512607123
costas%income_womgage_lt10%_%,0.08834566492314846
psychiatrist_per1000,0.0845093348061835
licensed_nurses_per1000,0.08318343295918737
tobbaco_retailers_2019_%,0.0801316895676493
colorectal_cancer_sir,0.07761877152148834
fruit_consump_%,0.07129596017638068
public_school_%,0.07102816939890516
costas%income_womgage_gt35%_%,0.0677726632600265
median_earnings_retail_USD,0.06628955574023436
emp_pop_ratio_wh_only,0.06621610411087744
avg_ela,0.06380587996621169
liquor_per1000,0.06117735379257174
students_highneeds_%,0.05930513979529818
Diabetes_emergencies_AA,0.057883184401877646
emp_protective_%,0.05736263969130644
costas%income_wmgage_gt35%_%,0.04864136499073457
occ_gt2.01_%,0.045545448895049225
avg_math,0.04461409630278164
costas%income_womgage_15to20%_%,0.04283895527056343
diabetic_adults_%,0.04270596093924498
property_val_USD,0.04164776846575463
students_disabilities_%,0.03653611577791889
costas%income_womgage_30to35%_%,0.03604348418558578
exp_perpupil_USD,0.03320740353868918
firearm_deaths_2015_%,0.03049954044481965
preschool_%,0.02898020398798966
smokers_helpline_%,0.024886915732652906
employed_male_%,0.022533675125126294
gross_rent_%,0.01848802700526468
hiv_density_per1000,0.01783292454146332
costas%income_wmgage_30to35%_%,0.017327339651004144
infant_rate_2014_per1000,0.01554028564551734
costas%income_womgage_25to30%_%,0.015362220024315146
Diabetes_admissions_AA,0.012841067953958079
costas%income_womgage_20to25%_%,0.012607750696685089
chlamydia_%,0.012116973488282442
heartrate_adult_%,0.011607327562543384
emp_pop_ratio_hisp,0.010622758832524528
print_media_circ_%,0.010533871824847245
costas%income_wmgage_20to25%_%,0.009190600354356714
gonorrhea_%,0.009146182748620769
costas%income_wmgage_25to30%_%,0.007928376151106522
need_improve_%,0.006513189331051827
proficient_%,0.006450764332901733
exemplary_%,0.006132304002251964
race_Hawaii_%,0.0039021188060968832
race_Alaska_%,0.0036805084156286407
emp_sales_%,0.003299493981753919
costas%income_womgage_10to15%_%,0.0024977818414220775
syphillis_%,0.002408779918329623
unsatis_%,0.00012427491617688545
