Feature,Importance
snap_%,0.7333716134181258
less_than_highschool_%,0.7281848615431736
below_poverty_level_%,0.6403414296707227
owner_homes_%,0.6101923926717044
median_household_income_USD,0.5242843856084963
lep_%,0.5171919509590975
race_Other_%,0.45213453598380987
occ_lt0.5_%,0.44733625429402074
emp_business_%,0.4141142326394541
bachelors_degree_%,0.4050610238060231
health_insurance_coverage_%,0.3946970213997732
read_write,0.3927926699360158
crimes_against_persons_%,0.38493571043568564
no_vehicle_avail_%,0.3263021543389604
emp_foodprepare_%,0.31643121935838336
occ_1.01to1.5_%,0.31357466857193433
unemployment_rate,0.3084562910712135
dropout_%,0.2881681893461097
emp_production_%,0.2716318914182259
emp_healthsupport_%,0.26578919037468457
comm_carpool_%,0.25368491226270723
college_%,0.2529579522689915
race_Afam_%,0.2387687750022724
population_density,0.2381529303346212
occ_1.51to2.0_%,0.23680125737015145
house_lt1939_%,0.233425915502284
race_Two_%,0.22210772618250033
emp_clean_%,0.20627178879951688
emp_material_%,0.20288772232720131
comm_wfh_%,0.19594692771331468
median_owner_home_USD,0.19524894984899588
median_age,0.1806734368106004
emp_personalcare_%,0.16889064059104852
moved_lastyear_%,0.14515047917205434
race_Wh_%,0.14101720124874675
emp_transport_%,0.13521160866570855
emp_healthcare_%,0.12346921517811471
emp_admin_%,0.12135199309022071
emp_computer_%,0.1173786382377151
comm_taxi_%,0.11574798212602862
median_sale_homes_USD,0.10694358626629732
registerednurses_per1000,0.10393850939464419
house_2000to2014_%,0.10368983896625611
house_income_gt30_USD_%,0.09456633968315631
costas%income_wmgage_lt20%_%,0.09118882253405595
homeless_Shelters_per_1000,0.09065496926102817
emp_legal_%,0.0849476042174732
lt5years_%,0.08338080732925082
vacant_rentals_%,0.07836521608925105
avg_math,0.07716168111177393
students_highneeds_%,0.07305005331749695
debt_pervaluation_%,0.07183525383876577
students_disabilities_%,0.06907927251486014
avg_ela,0.06817354742541845
emp_pop_ratio_wh_only,0.06799940286368393
psychologist_per1000,0.06520868371681607
pharmacist_per1000,0.06356501928493252
median_earnings_retail_USD,0.06212870737801911
pa_provider_density_per10000,0.06023157984800993
costas%income_womgage_lt10%_%,0.059901150399502626
costas%income_wmgage_gt35%_%,0.05583317640886324
crimes_against_society_%,0.05361973009435903
licensed_nurses_per1000,0.047797254153553625
comm_walk_%,0.045372901451068
occ_gt2.01_%,0.04149424333212787
young_females_%,0.03876542559104356
costas%income_womgage_30to35%_%,0.02938406725746013
tobbaco_retailers_2019_%,0.022592694099928274
rural_population_%,0.02061705758462813
comm_bus_%,0.01982343322777172
emp_protective_%,0.019484705631257163
costas%income_womgage_15to20%_%,0.019307172490981697
emp_repair_%,0.018390574751170254
libraries_%,0.017386474202856442
age_lt18_%,0.015874728914083723
gross_rent_%,0.015176557501828504
preschool_%,0.014834919210114794
costas%income_wmgage_30to35%_%,0.014489333985245434
costas%income_womgage_25to30%_%,0.01365569025872799
pcp_per1000,0.012576746645641798
liquor_per1000,0.012573395738539935
comm_cycle_%,0.012506164466825027
emp_construct_%,0.01176906213834484
gini_index,0.009781239290270864
employed_female_%,0.007926037193895194
student_teacher_ratio,0.0070595563196357665
costas%income_womgage_gt35%_%,0.006787652372930358
private_school_%,0.006585096430731235
costas%income_womgage_20to25%_%,0.006448454955942402
exp_perpupil_USD,0.0053996806692570235
house_nokitchen_%,0.00453422059675901
race_Alaska_%,0.0035878259825925353
dentists_per1000,0.002956324951689419
unsatis_%,0.0028915249694609194
costas%income_wmgage_25to30%_%,0.002838000683048438
need_improve_%,0.002536985593673842
comm_car_%,0.002481056959738336
emp_pop_ratio_hisp,0.0021582361369598753
psychiatrist_per1000,0.001967865094893983
exemplary_%,0.0018809694231981288
proficient_%,0.0018368574163140099
costas%income_womgage_10to15%_%,0.0018267112882852656
emp_sales_%,0.0008038364546298598
costas%income_wmgage_20to25%_%,0.0007771102748547798
property_val_USD,0.0006062407790512639
race_Asian_%,0.0005150019594649564
public_school_%,0.00025666476159489265
race_Hawaii_%,0.00021754295960976737
print_media_circ_%,0.00019214920837278983
emp_farm_%,5.617109837550002e-12
