Feature,Importance
population_density,0.5884163418564506
race_Wh_%,0.5107342301132136
comm_bus_%,0.49628784252158126
no_vehicle_avail_%,0.4617180715074296
comm_car_%,0.41912044347911553
race_Asian_%,0.40515784204901467
moved_lastyear_%,0.37943209902896113
median_age,0.34036761217962025
rural_population_%,0.29110641404283377
private_school_%,0.2804159444209819
race_Afam_%,0.2723008830911995
pharmacist_per1000,0.23688599159368504
vacant_rentals_%,0.2272348834013808
gini_index,0.22548043186161718
comm_walk_%,0.2085835621568706
pcp_per1000,0.2069487032085484
race_Two_%,0.1881066018998601
comm_cycle_%,0.18728324369676289
emp_repair_%,0.16792873349152382
occ_1.51to2.0_%,0.16486486744908255
emp_construct_%,0.15759696414111277
libraries_%,0.1450083775154292
occ_1.01to1.5_%,0.13300200911113771
lt5years_%,0.13288809412142336
homeless_Shelters_per_1000,0.1292479245501279
house_income_gt30_USD_%,0.12265714392691313
young_females_%,0.11580909085107692
dentists_per1000,0.11333843395389859
emp_computer_%,0.10021839322419955
median_owner_home_USD,0.09962270355907502
less_than_highschool_%,0.09462694651605338
house_2000to2014_%,0.09179710679822853
median_sale_homes_USD,0.08866440360025608
psychologist_per1000,0.08706467938948394
costas%income_womgage_gt35%_%,0.0776576295781868
psychiatrist_per1000,0.0691705780590989
debt_pervaluation_%,0.06409695792803125
comm_taxi_%,0.05840054718568873
emp_farm_%,0.055686182791015025
exp_perpupil_USD,0.050437027647094956
emp_transport_%,0.04882359764063846
emp_foodprepare_%,0.0483257733536532
emp_healthcare_%,0.046903493746815336
licensed_nurses_per1000,0.04304879757905481
health_insurance_coverage_%,0.036884370408088
emp_production_%,0.036830121608608234
age_lt18_%,0.035801344264881046
public_school_%,0.031757860751334056
unemployment_rate,0.029316709164260237
comm_carpool_%,0.028773675550587668
dropout_%,0.027271157369567364
student_teacher_ratio,0.023073799085962556
exemplary_%,0.022617915056079484
property_val_USD,0.020942780443683296
costas%income_wmgage_gt35%_%,0.016499682854316487
emp_legal_%,0.016391137665335644
costas%income_womgage_10to15%_%,0.015577320084408704
tobbaco_retailers_2019_%,0.015452563862702105
gross_rent_%,0.012904727016458119
costas%income_womgage_30to35%_%,0.012786513980325018
proficient_%,0.011642937419684472
costas%income_wmgage_lt20%_%,0.011618103601236718
costas%income_womgage_lt10%_%,0.01106056442650405
comm_wfh_%,0.010949510128879547
emp_protective_%,0.008736412552746495
emp_personalcare_%,0.008213104578784361
race_Alaska_%,0.0058594183523128455
emp_admin_%,0.005718109699802276
avg_ela,0.003273802772962113
unsatis_%,0.003255683634958065
emp_pop_ratio_hisp,0.0026797467520324053
costas%income_womgage_15to20%_%,0.0019611993057826464
avg_math,0.0018975027944278468
print_media_circ_%,0.00177841737343567
race_Hawaii_%,0.0015113533490534788
emp_clean_%,0.00146693240711084
preschool_%,0.0014385309096810516
costas%income_womgage_25to30%_%,0.0013693612420148554
need_improve_%,0.0013434581901679927
costas%income_wmgage_25to30%_%,0.0013234887193284799
students_disabilities_%,0.0012632239402576785
costas%income_womgage_20to25%_%,0.0011642699212713978
median_earnings_retail_USD,0.0009553206109433335
occ_gt2.01_%,0.0005449398691115731
crimes_against_society_%,0.00030290149545542826
emp_material_%,0.00011784423236906035
emp_sales_%,8.833391617179233e-05
costas%income_wmgage_20to25%_%,8.153959367014575e-05
college_%,6.625321394548559e-05
emp_healthsupport_%,6.076382306298611e-05
costas%income_wmgage_30to35%_%,3.774238112743573e-06
