Feature,Importance
bachelors_degree_%,0.9405014389854993
owner_homes_%,0.8364936434132112
median_household_income_USD,0.7492093319584453
snap_%,0.7316343402948219
less_than_highschool_%,0.7260224031927821
lep_%,0.7159312219572708
below_poverty_level_%,0.6422542749147144
emp_business_%,0.6366008813813375
population_density,0.6101963819573183
median_owner_home_USD,0.5594742099864555
no_vehicle_avail_%,0.554708520228853
emp_production_%,0.5206034971899268
comm_bus_%,0.5132198940989723
race_Wh_%,0.5125329797371477
comm_car_%,0.49689473381574484
race_Other_%,0.4956506647816319
race_Asian_%,0.4919879946344853
read_write,0.4703897524554392
occ_lt0.5_%,0.4675224641237511
emp_computer_%,0.4161070626564388
crimes_against_persons_%,0.40636687646984176
health_insurance_coverage_%,0.402956714104246
private_school_%,0.4022778271979218
moved_lastyear_%,0.39162422861546126
median_sale_homes_USD,0.3718265835079224
median_age,0.35819887869275463
race_Afam_%,0.3502824858736231
emp_transport_%,0.34228533802992694
emp_healthsupport_%,0.3368318729088829
occ_1.01to1.5_%,0.32870274212897876
emp_foodprepare_%,0.31690939931279155
emp_repair_%,0.315241969254772
unemployment_rate,0.3143837810273961
college_%,0.3106219225367462
rural_population_%,0.30263916521938494
psychologist_per1000,0.3026390273079056
dropout_%,0.29406284632485363
registerednurses_per1000,0.29299357179711627
house_lt1939_%,0.29115722904642694
emp_clean_%,0.284309542168242
occ_1.51to2.0_%,0.27875929373237784
race_Two_%,0.2756935989543655
emp_material_%,0.268366264315812
gini_index,0.2638707692331738
emp_construct_%,0.2636244307780946
pharmacist_per1000,0.2601641792660459
comm_carpool_%,0.2548066501363325
pcp_per1000,0.24026885906660223
vacant_rentals_%,0.22902282460180884
comm_wfh_%,0.21244741129461625
comm_walk_%,0.208683821290604
emp_admin_%,0.19830786022233057
comm_cycle_%,0.1807738218943936
emp_legal_%,0.17992059336745678
emp_personalcare_%,0.1794145788841945
house_income_gt30_USD_%,0.1680498607575247
pa_provider_density_per10000,0.1584744806445824
lt5years_%,0.1565536016759559
homeless_Shelters_per_1000,0.1549912079971971
house_2000to2014_%,0.14578425475707926
libraries_%,0.1378590243123877
comm_taxi_%,0.12535642525637314
emp_healthcare_%,0.12533567982412686
dentists_per1000,0.117488869824447
young_females_%,0.11149582876825169
psychiatrist_per1000,0.10840784545725728
debt_pervaluation_%,0.10362965375631694
costas%income_wmgage_lt20%_%,0.09168478543585466
age_lt18_%,0.09164815695233347
avg_math,0.08814200072006267
exp_perpupil_USD,0.08686838194645391
students_highneeds_%,0.0809691281340209
students_disabilities_%,0.07746157104018739
costas%income_womgage_gt35%_%,0.07582869509528999
avg_ela,0.07438550319513308
median_earnings_retail_USD,0.07178619435713468
tobbaco_retailers_2019_%,0.07036116575120346
crimes_against_society_%,0.07015834400028777
emp_pop_ratio_wh_only,0.06953515973274252
emp_farm_%,0.06927843265979132
licensed_nurses_per1000,0.06561854180351477
costas%income_womgage_lt10%_%,0.0597113202607277
emp_protective_%,0.05897223666195531
costas%income_wmgage_gt35%_%,0.055430293084400284
occ_gt2.01_%,0.04622631585102201
costas%income_womgage_15to20%_%,0.03828476510544156
property_val_USD,0.03459509412972532
public_school_%,0.03428324944228141
employed_male_%,0.030002524279801636
costas%income_womgage_30to35%_%,0.029990111954750896
preschool_%,0.029023715323680834
student_teacher_ratio,0.020975834933923226
exemplary_%,0.02047892155192438
gross_rent_%,0.018556203869550737
liquor_per1000,0.018294409007923392
costas%income_wmgage_30to35%_%,0.01775683079566743
costas%income_womgage_25to30%_%,0.014516576664168716
costas%income_womgage_10to15%_%,0.013883489745679644
house_nokitchen_%,0.012159866574045143
costas%income_womgage_20to25%_%,0.01054332163531402
proficient_%,0.009270632753555488
emp_pop_ratio_hisp,0.007558899173806588
costas%income_wmgage_25to30%_%,0.006708137266054691
race_Alaska_%,0.004971670970857139
unsatis_%,0.003965092415648622
print_media_circ_%,0.0031520889782494788
need_improve_%,0.0025476583996939615
race_Hawaii_%,0.001991211805646468
emp_sales_%,0.0010292903762035989
costas%income_wmgage_20to25%_%,0.0007617859287830672
