Feature,Importance
less_than_highschool_%,0.5709666377301963
bachelors_degree_%,0.5686346920604552
read_write,0.5287312981150241
college_%,0.40539874053226554
dropout_%,0.35380585486246535
lep_%,0.1980632749567111
avg_math,0.17249329813397685
avg_ela,0.15373707982582982
students_highneeds_%,0.10549683789225507
students_disabilities_%,0.08666029190021533
private_school_%,0.07857500650077498
exp_perpupil_USD,0.01840352236969063
preschool_%,0.01441957988501079
proficient_%,0.006661180934157218
need_improve_%,0.005151349895450362
exemplary_%,0.003589849647543848
public_school_%,0.0032590709577826472
unsatis_%,0.0023394704559859055
libraries_%,0.00035914680474847144
student_teacher_ratio,0.00028183188320202114
