Feature,Importance
less_than_highschool_%,0.5709666377301945
bachelors_degree_%,0.5686346920604542
read_write,0.5287312981150234
college_%,0.40539874053226527
dropout_%,0.35380585486246446
lep_%,0.19806327495671028
avg_math,0.17249329813397687
avg_ela,0.15373707982582926
students_highneeds_%,0.10549683789225449
students_disabilities_%,0.08666029190021547
private_school_%,0.07857500650077504
exp_perpupil_USD,0.018403522369690572
preschool_%,0.014419579885010848
proficient_%,0.006661180934157066
need_improve_%,0.0051513498954502725
exemplary_%,0.003589849647543749
public_school_%,0.0032590709577826433
unsatis_%,0.0023394704559858313
libraries_%,0.00035914680474848575
student_teacher_ratio,0.00028183188320202255
