Feature,Importance
college_%,0.3955786395577402
dropout_%,0.35523568093866204
less_than_highschool_%,0.3348542449005007
avg_math,0.2576308653579444
avg_ela,0.24802969221108662
students_disabilities_%,0.09929803111201273
private_school_%,0.03891188211624868
proficient_%,0.029635186724862966
exemplary_%,0.020669129740417992
need_improve_%,0.011818045871155477
preschool_%,0.007823002822389543
unsatis_%,0.0036354104154799464
exp_perpupil_USD,0.003091535740471928
public_school_%,0.0015275740836722485
libraries_%,0.00076318990880941
student_teacher_ratio,0.000734802831513143
