Feature,Importance
emp_business_%,0.6497972658258813
emp_production_%,0.48391925336738667
emp_computer_%,0.4175645546377113
emp_transport_%,0.3329371664022396
emp_healthsupport_%,0.3042623292549767
emp_clean_%,0.2689440366786883
emp_material_%,0.248664464455876
unemployment_rate,0.24829431975275928
emp_foodprepare_%,0.2270251785720468
emp_admin_%,0.20868180965884836
emp_legal_%,0.1840916922072012
emp_repair_%,0.17497687230745657
emp_personalcare_%,0.15407694286337215
emp_construct_%,0.15208681451865702
emp_pop_ratio_wh_only,0.07620385274081659
emp_protective_%,0.05511937103137677
emp_healthcare_%,0.05062811370934846
emp_farm_%,0.031089631687778896
employed_female_%,0.02545846375863899
emp_pop_ratio_hisp,0.009498468463548094
emp_sales_%,0.0007479174423450438
