Feature,Importance
emp_production_%,0.4690810497356315
emp_computer_%,0.45492933827418947
emp_transport_%,0.3466560787817659
emp_healthsupport_%,0.2880507042694297
emp_clean_%,0.264960044481928
emp_material_%,0.2357260346016952
unemployment_rate,0.22315397699992828
emp_admin_%,0.21626791321353755
emp_legal_%,0.20882745677843648
emp_foodprepare_%,0.20109860731649584
emp_repair_%,0.18114327839662092
emp_construct_%,0.15626059495300537
emp_personalcare_%,0.1307289682889139
emp_protective_%,0.05459504895615871
emp_healthcare_%,0.05103073154072364
emp_farm_%,0.029532354684905927
emp_pop_ratio_hisp,0.01315248538041232
emp_sales_%,0.0005622050320481393
