Feature,Importance
emp_construct_%,0.5160163676596661
emp_computer_%,0.5003074911644567
emp_production_%,0.4864178156177835
emp_legal_%,0.4757080546102639
emp_clean_%,0.4442967114193476
unemployment_rate,0.42547170813631957
emp_transport_%,0.3900943069203325
emp_foodprepare_%,0.35236461700008853
emp_healthsupport_%,0.2895022882895491
emp_personalcare_%,0.2849906744214057
emp_admin_%,0.282740614470228
emp_material_%,0.22812936280176382
emp_repair_%,0.2274286644871785
emp_farm_%,0.21973847191672527
emp_healthcare_%,0.18696519547129484
emp_protective_%,0.08496123552366931
emp_sales_%,0.07598177654101183
emp_pop_ratio_hisp,0.05752799845346591
