Feature,Importance
owner_homes_%,0.9188706013589135
occ_lt0.5_%,0.3901154448489209
house_lt1939_%,0.34662740148302784
moved_lastyear_%,0.31833859898062894
occ_1.01to1.5_%,0.29711506007520944
occ_1.51to2.0_%,0.253711182164457
vacant_rentals_%,0.21785947550647425
house_income_gt30_USD_%,0.19321789386553304
house_2000to2014_%,0.1891333127240633
homeless_Shelters_per_1000,0.11610760706728311
costas%income_womgage_lt10%_%,0.061419027257984336
median_owner_home_USD,0.04664500171351534
occ_gt2.01_%,0.03438820248517838
costas%income_wmgage_lt20%_%,0.03101817768813824
costas%income_womgage_30to35%_%,0.02518832811698755
median_sale_homes_USD,0.020194933648049782
costas%income_womgage_gt35%_%,0.01591276237235548
gross_rent_%,0.011530196156769276
costas%income_wmgage_gt35%_%,0.0098491462970401
costas%income_womgage_20to25%_%,0.009010448327499254
costas%income_wmgage_30to35%_%,0.006380056844197164
costas%income_womgage_15to20%_%,0.006121729589196258
costas%income_womgage_25to30%_%,0.005406419274153696
costas%income_wmgage_25to30%_%,0.004707870598096527
house_nokitchen_%,0.0012890579057136772
property_val_USD,0.0005456562512002981
costas%income_wmgage_20to25%_%,0.00010302083126856332
costas%income_womgage_10to15%_%,6.973849938578483e-05
