Feature,Importance
costas%income_wmgage_gt35%_%,0.8338898636794585
costas%income_wmgage_lt20%_%,0.5205021915645738
house_income_gt30_USD_%,0.29982864095220724
costas%income_womgage_gt35%_%,0.13737051536715492
gross_rent_%,0.0858623112726016
costas%income_womgage_lt10%_%,0.08147442984876659
costas%income_wmgage_20to25%_%,0.07480096973937155
median_owner_home_USD,0.05297865318352524
costas%income_wmgage_30to35%_%,0.051685637895984536
median_sale_homes_USD,0.04339864879538321
occ_1.01to1.5_%,0.018288584895104026
costas%income_womgage_25to30%_%,0.0167681932057109
occ_1.51to2.0_%,0.014656051441964817
costas%income_womgage_30to35%_%,0.00827491140486922
costas%income_womgage_10to15%_%,0.007092416925736875
homeless_Shelters_per_1000,0.006028087721848243
costas%income_wmgage_25to30%_%,0.001437255910517252
costas%income_womgage_20to25%_%,0.0013304016231997465
property_val_USD,0.0008468714528854154
house_2000to2014_%,0.0008464128986946417
vacant_rentals_%,0.00032390648260058905
moved_lastyear_%,0.0003161562560587316
occ_gt2.01_%,0.0002817983949033611
costas%income_womgage_15to20%_%,0.00021156405933718908
