Feature,Importance
costas%income_wmgage_gt35%_%,0.8338900042676362
costas%income_wmgage_lt20%_%,0.520502213405855
house_income_gt30_USD_%,0.2998286850456619
costas%income_womgage_gt35%_%,0.1373705130872991
gross_rent_%,0.08586231177756867
costas%income_womgage_lt10%_%,0.08147442842019226
costas%income_wmgage_20to25%_%,0.07480096957402575
median_owner_home_USD,0.05297865250872128
costas%income_wmgage_30to35%_%,0.051685641006676566
median_sale_homes_USD,0.04339865023973412
occ_1.01to1.5_%,0.01828858067579055
costas%income_womgage_25to30%_%,0.01676819240653174
occ_1.51to2.0_%,0.014656048074621657
costas%income_womgage_30to35%_%,0.008274910639188527
costas%income_womgage_10to15%_%,0.007092416306671096
homeless_Shelters_per_1000,0.006028086196725823
costas%income_wmgage_25to30%_%,0.0014372563779574432
costas%income_womgage_20to25%_%,0.0013304016131882104
property_val_USD,0.0008468713071558131
house_2000to2014_%,0.0008464122772860517
vacant_rentals_%,0.0003239060515523585
moved_lastyear_%,0.0003161557545886835
occ_gt2.01_%,0.0002817985158109432
costas%income_womgage_15to20%_%,0.0002115640040735275
