Feature,Importance
fruit_consump_%,0.5020994259229732
lung_cancer_sir,0.47997127670976375
cancer_admissions_AA,0.4224313609072611
hypertension_%,0.370099843475721
substanceuse_rate_AA,0.3659796264523525
nonfatal_opiod_hospitalevents_%,0.3507989673461038
live_births_2014_%,0.26314545131136013
cervical_cancer_sir,0.23735387960438797
firearm_deaths_2015_%,0.19256656418245247
prostrate_cancer_sir,0.19171385120625592
diagnosed_depression_%,0.1851790809724774
breast_cancer_sir,0.1652112704134035
diabetic_adults_%,0.1359104909464731
colorectal_cancer_sir,0.13505172557736433
poor_mental_health_%,0.12365130876377262
Stroke_admissions_AA,0.10170411695072613
anyexercise_%,0.09675402348134465
suicide_deaths_%,0.0806261324768623
overweight_adults_%,0.07643900444365717
obsese_adults_%,0.05846316218165746
smoking_rate_%,0.03534911255812823
mentalhealth_hosp_rate,0.02887657365782837
smokers_helpline_%,0.022974877562852557
risk_per1000,0.012838412231460561
gonorrhea_%,0.012612013806762735
Diabetes_admissions_AA,0.003059646581395529
infant_rate_2014_per1000,0.000444035933317866
hiv_density_per1000,1.3175274763940035e-05
heartrate_adult_%,3.50680816052895e-06
