Feature,Importance
fruit_consump_%,0.502099411228551
lung_cancer_sir,0.4799712736832883
cancer_admissions_AA,0.4224313749683636
hypertension_%,0.37009983503069027
substanceuse_rate_AA,0.36597965558055207
nonfatal_opiod_hospitalevents_%,0.3507989702313955
live_births_2014_%,0.263145467781154
cervical_cancer_sir,0.23735387871886146
firearm_deaths_2015_%,0.1925665858944197
prostrate_cancer_sir,0.19171385227130705
diagnosed_depression_%,0.18517908152100465
breast_cancer_sir,0.16521127114229345
diabetic_adults_%,0.13591049636659203
colorectal_cancer_sir,0.13505172773605834
poor_mental_health_%,0.12365130582893595
Stroke_admissions_AA,0.10170412697059183
anyexercise_%,0.09675401942047014
suicide_deaths_%,0.08062614189269117
overweight_adults_%,0.07643900653236418
obsese_adults_%,0.05846316324018706
smoking_rate_%,0.035349111361309166
mentalhealth_hosp_rate,0.028876571883626783
smokers_helpline_%,0.0229748785090622
risk_per1000,0.01283841173584538
gonorrhea_%,0.012612015098639923
Diabetes_admissions_AA,0.003059647013136391
infant_rate_2014_per1000,0.000444035965440059
hiv_density_per1000,1.3175274303398499e-05
heartrate_adult_%,3.5068125089779437e-06
