Feature,Importance
fruit_consump_%,0.5020993983432646
lung_cancer_sir,0.47997125495078
cancer_admissions_AA,0.42243140447902416
hypertension_%,0.37009983639385874
substanceuse_rate_AA,0.3659796538137141
nonfatal_opiod_hospitalevents_%,0.3507989609654124
live_births_2014_%,0.2631454708149111
cervical_cancer_sir,0.23735389520748384
firearm_deaths_2015_%,0.1925665730621066
prostrate_cancer_sir,0.1917138574227319
diagnosed_depression_%,0.18517906981810936
breast_cancer_sir,0.16521127531764052
diabetic_adults_%,0.13591049749001857
colorectal_cancer_sir,0.1350517254289155
poor_mental_health_%,0.12365130450842746
Stroke_admissions_AA,0.10170412825300817
anyexercise_%,0.09675401753081925
suicide_deaths_%,0.08062613734314077
overweight_adults_%,0.07643900425724338
obsese_adults_%,0.058463164379428806
smoking_rate_%,0.03534910997071186
mentalhealth_hosp_rate,0.0288765728826916
smokers_helpline_%,0.022974877620525955
risk_per1000,0.012838410984293247
gonorrhea_%,0.012612014371091478
Diabetes_admissions_AA,0.003059647113478245
infant_rate_2014_per1000,0.00044403594492877565
hiv_density_per1000,1.3175265113902702e-05
heartrate_adult_%,3.506811947061242e-06
