Feature,Importance
snap_%,0.7522707598677048
less_than_highschool_%,0.7300158073634665
households_recfoodstamps_%,0.7171526396236536
below_poverty_level_%,0.6538057183556034
owner_homes_%,0.6061470842484156
renter_occupied_%,0.5852439771376554
median_household_income_USD,0.5357793365927886
poverty_child_%,0.5357606836646528
income_capita_USD,0.5237173152541501
lep_%,0.5143715766926911
race_Hisp_%,0.49641222859825357
english_verywell_%,0.48347558703263177
race_Other_%,0.45662193032335535
occ_lt0.5_%,0.44996246064513074
bachelors_degree_%,0.4229110312338051
emp_business_%,0.41213623555499584
read_write,0.4010695407329005
crimes_against_persons_%,0.3954703052612187
health_insurance_coverage_%,0.38497553591160477
occ_0.5to1.0_%,0.3762036065245326
math,0.3535026846869909
no_vehicle_avail_%,0.3220685534453219
occ_1.01to1.5_%,0.3137278699810369
highschool_grad_%,0.3095377197963835
emp_foodprepare_%,0.3070191344552642
unemployment_rate,0.30607861403408576
dropout_%,0.2887312100575644
emp_production_%,0.28775633234172
emp_healthsupport_%,0.2744750627940769
crimes_against_property_%,0.27400228390871095
college_%,0.25476232791807985
house_lt1939_%,0.2461969189836718
comm_carpool_%,0.24450190323187532
population_density,0.2340515392497277
race_Afam_%,0.23403189982230993
occ_1.51to2.0_%,0.22740149212583655
race_Two_%,0.21722502751571002
median_owner_home_USD,0.20548223590979717
emp_clean_%,0.2026189648956197
emp_material_%,0.1999075360323318
comm_wfh_%,0.1953310259794961
house_1940to1999_%,0.17755224430203287
median_age,0.17306349824397774
emp_personalcare_%,0.1681275860072517
emp_transport_%,0.14173467698225822
moved_lastyear_%,0.13910519989443704
race_Wh_%,0.13389429371172423
emp_admin_%,0.12638054457390624
emp_computer_%,0.12457058629075413
emp_healthcare_%,0.11573528660918818
median_sale_homes_USD,0.11116468336186709
comm_taxi_%,0.11088934849244876
registerednurses_per1000,0.10892650961233688
associates_degree_%,0.10778317066835065
house_2000to2014_%,0.10050506012438189
house_income_gt30_USD_%,0.09962729944432279
costas%income_wmgage_lt20%_%,0.0937690596425405
homeless_Shelters_per_1000,0.08922308745321544
emp_legal_%,0.08905780450212794
lt5years_%,0.08382713430679148
debt_pervaluation_%,0.07627707864577217
students_highneeds_%,0.07621195116447957
vacant_rentals_%,0.07590353131088987
emp_pop_ratio_wh_only,0.0735779169765767
avg_math,0.07316638308511902
students_disabilities_%,0.06879557317312135
pa_provider_density_per10000,0.06810214627410194
psychologist_per1000,0.06783055059096085
avg_ela,0.06684264782074516
students_econodisadv_%,0.0663362195761266
pharmacist_per1000,0.06314358449453963
median_earnings_retail_USD,0.06173505976316006
costas%income_womgage_lt10%_%,0.05986260143010004
crimes_against_society_%,0.05867423867824569
costas%income_wmgage_gt35%_%,0.055076582012947815
licensed_nurses_per1000,0.04687992540935033
comm_walk_%,0.04483410615719647
advancedprn_per1000,0.04400502766179169
occ_gt2.01_%,0.040420231617735496
emp_rate,0.03883876615030141
physician_assisted_%,0.0379156558049842
young_females_%,0.0355020154364733
costas%income_womgage_30to35%_%,0.02801072293078358
physicians_per1000,0.02365485661173086
tobbaco_retailers_2019_%,0.0223023580841701
emp_repair_%,0.021249827720290076
costas%income_womgage_15to20%_%,0.019008942207318354
rural_population_%,0.01890674566171454
emp_protective_%,0.01805728377595251
comm_bus_%,0.01738195827210577
age_lt18_%,0.016483562232026655
libraries_%,0.01610399228408304
liquor_per1000,0.015394934596628619
gross_rent_%,0.014352585185133312
costas%income_wmgage_30to35%_%,0.014008129908355111
emp_construct_%,0.013887988430591934
food_est_per1000,0.013803725191434297
supermarket_per1000,0.013594456328780768
costas%income_womgage_25to30%_%,0.013274598260729643
pcp_per1000,0.012501167549945555
preschool_%,0.011758593933625855
comm_cycle_%,0.010218782758483796
gini_index,0.009415608566343787
private_school_%,0.009353646854922857
employed_male_%,0.008355271047582213
employed_female_%,0.008355270957429262
costas%income_womgage_20to25%_%,0.007050015395534641
labor_force_rate,0.006987086381482624
costas%income_womgage_gt35%_%,0.006836381006430883
exp_perpupil_USD,0.00642626575702665
student_teacher_ratio,0.006299064178912758
house_nokitchen_%,0.006297641593935237
costas%income_wmgage_25to30%_%,0.004707303970287696
race_Alaska_%,0.00361858367367269
unsatis_%,0.0029016103477230103
emp_pop_ratio_hisp,0.002893052712287959
need_improve_%,0.0023148391998110305
dentists_per1000,0.002191744404303259
psychiatrist_per1000,0.002090721095542868
comm_car_%,0.001765571673383928
costas%income_womgage_10to15%_%,0.0017048010098988347
exemplary_%,0.001689972007362924
proficient_%,0.0016155981449395122
house_noplumbing_%,0.0015753249388929472
emp_sales_%,0.0013119991202837752
property_val_USD,0.0008951303679495894
costas%income_wmgage_20to25%_%,0.0008606819820184507
print_media_circ_%,0.00034557257071697286
public_school_%,6.691900960262633e-05
race_Asian_%,5.798323243430503e-05
race_Hawaii_%,3.575061470112477e-05
emp_farm_%,1.6192882363394132e-05
