Feature,Importance
associates_degree_%,0.8226616613837409
less_than_highschool_%,0.6463824530701607
unsatis_%,0.5736815722389024
read_write,0.5636781213049679
emp_pop_ratio_hisp,0.42098733542441635
highschool_grad_%,0.40732275161246195
dropout_%,0.3856869248678189
math,0.28474626467499536
avg_ela,0.1513238916076073
public_school_%,0.1512919288081685
students_highneeds_%,0.14732952639250982
costas%income_womgage_gt35%_%,0.12378954021875418
students_disabilities_%,0.1178638177751949
gini_index,0.08655171744852416
avg_math,0.08121509357683819
below_poverty_level_%,0.04177136526673638
licensed_nurses_per1000,0.02071424259287857
health_insurance_coverage_%,0.010975144252714491
print_media_circ_%,0.010039791088773321
proficient_%,0.003684721016463863
exemplary_%,0.0014303184249187344
need_improve_%,0.0014001782574206841
students_econodisadv_%,0.00029901054238877034
lep_%,2.3244801700477885e-05
