Feature,Importance
associates_degree_%,0.916494549225007
less_than_highschool_%,0.7574895727846674
unsatis_%,0.5943992501252948
highschool_grad_%,0.5828511726856717
read_write,0.5613227990268784
emp_pop_ratio_hisp,0.5402944536899277
dropout_%,0.38132963925442787
gini_index,0.3772683547980531
math,0.3715049345922235
public_school_%,0.2899332222259239
print_media_circ_%,0.2094657015359502
exemplary_%,0.1750223435238855
avg_ela,0.1679267099214596
students_highneeds_%,0.15951219013177778
costas%income_womgage_gt35%_%,0.15853992108446724
lep_%,0.14050047551324235
students_disabilities_%,0.12310306261513997
avg_math,0.08038285987468345
proficient_%,0.0772116650070647
health_insurance_coverage_%,0.05357535952479599
below_poverty_level_%,0.05018197943140681
students_econodisadv_%,0.03696017276715228
need_improve_%,0.027449999591842668
licensed_nurses_per1000,0.021680455017471463
