Feature,Importance
physicians_per1000,0.8338439405815279
advancedprn_per1000,0.8196727041872195
registerednurses_per1000,0.8082685752182774
pa_provider_density_per10000,0.6145087940233516
pcp_per1000,0.5345627081471346
pharmacist_per1000,0.4409701189044787
physician_assisted_%,0.3977229484025766
licensed_nurses_per1000,0.12203240401667768
dentists_per1000,0.11945289328645178
psychiatrist_per1000,0.08081341830046754
psychologist_per1000,0.07388785664070888
health_insurance_coverage_%,0.0071446240080621
