Feature,Importance
occ_gt2.01_%,0.9003034633281499
lt5years_%,0.8984711727115896
costas%income_wmgage_30to35%_%,0.844650502596404
poverty_child_%,0.6421222884623946
emp_material_%,0.47467193318416323
rural_population_%,0.4347813274983598
age_lt18_%,0.4138234838851709
occ_lt0.5_%,0.40175433507610414
owner_homes_%,0.30968610543358904
occ_0.5to1.0_%,0.30375456702239007
house_lt1939_%,0.30343721319655514
occ_1.01to1.5_%,0.25203737581508784
bachelors_degree_%,0.22608566222198714
house_noplumbing_%,0.20403890811522002
house_1940to1999_%,0.15665089725029963
costas%income_womgage_30to35%_%,0.1440713277605692
costas%income_wmgage_lt20%_%,0.12250520503147581
homeless_Shelters_per_1000,0.11927172958676698
debt_pervaluation_%,0.10808557143957633
moved_lastyear_%,0.10454192150485114
median_earnings_retail_USD,0.07259130879057632
median_owner_home_USD,0.07001604243415359
costas%income_wmgage_gt35%_%,0.0697245711719973
occ_1.51to2.0_%,0.03409210377507978
costas%income_wmgage_25to30%_%,0.03171541607188312
costas%income_womgage_25to30%_%,0.02258662034201396
costas%income_womgage_lt10%_%,0.02161577481006655
costas%income_wmgage_20to25%_%,0.007808068633012099
costas%income_womgage_20to25%_%,0.0077073435394798395
costas%income_womgage_15to20%_%,0.007316674496841996
costas%income_womgage_10to15%_%,0.004854528692818323
college_%,0.0016604301133704734
