Feature,Importance
cancer_admissions_AA,0.8611440365505242
cardio_emergencies_AA,0.8600587669698903
cardio_admissions_AA,0.8274971789452537
Mental_admissions_AA,0.7490842001005393
Mental_emergencies_AA,0.631338373082428
fruit_consump_%,0.47827008294396617
substanceuse_rate_AA,0.4311283614610381
Stroke_admissions_AA,0.27574407337135964
firearm_deaths_2015_%,0.25398618386108834
hypertension_%,0.23302713503340577
lung_cancer_sir,0.2316292701639812
prostrate_cancer_sir,0.1838782422301468
breast_cancer_sir,0.16892000137144672
nonfatal_opiod_hospitalevents_%,0.16401058660675527
live_births_2014_%,0.15801643972506774
cervical_cancer_sir,0.15371185224753298
poor_mental_health_%,0.1279651397756279
diagnosed_depression_%,0.09750846547626875
diabetic_adults_%,0.08912260093360251
colorectal_cancer_sir,0.07623013068723905
suicide_deaths_%,0.07240998181296626
smokers_helpline_%,0.03922560598720452
smokers_quitworks_%,0.0363842868299087
anyexercise_%,0.029489984750954743
obsese_adults_%,0.02363316856014093
smoking_rate_%,0.023415016761378978
smoking_pregnant_%,0.019121798114958847
Diabetes_admissions_AA,0.017535298277849866
overweight_adults_%,0.01728504357305853
heartrate_adult_%,0.01665661668508223
gonorrhea_%,0.011232425827356979
hiv_density_per1000,0.007909456583456223
Diabetes_emergencies_AA,0.006780951763403529
syphillis_%,0.004640788664783279
infant_rate_2014_per1000,0.0028108759821074466
mentalhealth_hosp_rate,0.0027717783386483727
risk_per1000,0.002665103226856195
chlamydia_%,8.252910389465207e-05
