Feature,Importance
cancer_admissions_AA,0.8611441761083001
cardio_emergencies_AA,0.8600586992006165
cardio_admissions_AA,0.827497075894195
Mental_admissions_AA,0.749084141811705
Mental_emergencies_AA,0.6313383776677197
fruit_consump_%,0.47827003820734565
substanceuse_rate_AA,0.4311283495150112
Stroke_admissions_AA,0.2757440523664169
firearm_deaths_2015_%,0.2539861659227071
hypertension_%,0.2330271093909609
lung_cancer_sir,0.2316292737765962
prostrate_cancer_sir,0.18387822624023226
breast_cancer_sir,0.16891999279114953
nonfatal_opiod_hospitalevents_%,0.1640105756548416
live_births_2014_%,0.15801643056104825
cervical_cancer_sir,0.15371184118831216
poor_mental_health_%,0.12796513142558127
diagnosed_depression_%,0.09750846902627973
diabetic_adults_%,0.08912259694327379
colorectal_cancer_sir,0.07623014106495633
suicide_deaths_%,0.07240997775928458
smokers_helpline_%,0.03922560226651469
smokers_quitworks_%,0.036384287791043086
anyexercise_%,0.029489985674725123
obsese_adults_%,0.02363317025446569
smoking_rate_%,0.02341501783555691
smoking_pregnant_%,0.019121796600428412
Diabetes_admissions_AA,0.017535296337605605
overweight_adults_%,0.017285043317163767
heartrate_adult_%,0.01665661478792362
gonorrhea_%,0.011232425721758954
hiv_density_per1000,0.007909455885615478
Diabetes_emergencies_AA,0.006780951117241734
syphillis_%,0.004640788311420704
infant_rate_2014_per1000,0.00281087580956812
mentalhealth_hosp_rate,0.002771778498760781
risk_per1000,0.0026651032123080065
chlamydia_%,8.25290820366062e-05
