Feature,pc1
no_vehicle_avail_%,1.7433786679622448e-13
below_poverty_level_%,5.5289106626332796e-14
exp_perpupil_USD,2.1349856817481853e-08
debt_pervaluation_%,1.3623064977702921e-12
homeless_Shelters_per_1000,2.439542087878751e-12
median_owner_home_USD,1.9373093440866244e-06
median_sale_homes_USD,2.287571605762573e-06
unemployment_rate,3.8062236078610814e-12
race_Wh_%,-1.9173150566806302e-12
race_Afam_%,1.9219323761397196e-13
race_Alaska_%,4.2951124621598515e-14
race_Asian_%,7.779441120276506e-13
race_Hawaii_%,-6.092031047311638e-15
race_Other_%,6.93885201553131e-14
race_Two_%,8.083332628958671e-14
race_Hisp_%,2.5970114906209674e-13
labor_force_rate,6.194973495392472e-13
emp_rate,6.215799230948825e-13
emp_business_%,4.3345262474958565e-13
emp_computer_%,7.456582172655015e-13
emp_legal_%,-2.685129769967037e-13
emp_healthcare_%,-1.3745981897291866e-13
emp_healthsupport_%,-9.79338555543251e-14
emp_protective_%,-7.750030908029994e-14
emp_foodprepare_%,-1.0259672783512298e-13
emp_clean_%,-1.9360508733794418e-13
emp_personalcare_%,-1.0513545074876e-13
emp_sales_%,2.2746722711273465e-13
emp_admin_%,-2.0493164261698448e-13
emp_farm_%,-5.662123792901865e-15
emp_construct_%,-3.6187832566493584e-13
emp_repair_%,-1.2328175993668299e-13
emp_production_%,-2.846418498113702e-13
emp_transport_%,-1.1951018594048244e-13
emp_material_%,-8.380844254957666e-14
occ_lt0.5_%,-1.0462254823676742e-13
occ_0.5to1.0_%,1.0023985249371845e-13
occ_1.01to1.5_%,-3.952979248920275e-17
occ_1.51to2.0_%,2.140442782316465e-14
occ_gt2.01_%,1.6982202287626207e-14
owner_homes_%,-1.0192400536471563e-12
moved_lastyear_%,-2.546412644830149e-13
house_noplumbing_%,2.9709946318263136e-13
house_nokitchen_%,2.3373516614812813e-13
age_lt18_%,6.745080980653328e-13
house_lt1939_%,-2.1398217695972893e-13
house_1940to1999_%,-3.609380429686162e-13
house_2000to2014_%,5.926744408098971e-13
poverty_child_%,-1.688910976247823e-13
house_income_gt30_USD_%,2.0960720154679018e-13
median_household_income_USD,4.978280133420927e-07
median_earnings_retail_USD,-6.141326417463548e-08
gross_rent_%,2.0306605849008907e-13
comm_car_%,-9.587681930308831e-13
comm_carpool_%,-8.186497758505082e-14
comm_bus_%,6.509859294535775e-13
comm_walk_%,6.66004919212992e-14
comm_cycle_%,8.42967138152971e-14
comm_taxi_%,-1.7810046156811052e-14
comm_wfh_%,1.6985379576953213e-13
income_capita_USD,1.4296308657062924e-07
households_recfoodstamps_%,2.592364902286212e-13
gini_index,-6.622829088415423e-14
lep_%,-3.5246683408606113e-13
exemplary_%,-3.4635623491126173e-12
proficient_%,6.733224104137037e-12
need_improve_%,3.0972817084191566e-12
unsatis_%,1.227734507915532e-12
read_write,-4.725675291334415e-11
math,8.633056983258236e-10
dropout_%,2.245322169426916e-13
college_%,4.08268639091619e-12
property_val_USD,0.0
tobbaco_retailers_2019_%,6.835439807099678e-15
licensed_nurses_per1000,3.5987004781998313e-12
preschool_%,1.1111704173567543e-13
health_insurance_coverage_%,-4.11147182764375e-14
public_school_%,5.374100064024231e-13
private_school_%,3.287152019491049e-13
liquor_per1000,-1.351036493004249e-10
supermarket_per1000,4.306461158057013e-10
food_est_per1000,5.032447120159244e-10
dentists_per1000,2.265731060024604e-12
young_females_%,2.29691500966584e-13
physician_assisted_%,5.999490258489133e-12
pa_provider_density_per10000,6.478165220798835e-13
median_age,-6.034165105911094e-13
lt5years_%,2.793375072803297e-15
renter_occupied_%,-1.09030959426563e-14
english_verywell_%,5.845699935542965e-15
snap_%,2.317518011749254e-15
physicians_per1000,5.476245557255933e-13
pcp_per1000,9.275090229585687e-14
psychiatrist_per1000,1.943974266804913e-14
psychologist_per1000,6.333821159881695e-14
pharmacist_per1000,8.87527722022033e-13
registerednurses_per1000,1.289262917820027e-12
advancedprn_per1000,1.4522563434217486e-13
population_density,-2.9116777611299907e-10
rural_population_%,-3.297789836256687e-12
costas%income_wmgage_lt20%_%,-1.1159253509975922e-13
costas%income_wmgage_20to25%_%,1.1105318664629612e-13
costas%income_wmgage_25to30%_%,9.709800318786216e-14
costas%income_wmgage_30to35%_%,-1.2634099616240648e-13
costas%income_wmgage_gt35%_%,2.842854869088178e-14
costas%income_womgage_lt10%_%,-8.515612761871245e-14
costas%income_womgage_10to15%_%,-2.1743293107379782e-13
costas%income_womgage_15to20%_%,7.903807315522238e-14
costas%income_womgage_20to25%_%,-9.63827264687051e-14
costas%income_womgage_25to30%_%,-3.155576535997067e-13
costas%income_womgage_30to35%_%,1.8234206654148458e-13
costas%income_womgage_gt35%_%,4.5183268696531123e-13
avg_ela,9.618861998918981e-13
avg_math,7.669941675628906e-13
students_disabilities_%,6.186988378996669e-13
students_highneeds_%,-3.3070191774727964e-12
students_econodisadv_%,-2.0149366406219064e-12
student_teacher_ratio,3.358768590611222e-14
print_media_circ_%,1.3723544678265714e-14
libraries_%,-6.253119810425972e-12
crimes_against_persons_%,-4.0466818959839305e-12
crimes_against_property_%,-4.559476524530138e-11
crimes_against_society_%,3.4997271594243796e-11
emp_pop_ratio_wh_only,5.198145481155924e-11
emp_pop_ratio_hisp,1.8378026661733898e-10
less_than_highschool_%,-4.9071124849083555e-14
highschool_grad_%,-1.6479878312811211e-12
associates_degree_%,-1.2733025307230624e-12
bachelors_degree_%,2.9703614868532683e-12
vacant_rentals_%,-4.713063955896884e-13
employed_male_%,-1.0534241873686242e-14
employed_female_%,1.0534241873686488e-14
cancer_admissions_AA,1.5369198462139497e-09
cardio_admissions_AA,4.474186375992891e-09
cardio_emergencies_AA,2.9346154050990508e-09
Diabetes_admissions_AA,-1.578715146751323e-10
Diabetes_emergencies_AA,1.0451038365231164e-10
Mental_admissions_AA,5.31903742616161e-09
Mental_emergencies_AA,5.52681515799905e-09
Stroke_admissions_AA,1.949474779380686e-10
fruit_consump_%,-1.7485314086380597e-13
obsese_adults_%,1.9598476446792974e-13
overweight_adults_%,4.3635057790596923e-13
diabetic_adults_%,8.694733745016818e-14
heartrate_adult_%,-1.8839228026928185e-14
poor_mental_health_%,5.004173790371924e-14
smoking_rate_%,-7.566227685068349e-13
smoking_pregnant_%,4.984229220502319e-13
infant_rate_2014_per1000,8.716660019634651e-12
hiv_density_per1000,-1.952715252712787e-12
firearm_deaths_2015_%,1.801243370776947e-15
live_births_2014_%,4.3972957874797915e-14
chlamydia_%,2.0556846722481226e-12
gonorrhea_%,-3.317563500215043e-14
syphillis_%,2.387073745752562e-14
nonfatal_opiod_hospitalevents_%,-1.036242351455172e-12
hypertension_%,2.5165814450948926e-15
diagnosed_depression_%,-3.393262335072693e-15
anyexercise_%,8.616484749480479e-14
suicide_deaths_%,2.1538819493196383e-12
risk_per1000,4.451238739202481e-13
smokers_quitworks_%,1.0780899174109133e-13
smokers_helpline_%,1.927365172126931e-14
substanceuse_rate_AA,-1.5137553050402231e-09
mentalhealth_hosp_rate,2.280723681849967e-09
breast_cancer_sir,-4.710353462018823e-10
prostrate_cancer_sir,-4.753346355571269e-10
colorectal_cancer_sir,-2.0617058034074658e-10
lung_cancer_sir,-9.618954646133667e-11
cervical_cancer_sir,4.2788895382568575e-11
