Feature,pc1,pc2
no_vehicle_avail_%,0.0,-0.07939189121837213
below_poverty_level_%,-0.15785359974004032,-0.018363275372127286
exp_perpupil_USD,-0.03625041884005836,0.0105428906428231
debt_pervaluation_%,0.06871574081014804,-0.051282771176537234
homeless_Shelters_per_1000,0.06774016082915456,-0.05211898880115162
median_owner_home_USD,-0.08682213099570511,-0.13300213143841053
median_sale_homes_USD,-0.06271615750879184,-0.11393088489878327
unemployment_rate,-0.11426556330672687,-0.02664291878841155
race_Wh_%,-0.0914622219311096,0.0
race_Afam_%,0.0,-0.06658884807931058
race_Alaska_%,0.012152139962605455,0.016994180019191018
race_Asian_%,0.014330169340113304,-0.16431337579888178
race_Hawaii_%,-0.0005352480441321762,0.014368655230994572
race_Other_%,0.0,-0.03789641113124956
race_Two_%,0.0,-0.027277358935563035
race_Hisp_%,0.0,-0.051512656911386095
labor_force_rate,-0.008133758025472771,-0.03134550099258899
emp_rate,-0.03245241028609101,-0.034392560394275976
emp_business_%,-0.12609150483008005,-0.12011592689644823
emp_computer_%,-0.06176116202029377,-0.14112806413716078
emp_legal_%,-0.06856591187519098,-0.05593092785608571
emp_healthcare_%,-0.07027187882383056,-0.00767344753096316
emp_healthsupport_%,0.0,0.07525143498272295
emp_protective_%,0.032828256578003576,0.03765235273445291
emp_foodprepare_%,0.0,0.029677375081826145
emp_clean_%,0.0,0.0
emp_personalcare_%,0.0,0.038481930345055364
emp_sales_%,-0.00037928912033000247,-0.020574107301754834
emp_admin_%,0.0,0.054994697973336
emp_farm_%,-0.015438066571908616,0.0
emp_construct_%,0.008750993275519241,0.0
emp_repair_%,0.022467789749017808,0.0
emp_production_%,0.0,0.0
emp_transport_%,0.06878204262487986,0.0
emp_material_%,0.0,0.06656846185265859
occ_lt0.5_%,-0.1467304488906304,0.03224867871568003
occ_0.5to1.0_%,0.0,-0.032624452038212515
occ_1.01to1.5_%,0.0,-0.015192328877267536
occ_1.51to2.0_%,0.0,-0.03289031383879426
occ_gt2.01_%,-0.040806139095940094,-0.021289381450464946
owner_homes_%,-0.1637461343464045,0.0
moved_lastyear_%,-0.08499882728648,0.0
house_noplumbing_%,0.0016823152592662144,-0.08173881548820122
house_nokitchen_%,-0.00817433012499151,-0.05816393021728356
age_lt18_%,-0.009361670123322894,-0.09307565610803163
house_lt1939_%,0.0,-0.02996115443808284
house_1940to1999_%,-0.08336078534223695,0.01793627846282393
house_2000to2014_%,-0.06871599562319457,0.04549800701402298
poverty_child_%,-0.14921862387624504,-0.03288885981682241
house_income_gt30_USD_%,0.06784728840368569,-0.06358924600930287
median_household_income_USD,-0.1361098276528008,-0.13624610875001433
median_earnings_retail_USD,-0.04813985076941497,-0.03280940167692105
gross_rent_%,-0.025361568510597402,0.016070725295222302
comm_car_%,-0.009228334802043672,0.0
