Feature,pc1,pc2
no_vehicle_avail_%,0.0,-0.10069002356386161
below_poverty_level_%,-0.17459456052569244,-0.010426377043207646
exp_perpupil_USD,-0.04006847542596481,-0.001385634790851964
debt_pervaluation_%,0.07658322969757544,-0.05835029253252033
homeless_Shelters_per_1000,0.07494738002621781,-0.06383172033900178
median_owner_home_USD,-0.10108307215859359,-0.15206345455555573
median_sale_homes_USD,-0.07430993891931505,-0.13108056989107486
unemployment_rate,-0.1300662670253539,-0.027684827951050726
race_Wh_%,-0.09915033113805492,0.0
race_Afam_%,0.0,-0.08540192974086797
race_Alaska_%,0.013501108105088193,0.015207725900777036
race_Asian_%,0.011974365608425451,-0.19165664158193785
race_Hawaii_%,-0.001528385553110178,0.021169750811805964
race_Other_%,0.0,-0.047757741803655544
race_Two_%,0.0,-0.0412064639469878
emp_business_%,-0.14599611974263269,-0.1313536779038397
emp_computer_%,-0.07389623599097843,-0.15949895599683497
emp_legal_%,-0.08065693824926926,-0.06376929811465873
emp_healthcare_%,-0.08027397214042126,0.0006150087256411532
emp_healthsupport_%,0.0,0.08007904684854797
emp_protective_%,0.041978598639630264,0.042664138356838535
emp_foodprepare_%,0.0,0.02520875109801776
emp_clean_%,0.0,0.0
emp_personalcare_%,0.0,0.03957430051774475
emp_sales_%,0.0016929147174733295,-0.019693344773590943
emp_admin_%,0.0,0.06232337119902405
emp_farm_%,-0.015300174409644983,0.0
emp_construct_%,0.012421845175933902,0.0
emp_repair_%,0.027857012850854686,0.0
emp_production_%,0.0,0.0
emp_transport_%,0.0809552806395874,0.0
emp_material_%,0.0,0.07246913029902123
occ_lt0.5_%,-0.1625320525008572,0.046659983715862455
occ_1.01to1.5_%,0.0,-0.02466976547450057
occ_1.51to2.0_%,0.0,-0.04268348922154728
occ_gt2.01_%,-0.0465452084618985,-0.023117269480576397
moved_lastyear_%,-0.09161001984757192,0.0
house_noplumbing_%,0.003863237256550304,-0.0902733601437971
age_lt18_%,-0.01263364752174607,-0.10526461213253642
house_lt1939_%,0.0,-0.041015284250032764
house_2000to2014_%,-0.07576633440032329,0.05215776673667132
house_income_gt30_USD_%,0.07284980230206672,-0.07529122504530594
median_household_income_USD,-0.15667116155853714,-0.1465249816253241
median_earnings_retail_USD,-0.05488249138953179,-0.03183449525416325
gross_rent_%,-0.028750562368500248,0.016167817047539102
comm_car_%,-0.005479291752363587,0.0
comm_carpool_%,0.0,0.02655217778231659
comm_bus_%,0.03955538317501291,-0.1837852913342158
comm_walk_%,0.04241832677907919,-0.07553298343551276
comm_cycle_%,0.02009131941463958,-0.08909193359218995
comm_taxi_%,0.07464947722024257,-0.012202175321049134
comm_wfh_%,-0.11893301774379395,-0.006524429633366063
gini_index,-0.01801875710651828,0.0
lep_%,-0.16996669906927941,0.0
exemplary_%,-0.004521405252896055,0.02214280694006128
proficient_%,-0.010299986043257447,-0.014274774456684748
need_improve_%,-0.01658725348408912,0.0066958263291872835
unsatis_%,0.0009606541722317363,-0.003937407333123544
read_write,-0.141896104669968,-0.06376008723152266
dropout_%,-0.11905875974754068,-0.04458252856738763
college_%,-0.0979856469447696,-0.0938594387974878
property_val_USD,0.000735798422686882,-0.058105444975998066
tobbaco_retailers_2019_%,-0.05958167616683574,-0.02878450253088445
licensed_nurses_per1000,0.061570951713709646,-0.041350084991094244
preschool_%,-0.016379278862639284,-0.04600231302319024
health_insurance_coverage_%,-0.14023664192705426,-0.043964309091117336
public_school_%,0.013973402321990333,-0.07922256470745753
private_school_%,-0.01686206191689058,-0.1652817435855884
liquor_per1000,0.032575236460646015,-0.06251280862690194
dentists_per1000,0.02222163765265687,-0.10523074257833519
young_females_%,0.04571769352666066,-0.06764412861053058
pa_provider_density_per10000,0.07056993883226753,-0.08298109093640117
median_age,-0.1115352619595541,0.0
lt5years_%,0.08311755524982194,-0.09867246406397434
renter_occupied_%,-0.18069290822531367,0.0
snap_%,-0.19508552222502518,-0.03311331083472019
pcp_per1000,0.03899371115295441,-0.13424703138210503
psychiatrist_per1000,-0.016326223149085783,-0.07725665825226162
psychologist_per1000,-0.064884439903245,-0.1216299359057454
pharmacist_per1000,0.07777564226125774,-0.13741780282224256
advancedprn_per1000,0.05871250828931041,-0.14350073668577557
population_density,-0.11825898794971147,0.0
rural_population_%,-0.05920504114775132,0.0
costas%income_wmgage_lt20%_%,-0.07516708480361642,-0.02188659564663258
costas%income_wmgage_20to25%_%,0.0064792750064197125,-0.029754346844095017
costas%income_wmgage_25to30%_%,0.01829368998516804,0.010340747538262324
costas%income_wmgage_30to35%_%,0.030318033496343197,0.012764288118857771
costas%income_wmgage_gt35%_%,0.048483374694051236,0.028606276961136486
costas%income_womgage_lt10%_%,-0.06990019268723054,0.012337848382388501
costas%income_womgage_10to15%_%,-0.005856053004210722,0.011732419996073145
costas%income_womgage_15to20%_%,0.03646074375758177,0.038383822580480495
costas%income_womgage_20to25%_%,0.024953365771624346,0.009923417952401288
costas%income_womgage_25to30%_%,0.02878338101104954,0.00933241379836233
costas%income_womgage_30to35%_%,0.04498966361037099,-0.014391793311838867
costas%income_womgage_gt35%_%,0.023527300122167145,-0.07113812316263649
avg_ela,-0.05345617325378299,-0.03100580318390194
avg_math,-0.03312234903766825,-0.045798699491996865
students_disabilities_%,0.043644793045804826,0.016796331398592986
students_highneeds_%,0.05593959799930167,0.02538947115818153
student_teacher_ratio,-0.04882494155996428,0.0694065747472129
print_media_circ_%,-0.00419604818537102,-0.027713566315679828
libraries_%,-0.06130062398456069,0.0
crimes_against_persons_%,-0.14059030353008392,-0.021920486736858414
crimes_against_property_%,-0.12776107569691098,-0.04508952095291556
crimes_against_society_%,-0.027960626822479667,-0.0964196071988482
emp_pop_ratio_wh_only,-0.05289249853854844,-0.04040986318259058
emp_pop_ratio_hisp,-0.010442542164353743,-0.02520817584138558
less_than_highschool_%,0.0,0.03459448984032601
bachelors_degree_%,-0.1422241508978904,-0.19389092567438598
vacant_rentals_%,-0.0700150311469258,0.0
employed_male_%,0.0237209142494042,0.03659919824588733
cardio_emergencies_AA,0.04297638361804593,-0.14195406483903583
Diabetes_admissions_AA,0.003311432626889034,-0.03124172902876
Diabetes_emergencies_AA,-0.04227787340558717,-0.04328112947783337
Stroke_admissions_AA,0.022983933040742713,-0.09290992529854046
fruit_consump_%,-0.06107284105618489,0.00561001842280459
